,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
67,AK,2,Aleutians East Borough,13,2013,2015,3.341,0.0,0.0,2.289,0.01,0.0,0.01,1.21,0.0,1.21,1.22,0.0,1.22,1.052,0.01,0.04,0.05,48.0,0.16,70.0,0.21,0.0,0.0,0.0,0.17,0.31,0.48,0.17,0.31,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.88,0.08,0.96,0.88,0.14,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,2.3,0.39,2.69,2.32,0.45,2.77,0.0,0.0,0.0
68,AK,2,Aleutians West Census Area,16,2016,2015,5.702000000000001,0.0,0.0,5.47,0.05,0.0,0.05,2.22,0.0,2.22,2.27,0.0,2.27,0.23199999999999998,0.0,0.02,0.02,86.0,0.42,77.0,0.44,0.0,0.0,0.0,0.16,0.33,0.49,0.16,0.33,0.49,0.01,0.0,0.01,0.0,0.01,0.02,0.0,0.0,0.02,0.01,0.0,0.01,0.0,0.01,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.2,0.02,0.22,0.2,0.03,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,2.6,0.35,2.95,2.66,0.36,3.02,0.01,0.0,0.01
69,AK,2,Municipality of Anchorage,20,2020,2015,298.695,0.0,0.0,261.666,12.46,0.0,12.46,32.03,0.0,32.03,44.49,0.0,44.49,37.029,2.26,0.0,2.26,61.0,31.92,122.0,34.18,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.41,0.0,0.41,0.0,0.37,0.66,0.0,0.0,0.66,0.14,0.0,0.14,0.0,0.13,0.32,0.0,0.0,0.32,0.27,0.0,0.27,0.0,0.24,0.34,0.0,0.0,0.34,0.0,0.0,0.0,16.45,0.0,16.45,65.79,0.0,65.79,82.24,0.0,82.24,0.0,0.01,0.01,0.73,0.0,0.73,0.73,0.01,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.43,0.0,0.43,554.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.43,0.0,0.43,554.36,31.83,0.01,31.84,98.55,0.0,98.55,130.38,0.01,130.39,0.8,0.0,0.8
70,AK,2,Bethel Census Area,50,2050,2015,17.945999999999998,0.0,0.0,10.73,0.28,0.0,0.28,0.02,0.0,0.02,0.3,0.0,0.3,7.216,0.1,0.0,0.1,14.0,0.28,26.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.38,0.03,0.0,0.03,0.41,0.0,0.41,0.0,0.0,0.0
71,AK,2,Bristol Bay Borough,60,2060,2015,0.892,0.0,0.0,0.49,0.07,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.07,0.402,0.03,0.0,0.03,75.0,0.07,143.0,0.1,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,0.0,0.0,0.0,2.1,0.0,2.1,0.0,0.0,0.0
72,AK,2,Denali Borough,68,2068,2015,1.919,0.0,0.0,0.46,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,1.459,0.1,0.0,0.1,69.0,0.04,87.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.02,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.02,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,32.46,0.0,32.46,32.46,0.0,32.46,0.0,0.0,0.25,0.0,0.25,247.71,0.0,0.0,0.0,32.46,0.0,32.46,32.46,0.0,32.46,0.0,0.0,0.25,0.0,0.25,247.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,32.47,0.0,32.47,32.63,0.0,32.63,0.27,0.0,0.27
73,AK,2,Dillingham Census Area,70,2070,2015,4.997,0.0,0.0,3.445,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,1.5519999999999998,0.1,0.0,0.1,64.0,0.24,70.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35,0.0,0.0,0.0,0.35,0.0,0.35,0.0,0.0,0.0
74,AK,2,Fairbanks North Star Borough,90,2090,2015,99.631,0.0,0.0,95.381,14.12,0.0,14.12,0.0,0.0,0.0,14.12,0.0,14.12,4.25,0.23,0.0,0.23,54.0,12.02,126.0,12.25,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.24,0.0,0.24,0.0,0.22,0.53,0.0,0.0,0.53,0.21,0.0,0.21,0.0,0.19,0.49,0.0,0.0,0.49,0.03,0.0,0.03,0.0,0.03,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.27,0.0,0.27,0.82,0.0,0.82,1.09,0.0,1.09,0.0,0.0,0.0,20.99,0.0,20.99,20.99,0.0,20.99,0.22,0.0,0.22,33.62,0.0,33.62,33.84,0.0,33.84,0.0,0.0,0.41,0.0,0.41,485.98,0.0,0.0,0.0,33.62,0.0,33.62,33.62,0.0,33.62,0.0,0.0,0.25,0.0,0.25,198.3,0.22,0.0,0.22,0.0,0.0,0.0,0.22,0.0,0.22,0.0,0.0,0.16,0.0,0.16,287.68,15.09,0.0,15.09,55.43,0.0,55.43,70.52,0.0,70.52,0.63,0.0,0.63
75,AK,2,Haines Borough,100,2100,2015,2.5340000000000003,0.0,0.0,1.6130000000000002,0.04,0.0,0.04,0.25,0.0,0.25,0.29,0.0,0.29,0.9209999999999999,0.03,0.0,0.03,33.0,0.1,62.0,0.13,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,1.36,0.0,1.36,1.44,0.0,1.44,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,1.63,0.0,1.63,1.84,0.0,1.84,0.0,0.0,0.0
76,AK,2,Hoonah-Angoon Census Area,105,2105,2015,2.133,0.0,0.0,1.89,0.45,0.0,0.45,0.08,0.0,0.08,0.53,0.0,0.53,0.243,0.0,0.01,0.01,41.0,0.15,79.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.09,0.0,0.09,0.54,0.0,0.54,0.0,0.0,0.0
