,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
96,AZ,4,Apache County,1,4001,2015,71.47399999999999,48.854,0.0,48.854,5.77,0.0,5.77,0.0,0.0,0.0,5.77,0.0,5.77,22.62,1.99,0.0,1.99,88.0,5.08,104.0,7.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,1.83,1.95,0.0,1.48,0.03,0.0,0.95,0.98,0.12,1.83,1.95,0.0,1.48,0.03,0.0,0.95,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.71,1.44,0.0,1.44,0.0,0.0,0.0,1.44,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.74,0.0,19.74,0.0,0.0,0.0,19.74,0.0,19.74,0.0,0.0,18.87,0.0,18.87,14982.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.74,0.0,19.74,0.0,0.0,0.0,19.74,0.0,19.74,0.0,0.0,18.87,0.0,18.87,14982.57,29.77,0.0,29.77,1.83,0.0,1.83,31.6,0.0,31.6,20.35,0.0,20.35
97,AZ,4,Cochise County,3,4003,2015,126.427,102.62700000000001,0.0,102.62700000000001,16.15,0.0,16.15,0.0,0.0,0.0,16.15,0.0,16.15,23.8,2.89,0.0,2.89,121.0,13.08,127.0,15.97,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,217.57,0.0,217.57,0.74,174.65,97.33,4.29,5.22,106.84,216.14,0.0,216.14,0.0,172.91,96.78,4.29,5.22,106.29,1.43,0.0,1.43,0.74,1.74,0.55,0.0,0.0,0.55,0.68,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,3.52,0.0,3.52,0.0,0.0,0.0,3.52,0.0,3.52,0.0,0.0,3.52,0.0,3.52,1929.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,0.0,3.52,0.0,0.0,0.0,3.52,0.0,3.52,0.0,0.0,3.52,0.0,3.52,1929.25,240.85,0.0,240.85,0.0,0.0,0.0,240.85,0.0,240.85,178.17,0.0,178.17
98,AZ,4,Coconino County,5,4005,2015,139.097,103.70100000000001,23.336,127.037,16.22,0.0,16.22,3.65,0.0,3.65,19.87,0.0,19.87,12.06,1.05,0.0,1.05,87.0,16.09,127.0,17.14,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.28,0.0,0.28,2.54,2.26,0.9,0.0,0.0,0.9,0.12,0.0,0.12,0.0,0.1,0.04,0.0,0.0,0.04,0.16,0.0,0.16,2.54,2.16,0.86,0.0,0.0,0.86,0.69,0.0,0.69,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,17.03,0.0,17.03,17.03,0.0,17.03,0.0,0.0,17.03,0.0,17.03,13571.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.03,0.0,17.03,17.03,0.0,17.03,0.0,0.0,17.03,0.0,17.03,13571.71,18.29,0.0,18.29,20.68,0.0,20.68,38.97,0.0,38.97,19.29,0.0,19.29
99,AZ,4,Gila County,7,4007,2015,53.159,44.403999999999996,0.055,44.458999999999996,4.82,0.0,4.82,0.01,0.0,0.01,4.83,0.0,4.83,8.7,0.88,0.0,0.88,101.0,4.11,92.0,4.99,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,1.96,1.09,3.05,0.44,2.78,0.79,0.0,0.14,0.93,1.1,0.48,1.58,0.0,1.26,0.38,0.0,0.14,0.52,0.86,0.61,1.47,0.44,1.52,0.41,0.0,0.0,0.41,0.13,0.0,0.13,4.26,0.0,4.26,0.0,0.0,0.0,4.26,0.0,4.26,13.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.08,0.0,25.08,1.1,0.0,1.1,26.18,0.0,26.18,2.78,0.0,2.78
100,AZ,4,Graham County,9,4009,2015,37.666,30.656,0.0,30.656,3.8,0.0,3.8,0.0,0.0,0.0,3.8,0.0,3.8,7.01,0.74,0.0,0.74,106.0,3.04,99.0,3.78,0.17,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0.17,106.75,76.79,183.54,0.0,146.82,16.93,0.84,18.92,36.69,106.37,76.79,183.16,0.0,146.52,16.85,0.84,18.92,36.61,0.38,0.0,0.38,0.0,0.3,0.08,0.0,0.0,0.08,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,0.0,2.16,0.0,0.0,0.0,2.16,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.76,0.0,113.76,76.79,0.0,76.79,190.55,0.0,190.55,146.82,0.0,146.82
101,AZ,4,Greenlee County,11,4011,2015,9.529,8.179,0.0,8.179,1.7,0.0,1.7,0.0,0.0,0.0,1.7,0.0,1.7,1.35,0.11,0.0,0.11,81.0,1.53,187.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,3.3,9.4,0.0,7.52,0.24,0.0,2.46,2.7,5.98,3.3,9.28,0.0,7.42,0.21,0.0,2.46,2.67,0.12,0.0,0.12,0.0,0.1,0.03,0.0,0.0,0.03,0.1,0.0,0.1,0.02,0.0,0.02,1.32,0.0,1.32,1.34,0.0,1.34,5.22,0.0,5.22,0.0,0.0,0.0,5.22,0.0,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.25,0.0,13.25,4.62,0.0,4.62,17.87,0.0,17.87,7.52,0.0,7.52
102,AZ,4,La Paz County,12,4012,2015,20.152,9.107000000000001,5.275,14.382,1.83,0.0,1.83,1.06,0.0,1.06,2.89,0.0,2.89,5.77,0.66,0.0,0.66,114.0,2.6,181.0,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.04,534.82,612.86,0.09,490.36,4.79,14.83,80.16,99.78,77.74,534.82,612.56,0.0,490.05,4.72,14.83,80.16,99.71,0.3,0.0,0.3,0.09,0.31,0.07,0.0,0.0,0.07,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.71,0.0,80.71,535.88,0.0,535.88,616.59,0.0,616.59,490.36,0.0,490.36
103,AZ,4,Maricopa County,13,4013,2015,4167.947,1005.956,3119.551,4125.5070000000005,189.35,0.0,189.35,587.19,0.0,587.19,776.54,0.0,776.54,42.44,5.57,0.0,5.57,131.0,636.76,154.0,642.33,1.81,0.0,1.81,0.0,0.0,0.0,1.81,0.0,1.81,953.85,278.95,1232.8,83.78,1006.24,20.43,20.23,203.56,244.22,904.92,244.15,1149.07,58.77,919.25,2.2,20.23,203.56,225.99,48.93,34.8,83.73,25.01,86.99,18.23,0.0,0.0,18.23,13.89,0.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,0.0,0.0,0.0,3.5,0.0,3.5,18.73,0.0,18.73,5.35,0.0,5.35,24.08,0.0,24.08,67.3,0.42,88.01,0.0,88.01,58946.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.73,0.0,18.73,5.35,0.0,5.35,24.08,0.0,24.08,67.3,0.42,88.01,0.0,88.01,58946.71,1186.7,0.0,1186.7,871.49,0.0,871.49,2058.19,0.0,2058.19,1094.25,0.0,1094.25
104,AZ,4,Mohave County,15,4015,2015,204.737,196.467,0.0,196.467,47.86,0.0,47.86,0.0,0.0,0.0,47.86,0.0,47.86,8.27,0.74,0.0,0.74,89.0,37.33,190.0,38.07,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,51.14,60.71,111.85,3.02,91.91,6.08,2.25,15.19,23.52,48.46,60.71,109.17,0.0,87.35,5.09,2.25,15.19,22.53,2.68,0.0,2.68,3.02,4.56,0.99,0.0,0.0,0.99,0.28,0.0,0.28,0.35,0.0,0.35,0.0,0.0,0.0,0.35,0.0,0.35,0.22,0.0,0.22,0.0,0.0,0.0,0.22,0.0,0.22,1.6,0.0,1.6,1.66,0.0,1.66,3.26,0.0,3.26,0.0,0.0,3.26,0.0,3.26,3839.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,1.6,1.66,0.0,1.66,3.26,0.0,3.26,0.0,0.0,3.26,0.0,3.26,3839.25,102.28,0.0,102.28,62.37,0.0,62.37,164.65,0.0,164.65,95.17,0.0,95.17
105,AZ,4,Navajo County,17,4017,2015,108.277,94.667,0.0,94.667,14.5,0.0,14.5,0.0,0.0,0.0,14.5,0.0,14.5,13.61,1.15,0.0,1.15,84.0,12.43,131.0,13.58,0.23,0.0,0.23,0.0,0.0,0.0,0.23,0.0,0.23,6.08,4.33,10.41,0.07,8.38,0.86,0.0,2.08,2.94,3.66,4.33,7.99,0.0,6.39,0.06,0.0,2.08,2.14,2.42,0.0,2.42,0.07,1.99,0.8,0.0,0.0,0.8,0.83,0.0,0.83,1.44,0.0,1.44,9.39,0.0,9.39,10.83,0.0,10.83,1.42,0.0,1.42,0.0,0.0,0.0,1.42,0.0,1.42,12.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,0.0,12.0,5679.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,0.0,12.0,5679.64,37.65,0.0,37.65,13.72,0.0,13.72,51.37,0.0,51.37,20.38,0.0,20.38
