,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
186,CA,6,Alameda County,1,6001,2015,1638.215,0.0,0.0,1629.9,17.63,5.39,23.02,145.72,0.0,145.72,163.35,5.39,168.74,8.315,0.35,0.14,0.49,59.0,98.37,60.0,98.86,0.9,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.9,6.43,3.08,9.51,0.88,7.97,2.44,10.22,0.0,12.66,5.38,2.26,7.64,0.0,6.55,0.39,10.22,0.0,10.61,1.05,0.82,1.87,0.88,1.42,2.05,0.0,0.0,2.05,0.12,0.15,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,4.3,0.0,0.0,0.0,4.3,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,1.4,0.0,1.4,2898.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,1.4,0.0,1.4,2898.9,29.73,5.39,35.12,149.09,0.0,149.09,178.82,5.39,184.21,9.37,0.0,9.37
187,CA,6,Alpine County,3,6003,2015,1.11,0.0,0.0,0.705,0.03,0.0,0.03,0.07,0.0,0.07,0.1,0.0,0.1,0.405,0.03,0.01,0.04,99.0,0.06,85.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.83,2.86,9.69,0.0,6.99,0.0,0.0,3.74,3.74,6.83,2.86,9.69,0.0,6.99,0.0,0.0,3.74,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.89,0.02,6.91,2.94,0.0,2.94,9.83,0.02,9.85,6.99,0.0,6.99
188,CA,6,Amador County,5,6005,2015,37.001,0.0,0.0,27.92,1.2,0.0,1.2,7.44,0.0,7.44,8.64,0.0,8.64,9.081,0.75,0.22,0.97,107.0,2.99,107.0,3.96,0.21,0.0,0.21,0.2,0.0,0.2,0.41,0.0,0.41,14.55,6.2,20.75,0.98,17.18,0.19,7.08,1.74,9.01,14.42,6.04,20.46,0.93,16.96,0.0,7.08,1.74,8.82,0.13,0.16,0.29,0.05,0.22,0.19,0.0,0.0,0.19,0.1,0.13,0.23,0.0,0.0,0.0,7.44,0.0,7.44,7.44,0.0,7.44,0.49,0.0,0.49,1.46,0.0,1.46,1.95,0.0,1.95,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.0,0.27,0.0,0.0,0.19,0.0,0.19,107.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.0,0.27,0.0,0.0,0.19,0.0,0.19,107.98,17.3,0.0,17.3,23.36,0.0,23.36,40.66,0.0,40.66,17.37,0.0,17.37
189,CA,6,Butte County,7,6007,2015,225.41099999999997,0.0,0.0,187.25900000000001,19.08,0.0,19.08,9.73,0.0,9.73,28.81,0.0,28.81,38.152,2.94,0.43,3.37,88.0,18.69,100.0,22.06,3.17,0.0,3.17,0.85,0.0,0.85,4.02,0.0,4.02,716.7,35.98,752.68,0.23,591.87,137.37,68.43,18.67,224.47,716.43,35.77,752.2,0.01,591.51,136.85,68.43,18.67,223.95,0.27,0.21,0.48,0.22,0.36,0.52,0.0,0.0,0.52,0.13,0.16,0.29,21.27,0.0,21.27,0.0,0.0,0.0,21.27,0.0,21.27,0.0,1.46,1.46,0.0,0.0,0.0,0.0,1.46,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.29,1.46,764.75,47.15,0.0,47.15,810.44,1.46,811.9,591.87,0.0,591.87
190,CA,6,Calaveras County,9,6009,2015,44.828,0.0,0.0,33.145,0.19,0.0,0.19,6.4,0.0,6.4,6.59,0.0,6.59,11.683,0.88,0.3,1.18,101.0,3.34,101.0,4.52,0.17,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0.17,6.03,2.77,8.8,0.29,7.45,0.45,3.1,0.12,3.67,5.76,2.42,8.18,0.19,6.98,0.02,3.1,0.12,3.24,0.27,0.35,0.62,0.1,0.47,0.43,0.0,0.0,0.43,0.11,0.14,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38,0.0,7.38,9.63,0.0,9.63,17.01,0.0,17.01,7.45,0.0,7.45
191,CA,6,Colusa County,11,6011,2015,21.482,0.0,0.0,18.049,2.46,0.0,2.46,0.0,0.0,0.0,2.46,0.0,2.46,3.4330000000000003,0.28,0.02,0.3,87.0,1.58,88.0,1.88,0.84,0.0,0.84,0.0,0.0,0.0,0.84,0.0,0.84,636.13,59.12,695.25,0.03,556.7,9.82,186.49,113.42,309.73,636.09,59.09,695.18,0.0,556.65,9.75,186.49,113.42,309.66,0.04,0.03,0.07,0.03,0.05,0.07,0.0,0.0,0.07,0.1,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.28,0.0,0.0,0.0,0.28,0.0,0.28,0.0,0.0,0.2,0.0,0.2,154.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.28,0.0,0.0,0.0,0.28,0.0,0.28,0.0,0.0,0.2,0.0,0.2,154.01,640.09,0.0,640.09,59.28,0.0,59.28,699.37,0.0,699.37,556.9,0.0,556.9
192,CA,6,Contra Costa County,13,6013,2015,1126.745,0.0,0.0,1037.872,7.09,0.0,7.09,132.88,0.0,132.88,139.97,0.0,139.97,88.87299999999999,5.03,1.62,6.65,75.0,72.41,70.0,79.06,3.34,0.0,3.34,0.0,0.0,0.0,3.34,0.0,3.34,13.39,73.7,87.09,3.3,72.03,11.83,28.96,1.63,42.42,12.16,72.74,84.9,2.27,70.36,9.44,28.96,1.63,40.03,1.23,0.96,2.19,1.03,1.67,2.39,0.0,0.0,2.39,0.18,0.22,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.81,0.0,0.0,0.0,0.0,0.81,0.81,0.89,0.0,0.89,0.0,17.62,17.62,0.89,17.62,18.51,4.69,0.0,3.99,0.22,4.21,8159.63,0.0,0.0,0.0,0.0,17.57,17.57,0.0,17.57,17.57,0.0,0.0,0.0,0.19,0.19,168.9,0.89,0.0,0.89,0.0,0.05,0.05,0.89,0.05,0.94,4.69,0.0,3.99,0.03,4.02,7990.73,29.92,0.81,30.73,208.42,17.62,226.04,238.34,18.43,256.77,76.02,0.22,76.24
193,CA,6,Del Norte County,15,6015,2015,27.254,0.0,0.0,24.774,2.28,0.0,2.28,0.12,0.0,0.12,2.4,0.0,2.4,2.48,0.13,0.03,0.16,65.0,1.59,64.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.56,4.86,16.42,0.47,12.75,7.89,1.47,0.0,9.36,11.52,4.83,16.35,0.44,12.7,7.82,1.47,0.0,9.29,0.04,0.03,0.07,0.03,0.05,0.07,0.0,0.0,0.07,0.24,0.33,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.21,0.0,14.21,5.34,0.0,5.34,19.55,0.0,19.55,12.75,0.0,12.75
194,CA,6,El Dorado County,17,6017,2015,184.452,0.0,0.0,156.264,5.08,0.0,5.08,22.72,0.0,22.72,27.8,0.0,27.8,28.188000000000002,2.2,0.6,2.8,99.0,15.48,99.0,18.28,0.89,0.0,0.89,0.0,0.0,0.0,0.89,0.0,0.89,18.57,8.21,26.78,0.18,22.01,2.41,4.41,0.4,7.22,18.07,7.57,25.64,0.0,21.14,1.6,4.41,0.4,6.41,0.5,0.64,1.14,0.18,0.87,0.81,0.0,0.0,0.81,0.08,0.1,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.83,0.01,26.84,31.63,0.0,31.63,58.46,0.01,58.47,22.01,0.0,22.01
195,CA,6,Fresno County,19,6019,2015,974.8610000000001,0.0,0.0,872.74,109.36,0.0,109.36,47.72,0.0,47.72,157.08,0.0,157.08,102.12100000000001,9.83,0.74,10.57,104.0,101.92,117.0,112.49,10.51,0.0,10.51,0.0,0.0,0.0,10.51,0.0,10.51,858.67,757.96,1616.63,36.58,1266.77,62.06,526.08,528.34,1116.48,857.94,757.02,1614.96,36.32,1265.5,60.9,526.08,528.34,1115.32,0.73,0.94,1.67,0.26,1.27,1.16,0.0,0.0,1.16,5.82,7.42,13.24,0.31,0.0,0.31,7.93,0.0,7.93,8.24,0.0,8.24,0.0,7.82,7.82,0.06,0.0,0.06,0.06,7.82,7.88,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.07,0.45,0.39,0.0,0.39,398.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.07,0.45,0.39,0.0,0.39,398.21,994.52,7.82,1002.34,821.83,0.0,821.83,1816.35,7.82,1824.17,1267.16,0.0,1267.16
