,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
244,CO,8,Adams County,1,8001,2015,491.337,19.87,459.14,479.01,12.44,0.0,12.44,66.45,0.0,66.45,78.89,0.0,78.89,12.327,0.94,0.0,0.94,76.0,36.53,76.0,37.47,0.25,0.0,0.25,0.01,0.0,0.01,0.26,0.0,0.26,3.77,83.26,87.03,0.22,9.36,14.84,0.0,4.44,19.28,3.55,81.96,85.51,0.0,7.98,13.79,0.0,4.44,18.23,0.22,1.3,1.52,0.22,1.38,1.05,0.0,0.0,1.05,0.07,0.02,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.1,0.0,0.1,0.21,0.0,0.21,0.0,0.0,0.0,2.9,0.0,2.9,2.9,0.0,2.9,1.55,0.0,3.23,0.0,3.23,3813.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,2.9,2.9,0.0,2.9,1.55,0.0,3.23,0.0,3.23,3813.45,17.58,0.0,17.58,152.74,0.0,152.74,170.32,0.0,170.32,12.59,0.0,12.59
245,CO,8,Alamosa County,3,8003,2015,16.496,9.84,0.0,9.84,2.09,0.0,2.09,0.0,0.0,0.0,2.09,0.0,2.09,6.656000000000001,0.84,0.0,0.84,126.0,1.25,127.0,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.11,52.5,136.61,0.0,61.92,63.93,0.0,43.73,107.66,84.11,52.34,136.45,0.0,61.85,63.85,0.0,43.73,107.58,0.0,0.16,0.16,0.0,0.07,0.08,0.0,0.0,0.08,0.13,0.02,0.15,1.03,0.0,1.03,0.0,0.0,0.0,1.03,0.0,1.03,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.22,0.0,88.22,52.52,0.0,52.52,140.74,0.0,140.74,61.92,0.0,61.92
246,CO,8,Arapahoe County,5,8005,2015,631.096,4.24,621.28,625.52,8.26,0.0,8.26,133.13,0.0,133.13,141.39,0.0,141.39,5.5760000000000005,1.26,0.0,1.26,226.0,141.38,226.0,142.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,1.51,3.56,0.18,2.36,3.78,0.0,0.3,4.08,1.07,0.32,1.39,0.0,0.35,1.32,0.0,0.3,1.62,0.98,1.19,2.17,0.18,2.01,2.46,0.0,0.0,2.46,0.12,0.01,0.13,0.0,0.0,0.0,0.65,0.0,0.65,0.65,0.0,0.65,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.71,0.0,11.71,135.3,0.0,135.3,147.01,0.0,147.01,2.36,0.0,2.36
247,CO,8,Archuleta County,7,8007,2015,12.352,1.98,6.61,8.59,0.04,0.0,0.04,1.47,0.0,1.47,1.51,0.0,1.51,3.762,1.07,0.0,1.07,284.0,2.44,284.0,3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,41.84,41.95,0.0,24.22,1.15,0.0,19.62,20.77,0.11,41.68,41.79,0.0,24.11,1.0,0.0,19.62,20.62,0.0,0.16,0.16,0.0,0.11,0.15,0.0,0.0,0.15,0.05,0.14,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.0,0.0,0.0,0.06,0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.01,1.34,43.45,0.0,43.45,44.78,0.01,44.79,24.22,0.0,24.22
248,CO,8,Baca County,9,8009,2015,3.615,2.53,0.0,2.53,0.45,0.0,0.45,0.0,0.0,0.0,0.45,0.0,0.45,1.085,0.1,0.0,0.1,92.0,0.24,95.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.07,0.17,125.24,0.0,44.57,63.72,0.0,9.05,72.77,125.07,0.17,125.24,0.0,44.57,63.72,0.0,9.05,72.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.03,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.15,0.21,0.0,0.0,0.0,0.06,0.15,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.16,0.15,126.31,0.2,0.0,0.2,126.36,0.15,126.51,44.57,0.0,44.57
249,CO,8,Bent County,11,8011,2015,5.83,3.47,0.0,3.47,0.81,0.0,0.81,0.0,0.0,0.0,0.81,0.0,0.81,2.36,0.2,0.0,0.2,85.0,0.29,84.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27,160.54,167.81,0.0,50.64,6.99,0.0,39.65,46.64,7.27,160.54,167.81,0.0,50.54,6.94,0.0,39.65,46.59,0.0,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.05,0.14,0.12,0.26,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.0,0.09,0.07,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.49,0.0,8.49,160.75,0.0,160.75,169.24,0.0,169.24,50.64,0.0,50.64
250,CO,8,Boulder County,13,8013,2015,319.372,1.25,314.45,315.7,0.05,0.0,0.05,48.25,0.0,48.25,48.3,0.0,48.3,3.6719999999999997,0.38,0.0,0.38,103.0,32.74,104.0,33.12,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.0,0.17,0.02,103.74,103.76,0.09,30.1,5.5,0.0,24.09,29.59,0.02,102.21,102.23,0.0,28.37,4.16,0.0,24.09,28.25,0.0,1.53,1.53,0.09,1.73,1.34,0.0,0.0,1.34,0.04,0.13,0.17,0.0,0.0,0.0,11.17,0.0,11.17,11.17,0.0,11.17,0.08,0.0,0.08,0.01,0.0,0.01,0.09,0.0,0.09,0.0,0.0,0.0,1.56,0.0,1.56,1.56,0.0,1.56,0.0,0.0,1.56,0.0,1.56,1058.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,1.56,1.56,0.0,1.56,0.0,0.0,1.56,0.0,1.56,1058.48,0.57,0.0,0.57,165.03,0.0,165.03,165.6,0.0,165.6,31.66,0.0,31.66
251,CO,8,Broomfield County,14,8014,2015,65.065,0.0,65.065,65.065,0.0,0.0,0.0,5.67,0.0,5.67,5.67,0.0,5.67,0.0,0.0,0.0,0.0,,5.67,87.0,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,1.38,0.37,0.62,0.43,0.0,0.41,0.84,0.0,1.16,1.16,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.22,0.22,0.37,0.62,0.43,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05,0.0,7.05,7.05,0.0,7.05,0.62,0.0,0.62
252,CO,8,Chaffee County,15,8015,2015,18.658,7.22,6.0,13.22,1.43,0.0,1.43,2.53,0.0,2.53,3.96,0.0,3.96,5.438,0.48,0.0,0.48,88.0,1.17,89.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,115.23,115.24,0.0,12.38,4.44,0.0,10.81,15.25,0.01,115.04,115.05,0.0,12.28,4.34,0.0,10.81,15.15,0.0,0.19,0.19,0.0,0.1,0.1,0.0,0.0,0.1,0.01,0.09,0.1,0.0,0.0,0.0,20.51,0.0,20.51,20.51,0.0,20.51,0.12,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,2.05,138.36,0.0,138.36,140.41,0.0,140.41,12.38,0.0,12.38
253,CO,8,Cheyenne County,17,8017,2015,1.829,1.16,0.0,1.16,0.36,0.0,0.36,0.0,0.0,0.0,0.36,0.0,0.36,0.669,0.13,0.0,0.13,194.0,0.23,198.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.35,0.0,29.35,0.0,16.41,21.14,0.0,4.78,25.92,29.24,0.0,29.24,0.0,16.33,21.09,0.0,4.78,25.87,0.11,0.0,0.11,0.0,0.08,0.05,0.0,0.0,0.05,0.19,0.03,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.35,0.39,0.0,0.0,0.0,0.04,0.35,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.07,0.35,30.42,0.03,0.0,0.03,30.1,0.35,30.45,16.41,0.0,16.41
