,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
320,FL,12,Alachua County,1,12001,2015,259.964,207.64,0.0,207.64,23.37,0.0,23.37,0.0,0.0,0.0,23.37,0.0,23.37,52.324,4.12,0.0,4.12,79.0,12.74,61.0,16.86,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,15.1,0.2,15.3,1.12,11.75,10.56,2.25,0.04,12.85,14.81,0.02,14.83,0.52,11.0,10.01,2.25,0.04,12.3,0.29,0.18,0.47,0.6,0.75,0.55,0.0,0.0,0.55,0.8,0.01,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.4,0.0,1.4,1407.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.4,0.0,1.4,1407.2,45.44,0.0,45.44,0.21,0.0,0.21,45.65,0.0,45.65,13.15,0.0,13.15
321,FL,12,Baker County,3,12003,2015,27.42,6.43,0.0,6.43,0.9,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.9,20.99,2.12,0.0,2.12,101.0,0.36,56.0,2.48,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.15,0.29,0.06,0.35,0.04,0.28,0.14,0.06,0.0,0.2,0.29,0.06,0.35,0.04,0.28,0.14,0.06,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56,0.0,3.56,0.06,0.0,0.06,3.62,0.0,3.62,0.28,0.0,0.28
322,FL,12,Bay County,5,12005,2015,181.635,20.74,136.972,157.71200000000002,1.63,0.0,1.63,45.99,0.0,45.99,47.62,0.0,47.62,23.923000000000002,2.3,0.0,2.3,96.0,14.43,91.0,16.73,0.14,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.14,2.57,0.51,3.08,0.06,2.2,2.28,0.04,0.0,2.32,1.54,0.0,1.54,0.0,1.08,1.11,0.04,0.0,1.15,1.03,0.51,1.54,0.06,1.12,1.17,0.0,0.0,1.17,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.97,0.0,170.16,170.16,0.97,170.16,171.13,0.0,0.0,0.68,1.7,2.38,9799.56,0.0,0.0,0.0,0.0,170.16,170.16,0.0,170.16,170.16,0.0,0.0,0.0,1.7,1.7,2429.0,0.97,0.0,0.97,0.0,0.0,0.0,0.97,0.0,0.97,0.0,0.0,0.68,0.0,0.68,7370.56,7.63,0.0,7.63,46.5,170.16,216.66,54.13,170.16,224.29,2.88,1.7,4.58
323,FL,12,Bradford County,7,12007,2015,26.928,7.182,0.0,7.182,0.95,0.0,0.95,0.0,0.0,0.0,0.95,0.0,0.95,19.746,1.98,0.0,1.98,100.0,0.59,82.0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.02,1.43,1.1,1.79,1.24,0.18,0.0,1.42,1.4,0.0,1.4,1.1,1.77,1.2,0.18,0.0,1.38,0.01,0.02,0.03,0.0,0.02,0.04,0.0,0.0,0.04,0.2,0.01,0.21,0.16,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,4.7,0.03,0.0,0.03,4.73,0.0,4.73,1.79,0.0,1.79
324,FL,12,Brevard County,9,12009,2015,568.0880000000001,364.159,156.0,520.159,8.57,8.58,17.15,14.3,0.0,14.3,22.87,8.58,31.45,47.928999999999995,2.79,0.0,2.79,58.0,33.07,64.0,35.86,6.3,0.0,6.3,0.0,0.0,0.0,6.3,0.0,6.3,31.45,6.82,38.27,6.42,27.84,6.77,5.02,16.36,28.15,30.35,2.47,32.82,0.1,19.6,4.84,5.02,16.36,26.22,1.1,4.35,5.45,6.32,8.24,1.93,0.0,0.0,1.93,0.33,0.0,0.33,0.26,0.0,0.26,0.0,0.0,0.0,0.26,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,518.79,518.79,0.06,518.79,518.85,0.0,0.16,0.04,5.18,5.22,7414.3,0.06,0.0,0.06,0.0,518.79,518.79,0.06,518.79,518.85,0.0,0.16,0.04,5.18,5.22,7414.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.76,8.58,58.34,21.12,518.79,539.91,70.88,527.37,598.25,27.88,5.18,33.06
325,FL,12,Broward County,11,12011,2015,1896.425,1888.5720000000001,0.0,1888.5720000000001,221.27,12.38,233.65,0.0,0.0,0.0,221.27,12.38,233.65,7.853,0.64,0.0,0.64,81.0,153.74,81.0,154.38,0.09,0.0,0.09,0.01,0.0,0.01,0.1,0.0,0.1,14.84,32.97,47.81,4.25,37.32,22.18,5.18,0.04,27.4,11.2,26.36,37.56,0.0,27.17,16.66,5.18,0.04,21.88,3.64,6.61,10.25,4.25,10.15,5.52,0.0,0.0,5.52,0.03,0.02,0.05,0.08,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.78,379.78,0.0,379.78,379.78,0.0,1.93,0.0,3.79,3.79,5010.6,0.0,0.0,0.0,0.0,379.78,379.78,0.0,379.78,379.78,0.0,1.69,0.0,3.79,3.79,4543.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,467.4,236.95,12.38,249.33,33.0,379.78,412.78,269.95,392.16,662.11,37.32,3.79,41.11
326,FL,12,Calhoun County,13,12013,2015,14.462,4.365,0.0,4.365,0.58,0.0,0.58,0.0,0.0,0.0,0.58,0.0,0.58,10.097000000000001,0.91,0.0,0.91,90.0,0.35,80.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,0.14,2.85,0.0,2.0,2.96,0.1,0.0,3.06,2.71,0.14,2.85,0.0,2.0,2.96,0.1,0.0,3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.33,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.59,0.0,4.59,0.14,0.0,0.14,4.73,0.0,4.73,2.0,0.0,2.0
327,FL,12,Charlotte County,15,12015,2015,173.115,15.87,142.838,158.708,0.0,2.38,2.38,5.13,0.0,5.13,5.13,2.38,7.51,14.407,0.42,0.0,0.42,29.0,12.25,77.0,12.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,6.47,14.22,2.99,11.83,3.29,26.89,17.34,47.52,7.38,5.67,13.05,0.0,8.92,1.61,26.89,17.34,45.84,0.37,0.8,1.17,2.99,2.91,1.68,0.0,0.0,1.68,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.39,0.0,0.39,0.43,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.22,2.38,10.6,11.99,0.0,11.99,20.21,2.38,22.59,11.83,0.0,11.83
328,FL,12,Citrus County,17,12017,2015,141.058,96.789,0.0,96.789,14.15,0.0,14.15,0.0,0.0,0.0,14.15,0.0,14.15,44.269,4.16,0.0,4.16,94.0,10.29,106.0,14.45,0.16,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.16,4.8,0.17,4.97,1.8,4.77,3.95,0.58,0.06,4.59,1.61,0.02,1.63,1.24,2.04,2.59,0.58,0.06,3.23,3.19,0.15,3.34,0.56,2.73,1.36,0.0,0.0,1.36,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,3.1,0.0,3.1,0.0,1262.36,1262.36,3.1,1262.36,1265.46,0.27,0.0,2.2,12.6,14.8,4016.63,0.0,0.0,0.0,0.0,1262.36,1262.36,0.0,1262.36,1262.36,0.27,0.0,0.0,12.6,12.6,378.9,3.1,0.0,3.1,0.0,0.0,0.0,3.1,0.0,3.1,0.0,0.0,2.2,0.0,2.2,3637.73,26.4,0.0,26.4,0.17,1262.36,1262.53,26.57,1262.36,1288.93,6.97,12.6,19.57
329,FL,12,Clay County,19,12019,2015,203.967,130.268,0.0,130.268,13.51,0.0,13.51,0.0,0.0,0.0,13.51,0.0,13.51,73.699,6.86,0.0,6.86,93.0,8.13,62.0,14.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,1.21,1.56,0.53,1.47,1.41,0.32,0.09,1.82,0.18,0.76,0.94,0.0,0.66,0.8,0.32,0.09,1.21,0.17,0.45,0.62,0.53,0.81,0.61,0.0,0.0,0.61,0.23,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95,0.0,20.95,1.21,0.0,1.21,22.16,0.0,22.16,1.47,0.0,1.47
