,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
387,GA,13,Appling County,1,13001,2015,18.454,6.135,0.0,6.135,0.76,0.0,0.76,0.0,0.0,0.0,0.76,0.0,0.76,12.319,0.92,0.0,0.92,75.0,0.53,86.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.43,4.19,0.0,4.19,9.51,0.8,0.0,10.31,3.76,0.43,4.19,0.0,4.19,9.51,0.8,0.0,10.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.07,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,60.59,0.0,60.59,60.78,0.0,60.78,0.0,0.0,35.62,0.0,35.62,14497.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,60.59,0.0,60.59,60.78,0.0,60.78,0.0,0.0,35.62,0.0,35.62,14497.25,6.26,0.0,6.26,61.09,0.0,61.09,67.35,0.0,67.35,39.81,0.0,39.81
388,GA,13,Atkinson County,3,13003,2015,8.398,4.409,0.0,4.409,0.43,0.0,0.43,0.0,0.0,0.0,0.43,0.0,0.43,3.989,0.3,0.0,0.3,75.0,0.24,54.0,0.54,0.4,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.4,1.32,0.38,1.7,0.0,1.7,9.85,0.46,0.0,10.31,1.32,0.38,1.7,0.0,1.7,9.85,0.46,0.0,10.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.06,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65,0.0,2.65,0.44,0.0,0.44,3.09,0.0,3.09,1.7,0.0,1.7
389,GA,13,Bacon County,5,13005,2015,11.299000000000001,4.885,0.0,4.885,0.98,0.0,0.98,0.0,0.0,0.0,0.98,0.0,0.98,6.414,0.48,0.0,0.48,75.0,0.7,143.0,1.18,0.19,0.0,0.19,0.0,0.0,0.0,0.19,0.0,0.19,3.45,0.62,4.07,0.0,4.07,6.71,1.78,0.0,8.49,3.45,0.62,4.07,0.0,4.07,6.71,1.78,0.0,8.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.05,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.37,0.0,5.37,0.67,0.0,0.67,6.04,0.0,6.04,4.07,0.0,4.07
390,GA,13,Baker County,7,13007,2015,3.18,0.6809999999999999,0.0,0.6809999999999999,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.15,2.499,0.19,0.0,0.19,76.0,0.12,176.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,1.75,23.55,0.0,23.55,40.1,0.24,0.0,40.34,21.8,1.75,23.55,0.0,23.55,40.1,0.24,0.0,40.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.11,0.27,0.0,0.27,0.27,0.0,0.27,0.54,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.51,0.0,22.51,2.03,0.0,2.03,24.54,0.0,24.54,23.55,0.0,23.55
391,GA,13,Baldwin County,9,13009,2015,45.458999999999996,0.34600000000000003,41.29600000000001,41.641999999999996,0.02,0.0,0.02,3.8,0.0,3.8,3.82,0.0,3.82,3.8169999999999997,0.29,0.0,0.29,76.0,1.79,43.0,2.08,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.0,0.05,0.05,0.01,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.53,3.86,0.0,3.86,4.39,0.0,4.39,0.05,0.0,0.05
392,GA,13,Banks County,11,13011,2015,18.495,2.009,7.4510000000000005,9.46,0.25,0.0,0.25,2.36,0.0,2.36,2.61,0.0,2.61,9.035,0.68,0.0,0.68,75.0,0.49,52.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,0.12,0.0,0.0,0.12,0.55,0.18,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,1.48,2.67,0.0,2.67,4.15,0.0,4.15,0.13,0.0,0.13
393,GA,13,Barrow County,13,13013,2015,75.37,0.309,43.861000000000004,44.17,0.03,0.0,0.03,4.43,0.0,4.43,4.46,0.0,4.46,31.2,2.34,0.0,2.34,75.0,4.06,92.0,6.4,0.41,0.0,0.41,0.0,0.0,0.0,0.41,0.0,0.41,0.16,0.35,0.51,0.0,0.51,0.48,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.35,0.51,0.0,0.51,0.48,0.0,0.0,0.48,0.14,0.03,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11,0.0,3.11,4.81,0.0,4.81,7.92,0.0,7.92,0.51,0.0,0.51
394,GA,13,Bartow County,15,13015,2015,102.74700000000001,2.129,83.15299999999999,85.28200000000001,0.19,0.0,0.19,52.22,0.0,52.22,52.41,0.0,52.41,17.465,1.31,0.0,1.31,75.0,6.4,75.0,7.71,1.33,0.0,1.33,1.57,0.0,1.57,2.9,0.0,2.9,0.11,1.94,2.05,0.0,2.05,2.28,0.0,0.0,2.28,0.11,1.71,1.82,0.0,1.82,2.06,0.0,0.0,2.06,0.0,0.23,0.23,0.0,0.23,0.22,0.0,0.0,0.22,0.03,0.44,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.0,33.77,0.0,33.77,33.77,0.0,33.77,0.0,0.0,19.0,0.0,19.0,12851.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.77,0.0,33.77,33.77,0.0,33.77,0.0,0.0,19.0,0.0,19.0,12851.94,3.15,0.0,3.15,89.94,0.0,89.94,93.09,0.0,93.09,21.05,0.0,21.05
395,GA,13,Ben Hill County,17,13017,2015,17.403,12.960999999999999,0.0,12.960999999999999,2.46,0.0,2.46,0.0,0.0,0.0,2.46,0.0,2.46,4.442,0.33,0.0,0.33,74.0,1.23,95.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.89,3.27,0.0,3.27,8.13,0.19,0.0,8.32,2.34,0.89,3.23,0.0,3.23,8.09,0.19,0.0,8.28,0.04,0.0,0.04,0.0,0.04,0.04,0.0,0.0,0.04,0.07,0.03,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24,0.0,5.24,0.92,0.0,0.92,6.16,0.0,6.16,3.27,0.0,3.27
396,GA,13,Berrien County,19,13019,2015,18.963,7.496,0.0,7.496,0.78,0.0,0.78,0.0,0.0,0.0,0.78,0.0,0.78,11.467,0.86,0.0,0.86,75.0,0.55,73.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,2.52,5.44,0.0,5.44,18.0,1.36,0.0,19.36,2.92,2.52,5.44,0.0,5.44,18.0,1.36,0.0,19.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.14,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.73,0.0,4.73,2.66,0.0,2.66,7.39,0.0,7.39,5.44,0.0,5.44
