,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
789,IA,19,Adair County,1,19001,2015,7.228,0.0,0.0,4.431,0.67,0.0,0.67,0.0,0.0,0.0,0.67,0.0,0.67,2.7969999999999997,0.18,0.0,0.18,64.0,0.29,65.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.02,0.1,0.0,0.0,0.1,0.02,0.0,0.02,0.0,0.02,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.18,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.37,0.37,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,1.43,0.55,0.0,0.55,1.98,0.0,1.98,0.02,0.0,0.02
790,IA,19,Adams County,3,19003,2015,3.7960000000000003,0.0,0.0,3.562,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.23399999999999999,0.01,0.0,0.01,43.0,0.23,65.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.15,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,1.32,0.0,1.32,1.77,0.0,1.77,0.0,0.0,0.0
791,IA,19,Allamakee County,5,19005,2015,13.886,0.0,0.0,7.454,0.91,0.0,0.91,0.0,0.0,0.0,0.91,0.0,0.91,6.432,0.41,0.0,0.41,64.0,0.48,64.0,0.89,0.52,0.0,0.52,0.0,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.39,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,150.48,0.0,150.48,150.57,0.0,150.57,0.0,0.0,1.46,0.0,1.46,860.42,0.09,0.0,0.09,150.48,0.0,150.48,150.57,0.0,150.57,0.0,0.0,1.46,0.0,1.46,860.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09,0.0,3.09,150.87,0.0,150.87,153.96,0.0,153.96,1.46,0.0,1.46
792,IA,19,Appanoose County,7,19007,2015,12.529000000000002,0.0,0.0,7.925,0.0,0.0,0.0,6.65,0.0,6.65,6.65,0.0,6.65,4.604,0.3,0.0,0.3,65.0,0.52,66.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.09,0.0,0.0,0.09,0.21,0.07,0.28,0.04,0.0,0.04,4.55,0.0,4.55,4.59,0.0,4.59,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.55,11.32,0.0,11.32,11.87,0.0,11.87,0.02,0.0,0.02
793,IA,19,Audubon County,9,19009,2015,5.773,0.0,0.0,3.259,0.24,0.0,0.24,0.0,0.0,0.0,0.24,0.0,0.24,2.5140000000000002,0.16,0.0,0.16,64.0,0.21,64.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.5,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,1.89,0.5,0.0,0.5,2.39,0.0,2.39,0.0,0.0,0.0
794,IA,19,Benton County,11,19011,2015,25.658,0.0,0.0,16.991,1.26,0.0,1.26,0.0,0.0,0.0,1.26,0.0,1.26,8.667,0.56,0.0,0.56,65.0,1.1,65.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.16,0.37,0.0,0.0,0.37,0.14,0.0,0.14,0.0,0.11,0.3,0.0,0.0,0.3,0.06,0.0,0.06,0.0,0.05,0.07,0.0,0.0,0.07,0.98,0.33,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.6,0.0,0.6,3.6,0.0,3.6,0.16,0.0,0.16
795,IA,19,Black Hawk County,13,19013,2015,133.455,0.0,0.0,123.785,16.56,0.0,16.56,0.0,0.0,0.0,16.56,0.0,16.56,9.67,0.63,0.0,0.63,65.0,8.05,65.0,8.68,14.32,0.0,14.32,0.0,0.0,0.0,14.32,0.0,14.32,0.16,0.0,0.16,0.0,0.13,1.04,0.0,0.0,1.04,0.04,0.0,0.04,0.0,0.03,0.6,0.0,0.0,0.6,0.12,0.0,0.12,0.0,0.1,0.44,0.0,0.0,0.44,1.23,0.41,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.95,0.0,6.95,6.95,0.0,6.95,0.52,0.0,0.52,0.0,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.38,0.0,0.38,26.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.38,0.0,0.38,26.31,33.42,0.0,33.42,7.36,0.0,7.36,40.78,0.0,40.78,0.51,0.0,0.51
796,IA,19,Boone County,15,19015,2015,26.643,0.0,0.0,24.474,2.39,0.0,2.39,0.0,0.0,0.0,2.39,0.0,2.39,2.169,0.14,0.0,0.14,65.0,1.59,65.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.02,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.02,0.11,0.0,0.0,0.11,0.69,0.24,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.41,0.41,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,0.0,3.24,0.65,0.0,0.65,3.89,0.0,3.89,0.02,0.0,0.02
797,IA,19,Bremer County,17,19017,2015,24.721999999999998,0.0,0.0,17.76,1.51,0.0,1.51,0.0,0.0,0.0,1.51,0.0,1.51,6.962000000000001,0.46,0.0,0.46,66.0,1.15,65.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.05,0.21,0.0,0.17,1.18,0.0,0.0,1.18,0.1,0.05,0.15,0.0,0.12,1.1,0.0,0.0,1.1,0.06,0.0,0.06,0.0,0.05,0.08,0.0,0.0,0.08,1.1,0.36,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35,0.35,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.0,3.23,0.76,0.0,0.76,3.99,0.0,3.99,0.17,0.0,0.17
798,IA,19,Buchanan County,19,19019,2015,21.061999999999998,0.0,0.0,12.948,1.2,0.0,1.2,0.0,0.0,0.0,1.2,0.0,1.2,8.113999999999999,0.53,0.0,0.53,65.0,0.84,65.0,1.37,0.46,0.0,0.46,0.0,0.0,0.0,0.46,0.0,0.46,0.01,0.0,0.01,0.0,0.01,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.04,0.0,0.0,0.04,1.86,0.61,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.06,0.0,4.06,0.77,0.0,0.77,4.83,0.0,4.83,0.01,0.0,0.01
