,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
551,ID,16,Ada County,1,16001,2015,434.211,0.0,0.0,392.43300000000005,59.17,0.0,59.17,13.54,0.0,13.54,72.71,0.0,72.71,41.778,7.06,0.0,7.06,169.0,63.5,162.0,70.56,3.87,0.0,3.87,2.86,0.0,2.86,6.73,0.0,6.73,38.2,186.28,224.48,0.0,108.29,15.56,0.0,25.89,41.45,35.35,185.57,220.92,0.0,105.62,13.94,0.0,25.89,39.83,2.85,0.71,3.56,0.0,2.67,1.62,0.0,0.0,1.62,1.92,0.34,2.26,2.55,0.0,2.55,0.0,0.0,0.0,2.55,0.0,2.55,0.86,0.0,0.86,0.86,0.0,0.86,1.72,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.63,0.0,113.63,203.88,0.0,203.88,317.51,0.0,317.51,108.29,0.0,108.29
552,ID,16,Adams County,3,16003,2015,3.843,0.0,0.0,2.241,0.53,0.0,0.53,0.0,0.0,0.0,0.53,0.0,0.53,1.6019999999999999,0.34,0.0,0.34,212.0,0.48,214.0,0.82,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.99,34.06,35.05,0.0,16.3,2.31,0.0,5.3,7.61,0.7,34.06,34.76,0.0,16.08,2.16,0.0,5.3,7.46,0.29,0.0,0.29,0.0,0.22,0.15,0.0,0.0,0.15,0.1,0.07,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,1.97,34.22,0.0,34.22,36.19,0.0,36.19,16.3,0.0,16.3
553,ID,16,Bannock County,5,16005,2015,83.744,0.0,0.0,75.648,16.85,0.0,16.85,0.06,0.0,0.06,16.91,0.0,16.91,8.096,1.55,0.0,1.55,191.0,14.5,192.0,16.05,0.24,0.0,0.24,0.77,0.0,0.77,1.01,0.0,1.01,41.97,176.55,218.52,0.0,130.8,35.4,0.0,14.32,49.72,41.41,176.55,217.96,0.0,130.38,35.06,0.0,14.32,49.38,0.56,0.0,0.56,0.0,0.42,0.34,0.0,0.0,0.34,0.26,0.13,0.39,0.0,0.0,0.0,10.04,0.0,10.04,10.04,0.0,10.04,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.87,0.0,60.87,187.71,0.0,187.71,248.58,0.0,248.58,130.8,0.0,130.8
554,ID,16,Bear Lake County,7,16007,2015,5.922000000000001,0.0,0.0,5.817,0.37,0.0,0.37,0.0,0.0,0.0,0.37,0.0,0.37,0.105,0.01,0.0,0.01,95.0,0.27,46.0,0.28,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,2.69,250.46,253.15,0.0,137.99,27.75,0.0,20.86,48.61,2.53,250.46,252.99,0.0,137.87,27.65,0.0,20.86,48.51,0.16,0.0,0.16,0.0,0.12,0.1,0.0,0.0,0.1,0.27,0.14,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34,0.0,3.34,250.64,0.0,250.64,253.98,0.0,253.98,137.99,0.0,137.99
555,ID,16,Benewah County,9,16009,2015,9.052,0.0,0.0,5.044,0.2,0.0,0.2,0.32,0.0,0.32,0.52,0.0,0.52,4.008,0.38,0.0,0.38,95.0,0.48,95.0,0.86,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.0,0.05,1.23,9.07,10.3,0.0,5.21,1.3,0.0,1.59,2.89,1.12,9.07,10.19,0.0,5.13,1.25,0.0,1.59,2.84,0.11,0.0,0.11,0.0,0.08,0.05,0.0,0.0,0.05,0.02,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,1.83,9.52,0.0,9.52,11.35,0.0,11.35,5.21,0.0,5.21
556,ID,16,Bingham County,11,16011,2015,44.99,0.0,0.0,22.086,1.99,0.0,1.99,0.0,0.0,0.0,1.99,0.0,1.99,22.904,1.85,0.0,1.85,81.0,1.79,81.0,3.64,5.25,0.0,5.25,0.01,0.0,0.01,5.26,0.0,5.26,421.08,420.84,841.92,0.0,580.65,230.67,0.0,25.61,256.28,420.84,420.84,841.68,0.0,580.47,230.52,0.0,25.61,256.13,0.24,0.0,0.24,0.0,0.18,0.15,0.0,0.0,0.15,0.98,0.36,1.34,13.34,0.0,13.34,0.0,0.0,0.0,13.34,0.0,13.34,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.49,0.0,444.49,421.46,0.0,421.46,865.95,0.0,865.95,580.65,0.0,580.65
557,ID,16,Blaine County,13,16013,2015,21.592,0.0,0.0,17.662,5.44,0.0,5.44,0.0,0.0,0.0,5.44,0.0,5.44,3.93,1.03,0.0,1.03,262.0,4.62,262.0,5.65,0.13,0.0,0.13,0.19,0.0,0.19,0.32,0.0,0.32,75.93,139.37,215.3,0.0,121.35,34.74,0.0,21.02,55.76,75.05,139.37,214.42,0.0,120.69,34.3,0.0,21.02,55.32,0.88,0.0,0.88,0.0,0.66,0.44,0.0,0.0,0.44,0.1,0.06,0.16,0.52,0.0,0.52,5.29,0.0,5.29,5.81,0.0,5.81,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.15,0.0,83.15,145.13,0.0,145.13,228.28,0.0,228.28,121.35,0.0,121.35
558,ID,16,Boise County,15,16015,2015,7.058,0.0,0.0,3.783,0.17,0.0,0.17,0.31,0.0,0.31,0.48,0.0,0.48,3.275,0.39,0.0,0.39,119.0,0.45,119.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,3.57,3.81,0.0,2.01,0.51,0.0,0.44,0.95,0.04,3.57,3.61,0.0,1.86,0.41,0.0,0.44,0.85,0.2,0.0,0.2,0.0,0.15,0.1,0.0,0.0,0.1,0.02,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.82,4.05,0.0,4.05,4.87,0.0,4.87,2.01,0.0,2.01
559,ID,16,Bonner County,17,16017,2015,41.858999999999995,0.0,0.0,20.22,0.18,0.0,0.18,1.53,0.0,1.53,1.71,0.0,1.71,21.639,1.65,0.0,1.65,76.0,1.54,76.0,3.19,0.03,0.0,0.03,0.9,0.0,0.9,0.93,0.0,0.93,1.62,5.65,7.27,0.0,3.85,1.17,0.0,1.03,2.2,0.77,5.65,6.42,0.0,3.21,0.78,0.0,1.03,1.81,0.85,0.0,0.85,0.0,0.64,0.39,0.0,0.0,0.39,0.05,0.03,0.08,5.33,0.0,5.33,0.35,0.0,0.35,5.68,0.0,5.68,0.0,0.0,0.0,0.69,0.0,0.69,0.69,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.86,0.0,8.86,9.15,0.0,9.15,18.01,0.0,18.01,3.85,0.0,3.85
560,ID,16,Bonneville County,19,16019,2015,110.089,0.0,0.0,95.956,36.62,0.0,36.62,0.0,0.0,0.0,36.62,0.0,36.62,14.133,4.84,0.0,4.84,342.0,32.86,342.0,37.7,3.05,0.0,3.05,0.2,0.0,0.2,3.25,0.0,3.25,193.4,578.28,771.68,0.0,511.67,163.46,0.0,28.78,192.24,192.76,578.28,771.04,0.0,511.19,163.07,0.0,28.78,191.85,0.64,0.0,0.64,0.0,0.48,0.39,0.0,0.0,0.39,0.54,0.31,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.12,0.0,0.12,0.23,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.56,0.0,238.56,578.91,0.0,578.91,817.47,0.0,817.47,511.67,0.0,511.67
