,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
595,IL,17,Adams County,1,17001,2015,67.013,22.945,40.78,63.725,2.35,0.0,2.35,8.0,0.0,8.0,10.35,0.0,10.35,3.2880000000000003,0.26,0.0,0.26,79.0,5.1,80.0,5.36,5.68,0.0,5.68,0.0,0.0,0.0,5.68,0.0,5.68,0.72,0.28,1.0,0.0,1.0,4.85,0.0,0.0,4.85,0.72,0.0,0.72,0.0,0.72,4.64,0.0,0.0,4.64,0.0,0.28,0.28,0.0,0.28,0.21,0.0,0.0,0.21,0.69,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.5,0.51,0.08,0.0,0.08,0.09,0.5,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.71,0.5,10.21,8.36,0.0,8.36,18.07,0.5,18.57,1.0,0.0,1.0
596,IL,17,Alexander County,3,17003,2015,6.78,3.65,2.467,6.117000000000001,0.96,0.0,0.96,0.65,0.0,0.65,1.61,0.0,1.61,0.6629999999999999,0.05,0.0,0.05,75.0,0.49,80.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,2.37,0.0,2.37,3.97,0.0,0.0,3.97,2.37,0.0,2.37,0.0,2.37,3.97,0.0,0.0,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,3.4,0.65,0.0,0.65,4.05,0.0,4.05,2.37,0.0,2.37
597,IL,17,Bond County,5,17005,2015,16.95,0.0,15.927999999999999,15.927999999999999,0.08,0.0,0.08,1.22,0.0,1.22,1.3,0.0,1.3,1.022,0.08,0.0,0.08,78.0,1.27,80.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.0,0.02,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.5,0.53,0.11,0.0,0.11,0.14,0.5,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.5,0.86,1.34,0.0,1.34,1.7,0.5,2.2,0.01,0.0,0.01
598,IL,17,Boone County,7,17007,2015,53.585,41.331,0.0,41.331,3.56,0.0,3.56,0.0,0.0,0.0,3.56,0.0,3.56,12.254000000000001,0.98,0.0,0.98,80.0,3.31,80.0,4.29,0.43,0.0,0.43,0.0,0.0,0.0,0.43,0.0,0.43,0.73,0.13,0.86,0.0,0.86,1.69,0.0,0.0,1.69,0.6,0.0,0.6,0.0,0.6,1.51,0.0,0.0,1.51,0.13,0.13,0.26,0.0,0.26,0.18,0.0,0.0,0.18,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.1,0.0,0.1,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87,0.0,5.87,0.23,0.0,0.23,6.1,0.0,6.1,0.86,0.0,0.86
599,IL,17,Brown County,9,17009,2015,6.829,4.039,0.0,4.039,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,2.79,0.22,0.0,0.22,79.0,0.32,79.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0,0.02,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.9,0.02,0.0,0.02,0.42,0.5,0.92,0.02,0.0,0.02
600,IL,17,Bureau County,11,17011,2015,33.586999999999996,25.518,0.0,25.518,2.96,0.0,2.96,0.0,0.0,0.0,2.96,0.0,2.96,8.068999999999999,0.65,0.0,0.65,81.0,2.04,80.0,2.69,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,5.73,0.19,5.92,0.0,5.92,12.42,0.0,0.0,12.42,5.6,0.06,5.66,0.0,5.66,12.2,0.0,0.0,12.2,0.13,0.13,0.26,0.0,0.26,0.22,0.0,0.0,0.22,0.37,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.04,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.79,0.0,9.79,0.23,0.0,0.23,10.02,0.0,10.02,5.92,0.0,5.92
601,IL,17,Calhoun County,13,17013,2015,4.899,4.638999999999999,0.0,4.638999999999999,0.41,0.0,0.41,0.0,0.0,0.0,0.41,0.0,0.41,0.26,0.02,0.0,0.02,77.0,0.37,80.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.72,0.0,0.0,0.0,0.72,0.0,0.72,0.0,0.0,0.0
602,IL,17,Carroll County,15,17015,2015,14.616,8.786,0.0,8.786,1.03,0.0,1.03,0.0,0.0,0.0,1.03,0.0,1.03,5.83,0.47,0.0,0.47,81.0,0.7,80.0,1.17,2.74,0.0,2.74,0.0,0.0,0.0,2.74,0.0,2.74,1.09,0.04,1.13,0.0,1.13,9.78,0.0,0.0,9.78,1.05,0.0,1.05,0.0,1.05,9.69,0.0,0.0,9.69,0.04,0.04,0.08,0.0,0.08,0.09,0.0,0.0,0.09,0.64,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.97,0.0,5.97,0.07,0.0,0.07,6.04,0.0,6.04,1.13,0.0,1.13
603,IL,17,Cass County,17,17017,2015,12.847000000000001,10.182,0.0,10.182,1.1,0.0,1.1,0.0,0.0,0.0,1.1,0.0,1.1,2.665,0.21,0.0,0.21,79.0,0.81,80.0,1.02,1.71,0.0,1.71,0.0,0.0,0.0,1.71,0.0,1.71,9.15,0.23,9.38,0.0,9.38,25.56,0.0,0.0,25.56,9.15,0.23,9.38,0.0,9.38,25.56,0.0,0.0,25.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,12.7,0.23,0.0,0.23,12.93,0.0,12.93,9.38,0.0,9.38
604,IL,17,Champaign County,19,17019,2015,208.861,189.8,0.0,189.8,24.42,0.0,24.42,0.0,0.0,0.0,24.42,0.0,24.42,19.061,1.52,0.0,1.52,80.0,15.18,80.0,16.7,1.89,0.0,1.89,0.0,0.0,0.0,1.89,0.0,1.89,4.39,0.22,4.61,0.0,4.61,15.01,0.0,0.0,15.01,4.17,0.0,4.17,0.0,4.17,14.62,0.0,0.0,14.62,0.22,0.22,0.44,0.0,0.44,0.39,0.0,0.0,0.39,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.42,0.0,32.42,0.41,0.0,0.41,32.83,0.0,32.83,4.61,0.0,4.61
