,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
697,IN,18,Adams County,1,18001,2015,34.98,0.0,0.0,20.079,2.31,0.0,2.31,0.0,0.0,0.0,2.31,0.0,2.31,14.901,1.13,0.0,1.13,76.0,1.53,76.0,2.66,0.59,0.0,0.59,2.49,0.0,2.49,3.08,0.0,3.08,0.03,0.0,0.03,0.0,0.02,0.28,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.03,0.0,0.03,0.0,0.02,0.13,0.0,0.0,0.13,1.0,0.27,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06,0.0,5.06,2.76,0.0,2.76,7.82,0.0,7.82,0.02,0.0,0.02
698,IN,18,Allen County,3,18003,2015,368.45,0.0,0.0,312.44599999999997,0.85,0.0,0.85,34.85,0.0,34.85,35.7,0.0,35.7,56.004,4.26,0.0,4.26,76.0,23.75,76.0,28.01,0.53,0.0,0.53,0.1,0.0,0.1,0.63,0.0,0.63,0.22,0.06,0.28,0.0,0.25,1.13,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.22,0.06,0.28,0.0,0.25,0.73,0.0,0.0,0.73,0.29,0.22,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.88,0.0,6.88,6.88,0.0,6.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15,0.0,6.15,42.11,0.0,42.11,48.26,0.0,48.26,0.25,0.0,0.25
699,IN,18,Bartholomew County,5,18005,2015,81.16199999999999,0.0,0.0,56.245,9.49,0.0,9.49,0.0,0.0,0.0,9.49,0.0,9.49,24.916999999999998,1.89,0.0,1.89,76.0,4.27,76.0,6.16,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,4.14,0.22,4.36,0.0,3.92,13.58,0.0,0.0,13.58,4.04,0.22,4.26,0.0,3.83,13.51,0.0,0.0,13.51,0.1,0.0,0.1,0.0,0.09,0.07,0.0,0.0,0.07,0.09,0.05,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.0,2.61,2.61,0.0,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.65,0.0,15.65,2.88,0.0,2.88,18.53,0.0,18.53,3.92,0.0,3.92
700,IN,18,Benton County,7,18007,2015,8.681000000000001,0.0,0.0,5.591,0.4,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.4,3.09,0.23,0.0,0.23,74.0,0.42,75.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.05,0.35,0.0,0.32,5.5,0.0,0.0,5.5,0.3,0.05,0.35,0.0,0.32,5.5,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.23,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,1.07,0.28,0.0,0.28,1.35,0.0,1.35,0.32,0.0,0.32
701,IN,18,Blackford County,9,18009,2015,12.298,0.0,0.0,8.424,1.04,0.0,1.04,0.0,0.0,0.0,1.04,0.0,1.04,3.8739999999999997,0.29,0.0,0.29,75.0,0.64,76.0,0.93,0.34,0.0,0.34,0.19,0.0,0.19,0.53,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.03,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,1.85,0.22,0.0,0.22,2.07,0.0,2.07,0.0,0.0,0.0
702,IN,18,Boone County,11,18011,2015,63.343999999999994,0.0,0.0,37.5,2.01,0.0,2.01,0.0,0.0,0.0,2.01,0.0,2.01,25.844,1.96,0.0,1.96,76.0,2.85,76.0,4.81,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.41,0.42,0.0,0.37,1.17,0.0,0.0,1.17,0.0,0.37,0.37,0.0,0.33,0.91,0.0,0.0,0.91,0.01,0.04,0.05,0.0,0.04,0.26,0.0,0.0,0.26,0.15,0.04,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14,0.0,4.14,0.58,0.0,0.58,4.72,0.0,4.72,0.37,0.0,0.37
703,IN,18,Brown County,13,18013,2015,14.977,0.0,0.0,11.383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.594,0.27,0.0,0.27,75.0,0.87,76.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.0,0.02,0.02,0.0,0.02,0.07,0.0,0.0,0.07,0.01,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.28,0.04,0.0,0.04,0.32,0.0,0.32,0.02,0.0,0.02
704,IN,18,Carroll County,15,18015,2015,19.855999999999998,0.0,0.0,5.797999999999999,1.31,0.0,1.31,0.0,0.0,0.0,1.31,0.0,1.31,14.058,1.07,0.0,1.07,76.0,0.44,76.0,1.51,0.06,0.0,0.06,5.71,0.0,5.71,5.77,0.0,5.77,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.09,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73,0.0,3.73,5.8,0.0,5.8,9.53,0.0,9.53,0.0,0.0,0.0
705,IN,18,Cass County,17,18017,2015,37.979,0.0,0.0,21.458000000000002,5.94,0.0,5.94,0.0,0.0,0.0,5.94,0.0,5.94,16.521,1.26,0.0,1.26,76.0,1.63,76.0,2.89,1.42,0.0,1.42,0.0,0.0,0.0,1.42,0.0,1.42,0.21,0.08,0.29,0.0,0.27,2.06,0.0,0.0,2.06,0.21,0.01,0.22,0.0,0.2,1.93,0.0,0.0,1.93,0.0,0.07,0.07,0.0,0.07,0.13,0.0,0.0,0.13,0.27,0.12,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.0,1.71,1.71,0.0,1.71,0.0,0.0,0.0,15.14,0.0,15.14,15.14,0.0,15.14,0.0,0.0,0.3,0.0,0.3,121.39,0.0,0.0,0.0,15.14,0.0,15.14,15.14,0.0,15.14,0.0,0.0,0.3,0.0,0.3,121.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,9.1,17.05,0.0,17.05,26.15,0.0,26.15,0.57,0.0,0.57
706,IN,18,Clark County,19,18019,2015,115.37100000000001,0.0,0.0,110.98700000000001,21.85,0.0,21.85,0.26,0.0,0.26,22.11,0.0,22.11,4.3839999999999995,0.33,0.0,0.33,75.0,8.44,76.0,8.77,0.4,0.0,0.4,6.59,0.0,6.59,6.99,0.0,6.99,0.0,0.16,0.16,0.0,0.14,0.56,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.43,0.0,0.16,0.16,0.0,0.14,0.13,0.0,0.0,0.13,0.02,0.1,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,0.0,22.6,7.86,0.0,7.86,30.46,0.0,30.46,0.14,0.0,0.14
