,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
1113,LA,22,Acadia Parish,1,22001,2015,62.577,47.028999999999996,0.0,47.028999999999996,5.62,0.0,5.62,0.0,0.0,0.0,5.62,0.0,5.62,15.548,1.24,0.0,1.24,80.0,4.46,95.0,5.7,0.58,0.0,0.58,0.0,0.0,0.0,0.58,0.0,0.58,113.8,48.99,162.79,0.0,107.54,0.0,0.0,85.99,85.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.12,88.52,0.0,88.52,15.62,0.0,15.62,104.14,0.0,104.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.49,0.0,4.49,3.43,0.0,3.43,7.92,0.0,7.92,0.0,0.0,5.84,0.0,5.84,6585.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.49,0.0,4.49,3.43,0.0,3.43,7.92,0.0,7.92,0.0,0.0,5.84,0.0,5.84,6585.9,214.36,0.0,214.36,68.05,0.0,68.05,282.41,0.0,282.41,113.38,0.0,113.38
1114,LA,22,Allen Parish,3,22003,2015,25.683000000000003,22.502,0.0,22.502,4.24,0.0,4.24,0.0,0.0,0.0,4.24,0.0,4.24,3.181,0.25,0.0,0.25,79.0,3.37,150.0,3.62,0.33,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.33,22.37,7.29,29.66,0.0,19.59,0.0,0.0,15.82,15.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,8.16,0.0,8.16,2.04,0.0,2.04,10.2,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.4,0.0,35.4,9.34,0.0,9.34,44.74,0.0,44.74,19.59,0.0,19.59
1115,LA,22,Ascension Parish,5,22005,2015,119.455,41.653,44.236999999999995,85.89,1.28,0.0,1.28,1.37,0.0,1.37,2.65,0.0,2.65,33.565,2.69,0.0,2.69,80.0,2.26,26.0,4.95,1.43,0.0,1.43,181.28,0.0,181.28,182.71,0.0,182.71,0.45,0.0,0.45,0.0,0.3,0.0,0.0,1.04,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.92,0.0,5.92,182.67,0.0,182.67,188.59,0.0,188.59,0.3,0.0,0.3
1116,LA,22,Assumption Parish,7,22007,2015,22.842,0.0,22.473000000000003,22.473000000000003,0.0,0.0,0.0,4.19,0.0,4.19,4.19,0.0,4.19,0.369,0.03,0.0,0.03,81.0,3.42,152.0,3.45,9.19,0.0,9.19,6.52,0.0,6.52,15.71,0.0,15.71,0.28,0.42,0.7,0.0,0.47,0.0,0.0,1.64,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.17,0.0,0.17,0.67,0.0,0.67,0.84,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.67,0.0,9.67,11.81,0.0,11.81,21.48,0.0,21.48,0.47,0.0,0.47
1117,LA,22,Avoyelles Parish,9,22009,2015,41.103,38.841,0.0,38.841,4.05,0.0,4.05,0.0,0.0,0.0,4.05,0.0,4.05,2.262,0.18,0.0,0.18,80.0,3.37,87.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.48,3.46,36.94,0.0,24.71,0.65,0.0,38.19,38.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,18.43,0.0,18.43,6.14,0.0,6.14,24.57,0.0,24.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.3,0.0,56.3,9.6,0.0,9.6,65.9,0.0,65.9,24.71,0.0,24.71
1118,LA,22,Beauregard Parish,11,22011,2015,36.461999999999996,26.359,0.0,26.359,4.42,0.0,4.42,0.0,0.0,0.0,4.42,0.0,4.42,10.103,0.81,0.0,0.81,80.0,3.63,138.0,4.44,35.04,0.0,35.04,0.0,0.0,0.0,35.04,0.0,35.04,2.59,0.04,2.63,0.0,1.75,0.0,0.0,2.01,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.06,0.15,1.08,0.0,1.08,0.0,0.0,0.0,1.08,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.03,0.0,44.03,0.1,0.0,0.1,44.13,0.0,44.13,1.75,0.0,1.75
1119,LA,22,Bienville Parish,13,22013,2015,13.786,9.718,0.0,9.718,2.72,0.0,2.72,0.0,0.0,0.0,2.72,0.0,2.72,4.0680000000000005,0.33,0.0,0.33,81.0,2.14,220.0,2.47,6.08,0.0,6.08,0.0,0.0,0.0,6.08,0.0,6.08,0.0,0.15,0.15,0.0,0.1,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,0.0,9.17,0.42,0.0,0.42,9.59,0.0,9.59,0.1,0.0,0.1
1120,LA,22,Bossier Parish,15,22015,2015,125.175,20.936,90.406,111.34200000000001,2.43,0.0,2.43,10.45,0.0,10.45,12.88,0.0,12.88,13.833,1.11,0.0,1.11,80.0,9.22,83.0,10.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.49,0.61,0.0,0.41,0.0,0.0,1.48,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.03,0.14,0.07,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.07,0.03,0.0,0.03,0.25,0.0,0.25,0.28,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,0.0,3.87,11.22,0.0,11.22,15.09,0.0,15.09,0.41,0.0,0.41
1121,LA,22,Caddo Parish,17,22017,2015,251.46,5.32,227.761,233.081,1.32,0.0,1.32,41.96,0.0,41.96,43.28,0.0,43.28,18.379,1.47,0.0,1.47,80.0,35.92,154.0,37.39,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,4.57,1.14,5.71,0.0,3.85,3.4,0.0,11.96,15.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.13,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.03,0.0,0.03,0.77,0.0,0.77,0.8,0.0,0.8,0.0,0.0,0.0,30.21,0.0,30.21,30.21,0.0,30.21,0.0,0.0,1.76,0.0,1.76,3665.95,0.0,0.0,0.0,28.12,0.0,28.12,28.12,0.0,28.12,0.0,0.0,0.05,0.0,0.05,49.84,0.0,0.0,0.0,2.09,0.0,2.09,2.09,0.0,2.09,0.0,0.0,1.71,0.0,1.71,3616.11,7.53,0.0,7.53,74.27,0.0,74.27,81.8,0.0,81.8,5.61,0.0,5.61
1122,LA,22,Calcasieu Parish,19,22019,2015,198.78799999999998,171.137,3.0839999999999996,174.22099999999998,27.51,0.0,27.51,0.0,0.0,0.0,27.51,0.0,27.51,24.566999999999997,1.97,0.0,1.97,80.0,22.67,130.0,24.64,40.14,0.0,40.14,129.92,0.0,129.92,170.06,0.0,170.06,19.34,6.24,25.58,0.0,16.91,0.22,0.0,13.94,14.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.23,0.39,1.95,0.0,1.95,1.05,0.0,1.05,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62,0.0,6.62,7.96,0.0,7.96,14.58,0.0,14.58,0.0,0.0,5.94,0.0,5.94,4035.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62,0.0,6.62,7.96,0.0,7.96,14.58,0.0,14.58,0.0,0.0,5.94,0.0,5.94,4035.7,97.69,0.0,97.69,145.4,0.0,145.4,243.09,0.0,243.09,22.85,0.0,22.85
