,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
1217,MA,25,Barnstable County,1,25001,2015,214.333,189.392,12.694,202.08599999999998,29.84,0.0,29.84,2.0,0.0,2.0,31.84,0.0,31.84,12.247,0.91,0.0,0.91,74.0,14.95,74.0,15.86,0.12,0.0,0.12,0.01,0.0,0.01,0.13,0.0,0.13,8.94,1.49,10.43,0.0,2.45,2.01,0.16,0.94,3.11,7.47,1.49,8.96,0.0,1.06,0.23,0.01,0.94,1.18,1.47,0.0,1.47,0.0,1.39,1.78,0.15,0.0,1.93,0.0,0.0,0.0,1.05,0.0,1.05,0.0,0.0,0.0,1.05,0.0,1.05,0.19,0.0,0.19,0.48,0.0,0.48,0.67,0.0,0.67,0.0,0.0,0.0,0.0,27.59,27.59,0.0,27.59,27.59,0.0,0.0,0.0,0.28,0.28,261.62,0.0,0.0,0.0,0.0,27.59,27.59,0.0,27.59,27.59,0.0,0.0,0.0,0.28,0.28,261.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.05,0.0,41.05,3.98,27.59,31.57,45.03,27.59,72.62,2.45,0.28,2.73
1218,MA,25,Berkshire County,3,25003,2015,127.82799999999999,21.985,84.09,106.075,2.97,0.0,2.97,11.36,0.0,11.36,14.33,0.0,14.33,21.753,1.22,0.0,1.22,56.0,5.94,56.0,7.16,4.98,0.0,4.98,2.13,0.0,2.13,7.11,0.0,7.11,0.22,0.16,0.38,0.0,0.28,0.88,0.07,0.01,0.96,0.0,0.16,0.16,0.0,0.07,0.2,0.01,0.01,0.22,0.22,0.0,0.22,0.0,0.21,0.68,0.06,0.0,0.74,0.18,0.0,0.18,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,3.6,0.0,3.6,0.48,0.0,0.48,4.08,0.0,4.08,0.19,0.0,0.19,0.0,0.0,0.0,0.19,0.0,0.19,0.0,0.0,0.14,0.0,0.14,259.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.0,0.0,0.0,0.19,0.0,0.19,0.0,0.0,0.14,0.0,0.14,259.32,13.61,0.0,13.61,14.13,0.0,14.13,27.74,0.0,27.74,0.42,0.0,0.42
1219,MA,25,Bristol County,5,25005,2015,556.7719999999999,291.343,203.53099999999998,494.874,15.66,0.0,15.66,10.33,0.61,10.94,25.99,0.61,26.6,61.898,3.65,0.0,3.65,59.0,29.2,59.0,32.85,0.62,0.0,0.62,0.3,0.0,0.3,0.92,0.0,0.92,8.35,1.73,10.08,0.0,2.19,2.0,0.17,0.89,3.06,7.36,1.73,9.09,0.0,1.25,0.67,0.06,0.89,1.62,0.99,0.0,0.99,0.0,0.94,1.33,0.11,0.0,1.44,0.08,0.03,0.11,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.1,0.0,0.1,0.55,0.0,0.55,0.65,0.0,0.65,0.0,0.0,0.0,0.0,14.24,14.24,0.0,14.24,14.24,0.0,0.26,0.18,9.46,9.64,2653.69,0.0,0.0,0.0,0.0,0.73,0.73,0.0,0.73,0.73,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,13.51,13.51,0.0,13.51,13.51,0.0,0.26,0.18,9.46,9.64,2652.68,28.96,0.0,28.96,12.94,14.85,27.79,41.9,14.85,56.75,2.37,9.46,11.83
1220,MA,25,Dukes County,7,25007,2015,17.299,10.995999999999999,0.0,10.995999999999999,3.07,0.0,3.07,0.0,0.0,0.0,3.07,0.0,3.07,6.303,0.47,0.0,0.47,75.0,0.82,75.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.93,1.07,0.0,0.28,0.29,0.04,0.09,0.42,0.0,0.93,0.93,0.0,0.15,0.1,0.02,0.09,0.21,0.14,0.0,0.14,0.0,0.13,0.19,0.02,0.0,0.21,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69,0.0,3.69,0.95,0.0,0.95,4.64,0.0,4.64,0.28,0.0,0.28
1221,MA,25,Essex County,9,25009,2015,776.043,96.405,626.3969999999999,722.802,10.29,0.0,10.29,66.86,0.0,66.86,77.15,0.0,77.15,53.24100000000001,3.09,0.0,3.09,58.0,41.92,58.0,45.01,2.21,0.0,2.21,1.81,0.0,1.81,4.02,0.0,4.02,1.16,0.21,1.37,0.0,1.29,2.19,0.19,0.02,2.4,0.02,0.21,0.23,0.0,0.21,0.55,0.04,0.02,0.61,1.14,0.0,1.14,0.0,1.08,1.64,0.15,0.0,1.79,0.04,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.0,0.21,0.0,0.0,0.0,46.15,0.0,46.15,46.15,0.0,46.15,0.0,0.0,0.46,0.0,0.46,245.37,0.0,0.0,0.0,46.15,0.0,46.15,46.15,0.0,46.15,0.0,0.0,0.46,0.0,0.46,245.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.79,0.0,16.79,115.26,0.0,115.26,132.05,0.0,132.05,1.75,0.0,1.75
1222,MA,25,Franklin County,11,25011,2015,70.601,48.431000000000004,0.0,48.431000000000004,3.73,0.0,3.73,0.0,0.0,0.0,3.73,0.0,3.73,22.17,1.04,0.0,1.04,47.0,2.28,47.0,3.32,2.15,0.0,2.15,1.03,0.0,1.03,3.18,0.0,3.18,0.2,0.6,0.8,0.0,0.77,2.14,0.16,0.07,2.37,0.03,0.6,0.63,0.0,0.61,1.85,0.13,0.07,2.05,0.17,0.0,0.17,0.0,0.16,0.29,0.03,0.0,0.32,0.14,0.0,0.14,2.54,0.0,2.54,0.0,0.0,0.0,2.54,0.0,2.54,0.11,0.0,0.11,0.09,0.0,0.09,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.91,0.0,9.91,1.72,0.0,1.72,11.63,0.0,11.63,0.77,0.0,0.77
1223,MA,25,Hampden County,13,25013,2015,470.69,76.828,349.38699999999994,426.215,8.18,0.0,8.18,37.2,0.0,37.2,45.38,0.0,45.38,44.475,2.67,0.0,2.67,60.0,25.57,60.0,28.24,0.19,0.0,0.19,0.77,0.0,0.77,0.96,0.0,0.96,0.69,0.26,0.95,0.0,0.91,1.92,0.16,0.03,2.11,0.02,0.26,0.28,0.0,0.27,0.77,0.06,0.03,0.86,0.67,0.0,0.67,0.0,0.64,1.15,0.1,0.0,1.25,0.01,0.06,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.37,0.0,0.37,0.38,0.0,0.38,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.0,0.75,0.0,46.65,1.17,0.0,1.17,765.27,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.0,0.75,0.0,45.68,0.48,0.0,0.48,612.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.69,0.0,0.69,152.65,11.75,0.0,11.75,39.41,0.0,39.41,51.16,0.0,51.16,2.08,0.0,2.08
1224,MA,25,Hampshire County,15,25015,2015,161.292,42.802,84.969,127.771,6.06,0.0,6.06,12.03,0.0,12.03,18.09,0.0,18.09,33.521,1.88,0.0,1.88,56.0,7.16,56.0,9.04,0.04,0.0,0.04,0.08,0.0,0.08,0.12,0.0,0.12,0.33,0.23,0.56,0.0,0.54,1.28,0.1,0.03,1.41,0.01,0.23,0.24,0.0,0.23,0.77,0.06,0.03,0.86,0.32,0.0,0.32,0.0,0.31,0.51,0.04,0.0,0.55,0.03,0.09,0.12,3.59,0.0,3.59,1.79,0.0,1.79,5.38,0.0,5.38,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.93,0.0,11.93,14.43,0.0,14.43,26.36,0.0,26.36,0.54,0.0,0.54
1225,MA,25,Middlesex County,17,25017,2015,1585.139,788.451,680.175,1468.626,37.72,0.0,37.72,32.54,0.0,32.54,70.26,0.0,70.26,116.51299999999999,6.76,0.0,6.76,58.0,85.18,58.0,91.94,1.55,0.0,1.55,3.72,0.0,3.72,5.27,0.0,5.27,2.56,0.86,3.42,0.0,2.84,3.51,0.28,0.09,3.88,0.56,0.86,1.42,0.0,0.94,1.46,0.1,0.09,1.65,2.0,0.0,2.0,0.0,1.9,2.05,0.18,0.0,2.23,0.01,0.06,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.6,0.0,0.6,0.65,0.0,0.65,0.0,0.0,0.0,1.44,61.53,62.97,1.44,61.53,62.97,0.0,0.07,1.08,0.62,1.7,4467.05,0.0,0.0,0.0,0.0,61.53,61.53,0.0,61.53,61.53,0.0,0.0,0.0,0.62,0.62,2944.58,0.0,0.0,0.0,1.44,0.0,1.44,1.44,0.0,1.44,0.0,0.07,1.08,0.0,1.08,1522.47,48.65,0.0,48.65,39.22,61.53,100.75,87.87,61.53,149.4,3.92,0.62,4.54
1226,MA,25,Nantucket County,19,25019,2015,10.925,8.3,0.0,8.3,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.625,0.25,0.0,0.25,95.0,0.79,95.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.18,1.2,0.0,0.23,0.25,0.01,0.11,0.37,0.91,0.18,1.09,0.0,0.13,0.05,0.0,0.11,0.16,0.11,0.0,0.11,0.0,0.1,0.2,0.01,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0,3.27,0.18,0.0,0.18,3.45,0.0,3.45,0.23,0.0,0.23
