,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
1193,MD,24,Allegany County,1,24001,2015,72.528,2.873,60.056999999999995,62.93,0.26,0.0,0.26,0.41,0.0,0.41,0.67,0.0,0.67,9.597999999999999,0.77,0.0,0.77,80.0,5.26,84.0,6.03,0.02,0.0,0.02,37.13,0.0,37.13,37.15,0.0,37.15,0.0,0.08,0.08,0.0,0.07,0.33,0.0,0.0,0.33,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.0,0.02,0.0,0.07,0.07,0.0,0.06,0.31,0.0,0.0,0.31,0.02,0.05,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,1.08,37.67,0.0,37.67,38.75,0.0,38.75,0.07,0.0,0.07
1194,MD,24,Anne Arundel County,3,24003,2015,564.195,391.415,5.8660000000000005,397.281,39.49,0.0,39.49,0.0,0.0,0.0,39.49,0.0,39.49,166.91400000000002,13.35,0.0,13.35,80.0,30.09,76.0,43.44,0.05,0.0,0.05,0.01,0.59,0.6,0.06,0.59,0.65,0.39,0.38,0.77,0.0,0.64,1.59,0.02,0.0,1.61,0.07,0.09,0.16,0.0,0.15,0.23,0.02,0.0,0.25,0.32,0.29,0.61,0.0,0.49,1.36,0.0,0.0,1.36,0.01,0.03,0.04,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.0,0.03,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,333.63,333.63,0.0,333.63,333.63,0.0,0.0,0.0,10.04,10.04,6420.37,0.0,0.0,0.0,0.0,323.91,323.91,0.0,323.91,323.91,0.0,0.0,0.0,3.24,3.24,1457.69,0.0,0.0,0.0,0.0,9.72,9.72,0.0,9.72,9.72,0.0,0.0,0.0,6.8,6.8,4962.68,53.3,0.0,53.3,0.45,334.22,334.67,53.75,334.22,387.97,0.64,10.04,10.68
1195,MD,24,Baltimore County,5,24005,2015,831.128,1.609,698.148,699.757,0.06,0.0,0.06,209.4,0.0,209.4,209.46,0.0,209.46,131.371,10.51,0.0,10.51,80.0,37.19,53.0,47.7,2.66,0.0,2.66,0.0,0.0,0.0,2.66,0.0,2.66,0.35,0.51,0.86,0.0,0.72,1.85,0.04,0.0,1.89,0.08,0.11,0.19,0.0,0.18,0.42,0.04,0.0,0.46,0.27,0.4,0.67,0.0,0.54,1.43,0.0,0.0,1.43,0.05,0.06,0.11,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.0,0.09,3.21,0.0,3.21,0.0,0.0,0.0,3.21,0.0,3.21,0.0,0.0,0.0,0.0,163.29,163.29,0.0,163.29,163.29,0.0,0.0,0.0,1.63,1.63,402.57,0.0,0.0,0.0,0.0,163.29,163.29,0.0,163.29,163.29,0.0,0.0,0.0,1.63,1.63,402.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.84,0.0,16.84,210.06,163.29,373.35,226.9,163.29,390.19,0.72,1.63,2.35
1196,MD,24,Calvert County,9,24009,2015,90.595,33.400999999999996,0.0,33.400999999999996,2.49,0.0,2.49,0.0,0.0,0.0,2.49,0.0,2.49,57.193999999999996,4.58,0.0,4.58,80.0,1.9,57.0,6.48,0.08,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.02,0.02,0.0,0.02,0.19,0.02,0.0,0.21,0.0,0.02,0.02,0.0,0.02,0.19,0.02,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.0,3323.75,3323.75,0.42,3323.75,3324.17,0.0,0.0,0.0,33.24,33.24,14643.33,0.42,0.0,0.42,0.0,3323.75,3323.75,0.42,3323.75,3324.17,0.0,0.0,0.0,33.24,33.24,14643.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.57,0.0,7.57,0.04,3323.75,3323.79,7.61,3323.75,3331.36,0.02,33.24,33.26
1197,MD,24,Caroline County,11,24011,2015,32.579,12.442,0.0,12.442,0.98,0.0,0.98,0.0,0.0,0.0,0.98,0.0,0.98,20.137,1.61,0.0,1.61,80.0,0.62,50.0,2.23,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.15,11.49,3.46,14.95,0.0,14.2,24.77,2.3,0.16,27.23,11.48,3.46,14.94,0.0,14.19,24.58,2.3,0.16,27.04,0.01,0.0,0.01,0.0,0.01,0.19,0.0,0.0,0.19,0.8,0.05,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,1.08,0.0,0.0,0.0,1.08,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.11,0.0,16.11,3.51,0.0,3.51,19.62,0.0,19.62,14.2,0.0,14.2
1198,MD,24,Carroll County,13,24013,2015,167.627,34.067,61.411,95.478,2.71,0.0,2.71,4.34,0.0,4.34,7.05,0.0,7.05,72.149,5.77,0.0,5.77,80.0,5.43,57.0,11.2,0.25,0.0,0.25,0.21,0.0,0.21,0.46,0.0,0.46,0.11,0.1,0.21,0.0,0.19,1.8,0.12,0.01,1.93,0.06,0.09,0.15,0.0,0.14,1.3,0.12,0.01,1.43,0.05,0.01,0.06,0.0,0.05,0.5,0.0,0.0,0.5,0.25,0.21,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,1.99,0.0,0.0,0.0,1.99,0.0,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.08,0.0,11.08,4.86,0.0,4.86,15.94,0.0,15.94,0.19,0.0,0.19
1199,MD,24,Cecil County,15,24015,2015,102.382,15.776,24.145,39.921,1.56,0.0,1.56,2.04,0.0,2.04,3.6,0.0,3.6,62.461000000000006,5.0,0.0,5.0,80.0,2.82,71.0,7.82,0.03,0.0,0.03,0.01,0.0,0.01,0.04,0.0,0.04,1.53,0.1,1.63,0.0,1.53,1.07,0.05,0.0,1.12,1.53,0.02,1.55,0.0,1.47,0.57,0.05,0.0,0.62,0.0,0.08,0.08,0.0,0.06,0.5,0.0,0.0,0.5,0.16,0.16,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.28,0.0,8.28,2.5,0.0,2.5,10.78,0.0,10.78,1.53,0.0,1.53
1200,MD,24,Charles County,17,24017,2015,156.118,83.995,19.779,103.774,7.32,0.0,7.32,0.0,0.0,0.0,7.32,0.0,7.32,52.343999999999994,4.19,0.0,4.19,80.0,6.29,61.0,10.48,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.18,0.1,0.28,0.0,0.25,0.78,0.04,0.0,0.82,0.07,0.09,0.16,0.0,0.15,0.41,0.04,0.0,0.45,0.11,0.01,0.12,0.0,0.1,0.37,0.0,0.0,0.37,0.01,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.16,0.48,0.0,0.48,0.0,1007.66,1007.66,0.48,1007.66,1008.14,0.0,0.0,0.0,10.71,10.71,4238.25,0.48,0.0,0.48,0.0,1006.74,1006.74,0.48,1006.74,1007.22,0.0,0.0,0.0,10.07,10.07,4238.25,0.0,0.0,0.0,0.0,0.92,0.92,0.0,0.92,0.92,0.0,0.0,0.0,0.64,0.64,0.0,12.35,0.0,12.35,0.13,1007.66,1007.79,12.48,1007.66,1020.14,0.25,10.71,10.96
1201,MD,24,Dorchester County,19,24019,2015,32.384,20.303,0.0,20.303,2.65,0.0,2.65,0.0,0.0,0.0,2.65,0.0,2.65,12.081,0.97,0.0,0.97,80.0,1.45,71.0,2.42,0.88,0.0,0.88,0.0,0.0,0.0,0.88,0.0,0.88,12.84,0.71,13.55,0.0,12.87,20.37,1.91,0.13,22.41,12.84,0.71,13.55,0.0,12.87,20.37,1.91,0.13,22.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.01,0.33,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.04,0.77,0.0,0.77,0.0,0.0,0.0,0.77,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.43,0.0,18.43,0.76,0.0,0.76,19.19,0.0,19.19,12.87,0.0,12.87
1202,MD,24,Frederick County,21,24021,2015,245.322,30.585,107.29700000000001,137.882,2.63,0.0,2.63,11.16,0.0,11.16,13.79,0.0,13.79,107.44,8.6,0.0,8.6,80.0,8.59,62.0,17.19,4.13,0.0,4.13,0.02,0.0,0.02,4.15,0.0,4.15,0.46,4.19,4.65,0.0,1.28,2.43,0.12,0.11,2.66,0.14,4.04,4.18,0.0,0.9,1.25,0.12,0.11,1.48,0.32,0.15,0.47,0.0,0.38,1.18,0.0,0.0,1.18,0.54,0.43,0.97,0.05,0.0,0.05,0.01,0.0,0.01,0.06,0.0,0.06,2.0,0.0,2.0,0.69,0.0,0.69,2.69,0.0,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.41,0.0,18.41,16.5,0.0,16.5,34.91,0.0,34.91,1.28,0.0,1.28
