,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
1177,ME,23,Androscoggin County,1,23001,2015,107.23299999999999,10.962,41.696000000000005,52.658,0.8,0.0,0.8,7.12,0.0,7.12,7.92,0.0,7.92,54.575,3.46,0.0,3.46,63.0,3.45,66.0,6.91,0.76,0.0,0.76,1.26,0.0,1.26,2.02,0.0,2.02,0.06,0.51,0.57,0.0,0.54,1.16,0.0,0.11,1.27,0.04,0.34,0.38,0.0,0.36,0.74,0.0,0.11,0.85,0.02,0.17,0.19,0.0,0.18,0.42,0.0,0.0,0.42,0.21,0.07,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.58,0.0,0.58,0.91,0.0,0.91,0.0,0.0,0.0,0.62,0.0,0.62,0.62,0.0,0.62,0.0,0.0,0.44,0.0,0.44,285.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.62,0.62,0.0,0.62,0.0,0.0,0.44,0.0,0.44,285.48,5.62,0.0,5.62,10.16,0.0,10.16,15.78,0.0,15.78,0.98,0.0,0.98
1178,ME,23,Aroostook County,3,23003,2015,68.628,27.55,4.15,31.7,3.37,0.0,3.37,0.74,0.0,0.74,4.11,0.0,4.11,36.928000000000004,1.31,0.0,1.31,35.0,1.16,37.0,2.47,0.38,0.0,0.38,13.63,0.0,13.63,14.01,0.0,14.01,0.44,3.59,4.03,0.0,3.84,11.71,0.0,0.0,11.71,0.39,3.51,3.9,0.0,3.71,11.4,0.0,0.0,11.4,0.05,0.08,0.13,0.0,0.13,0.31,0.0,0.0,0.31,0.09,0.03,0.12,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.03,0.0,0.03,0.24,0.0,0.24,0.27,0.0,0.27,0.0,0.0,0.0,0.59,0.0,0.59,0.59,0.0,0.59,0.0,0.58,0.69,0.0,0.69,503.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.59,0.59,0.0,0.59,0.0,0.58,0.69,0.0,0.69,503.39,5.82,0.0,5.82,18.82,0.0,18.82,24.64,0.0,24.64,4.53,0.0,4.53
1179,ME,23,Cumberland County,5,23005,2015,289.97700000000003,32.245,138.39600000000002,170.641,4.3,0.0,4.3,21.05,0.0,21.05,25.35,0.0,25.35,119.336,7.46,0.0,7.46,63.0,11.25,66.0,18.71,0.24,0.0,0.24,11.19,0.0,11.19,11.43,0.0,11.43,0.17,0.88,1.05,0.0,1.0,1.67,0.0,0.14,1.81,0.11,0.24,0.35,0.0,0.33,0.54,0.0,0.14,0.68,0.06,0.64,0.7,0.0,0.67,1.13,0.0,0.0,1.13,0.06,0.02,0.08,0.0,0.0,0.0,6.8,0.0,6.8,6.8,0.0,6.8,0.21,0.0,0.21,0.61,0.0,0.61,0.82,0.0,0.82,0.0,0.0,0.0,0.0,62.8,62.8,0.0,62.8,62.8,0.0,1.46,0.95,0.63,1.58,2411.92,0.0,0.0,0.0,0.0,62.8,62.8,0.0,62.8,62.8,0.0,0.0,0.0,0.63,0.63,485.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.95,0.0,0.95,1926.23,12.44,0.0,12.44,40.55,62.8,103.35,52.99,62.8,115.79,1.95,0.63,2.58
1180,ME,23,Franklin County,7,23007,2015,29.991,8.56,4.7330000000000005,13.293,0.74,0.0,0.74,0.62,0.0,0.62,1.36,0.0,1.36,16.698,0.71,0.0,0.71,43.0,0.68,51.0,1.39,0.5,0.0,0.5,34.74,0.0,34.74,35.24,0.0,35.24,0.0,0.14,0.14,0.0,0.13,0.28,0.0,0.01,0.29,0.0,0.02,0.02,0.0,0.02,0.05,0.0,0.01,0.06,0.0,0.12,0.12,0.0,0.11,0.23,0.0,0.0,0.23,0.06,0.01,0.07,0.0,0.0,0.0,4.7,0.0,4.7,4.7,0.0,4.7,0.06,0.0,0.06,0.11,0.0,0.11,0.17,0.0,0.17,0.57,0.0,0.57,0.0,0.0,0.0,0.57,0.0,0.57,0.0,0.0,0.36,0.0,0.36,278.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.57,0.0,0.0,0.0,0.57,0.0,0.57,0.0,0.0,0.36,0.0,0.36,278.76,2.64,0.0,2.64,40.32,0.0,40.32,42.96,0.0,42.96,0.49,0.0,0.49
1181,ME,23,Hancock County,9,23009,2015,54.659,4.283,14.037,18.32,0.29,0.0,0.29,6.4,0.0,6.4,6.69,0.0,6.69,36.339,1.27,0.0,1.27,35.0,0.69,38.0,1.96,0.01,0.0,0.01,3.67,32.6,36.27,3.68,32.6,36.28,0.09,1.07,1.16,0.0,1.1,1.83,0.0,0.1,1.93,0.09,0.82,0.91,0.0,0.86,1.46,0.0,0.1,1.56,0.0,0.25,0.25,0.0,0.24,0.37,0.0,0.0,0.37,0.01,0.01,0.02,0.0,0.0,0.0,9.8,0.4,10.2,9.8,0.4,10.2,0.08,0.0,0.08,0.37,0.0,0.37,0.45,0.0,0.45,0.0,0.0,0.0,0.0,17.59,17.59,0.0,17.59,17.59,0.0,0.0,0.0,0.18,0.18,87.55,0.0,0.0,0.0,0.0,17.59,17.59,0.0,17.59,17.59,0.0,0.0,0.0,0.18,0.18,87.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,1.75,21.32,50.59,71.91,23.07,50.59,73.66,1.1,0.18,1.28
1182,ME,23,Kennebec County,11,23011,2015,119.98,27.028000000000002,27.223000000000003,54.251000000000005,3.4,0.0,3.4,2.75,0.0,2.75,6.15,0.0,6.15,65.729,3.22,0.0,3.22,49.0,2.73,50.0,5.95,0.23,0.0,0.23,0.18,0.0,0.18,0.41,0.0,0.41,0.11,0.36,0.47,0.0,0.45,0.9,0.0,0.01,0.91,0.02,0.18,0.2,0.0,0.2,0.41,0.0,0.01,0.42,0.09,0.18,0.27,0.0,0.25,0.49,0.0,0.0,0.49,0.31,0.1,0.41,1.2,0.0,1.2,0.0,0.0,0.0,1.2,0.0,1.2,0.1,0.0,0.1,0.35,0.0,0.35,0.45,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.57,0.0,8.57,3.74,0.0,3.74,12.31,0.0,12.31,0.45,0.0,0.45
1183,ME,23,Knox County,13,23013,2015,39.855,1.791,22.278000000000002,24.069000000000003,0.17,0.0,0.17,2.85,0.0,2.85,3.02,0.0,3.02,15.786,0.46,0.0,0.46,29.0,0.85,35.0,1.31,0.01,0.0,0.01,0.2,10.3,10.5,0.21,10.3,10.51,0.07,0.28,0.35,0.0,0.33,0.51,0.0,0.01,0.52,0.02,0.17,0.19,0.0,0.18,0.28,0.0,0.01,0.29,0.05,0.11,0.16,0.0,0.15,0.23,0.0,0.0,0.23,0.02,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.34,0.0,0.34,0.38,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.77,3.68,10.3,13.98,4.45,10.3,14.75,0.33,0.0,0.33
1184,ME,23,Lincoln County,15,23015,2015,33.969,4.272,6.711,10.982999999999999,0.11,0.0,0.11,0.62,0.0,0.62,0.73,0.0,0.73,22.986,0.78,0.0,0.78,34.0,0.41,37.0,1.19,0.04,0.0,0.04,0.17,0.0,0.17,0.21,0.0,0.21,0.01,0.11,0.12,0.0,0.12,0.19,0.0,0.02,0.21,0.01,0.06,0.07,0.0,0.07,0.11,0.0,0.02,0.13,0.0,0.05,0.05,0.0,0.05,0.08,0.0,0.0,0.08,0.03,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.97,0.93,0.0,0.93,1.9,0.0,1.9,0.12,0.0,0.12
1185,ME,23,Oxford County,17,23017,2015,57.202,17.895,0.863,18.758,2.75,0.0,2.75,0.1,0.0,0.1,2.85,0.0,2.85,38.444,2.01,0.0,2.01,52.0,1.02,54.0,3.03,0.95,0.0,0.95,34.06,0.0,34.06,35.01,0.0,35.01,0.08,0.29,0.37,0.0,0.35,0.68,0.0,0.03,0.71,0.02,0.18,0.2,0.0,0.19,0.38,0.0,0.03,0.41,0.06,0.11,0.17,0.0,0.16,0.3,0.0,0.0,0.3,0.05,0.02,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.2,0.0,0.2,0.24,0.0,0.24,0.0,0.0,0.0,2.8,0.0,2.8,2.8,0.0,2.8,0.0,0.01,2.0,0.0,2.0,802.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,2.8,2.8,0.0,2.8,0.0,0.01,2.0,0.0,2.0,802.21,5.88,0.0,5.88,37.47,0.0,37.47,43.35,0.0,43.35,2.35,0.0,2.35
1186,ME,23,Penobscot County,19,23019,2015,152.692,23.263,48.178000000000004,71.441,3.1,0.0,3.1,1.69,0.0,1.69,4.79,0.0,4.79,81.251,3.36,0.0,3.36,41.0,3.49,49.0,6.85,0.31,0.0,0.31,12.3,0.0,12.3,12.61,0.0,12.61,0.11,1.33,1.44,0.0,1.37,2.87,0.0,0.05,2.92,0.11,0.97,1.08,0.0,1.03,2.29,0.0,0.05,2.34,0.0,0.36,0.36,0.0,0.34,0.58,0.0,0.0,0.58,0.23,0.07,0.3,0.0,0.0,0.0,4.7,0.0,4.7,4.7,0.0,4.7,0.02,0.0,0.02,0.44,0.0,0.44,0.46,0.0,0.46,0.0,0.0,0.0,0.37,0.27,0.64,0.37,0.27,0.64,0.0,0.0,0.25,0.19,0.44,466.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.27,0.64,0.37,0.27,0.64,0.0,0.0,0.25,0.19,0.44,466.58,7.13,0.0,7.13,20.9,0.27,21.17,28.03,0.27,28.3,1.62,0.19,1.81
