,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
1314,MN,27,Aitkin County,1,27001,2015,15.702,3.19,0.0,3.19,0.27,0.0,0.27,0.0,0.0,0.0,0.27,0.0,0.27,12.512,0.88,0.0,0.88,70.0,0.09,28.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,4.08,4.1,0.0,2.88,0.2,0.0,7.37,7.57,0.0,4.04,4.04,0.0,2.83,0.0,0.0,7.37,7.37,0.02,0.04,0.06,0.0,0.05,0.2,0.0,0.0,0.2,0.14,0.0,0.14,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,1.33,4.08,0.0,4.08,5.41,0.0,5.41,2.88,0.0,2.88
1315,MN,27,Anoka County,3,27003,2015,344.151,240.97,20.45,261.42,25.97,0.0,25.97,82.26,0.0,82.26,108.23,0.0,108.23,82.73100000000001,5.9,0.0,5.9,71.0,16.2,62.0,22.1,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,1.66,0.56,2.22,0.0,1.78,2.73,0.0,0.0,2.73,0.79,0.37,1.16,0.0,0.93,1.39,0.0,0.0,1.39,0.87,0.19,1.06,0.0,0.85,1.34,0.0,0.0,1.34,0.04,0.0,0.04,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.92,0.0,33.92,82.82,0.0,82.82,116.74,0.0,116.74,1.78,0.0,1.78
1316,MN,27,Becker County,5,27005,2015,33.385999999999996,11.94,0.0,11.94,1.66,0.0,1.66,0.0,0.0,0.0,1.66,0.0,1.66,21.445999999999998,1.5,0.0,1.5,70.0,0.67,56.0,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.09,0.02,7.11,0.0,5.69,19.01,0.0,0.0,19.01,6.8,0.0,6.8,0.0,5.44,18.55,0.0,0.0,18.55,0.29,0.02,0.31,0.0,0.25,0.46,0.0,0.0,0.46,0.63,0.0,0.63,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.56,0.0,0.56,0.38,0.0,0.38,0.94,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.44,0.0,11.44,0.41,0.0,0.41,11.85,0.0,11.85,5.69,0.0,5.69
1317,MN,27,Beltrami County,7,27007,2015,45.672,14.49,0.0,14.49,1.45,0.0,1.45,0.0,0.0,0.0,1.45,0.0,1.45,31.182,2.18,0.0,2.18,70.0,0.62,43.0,2.8,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,0.14,3.1,3.24,0.0,2.28,0.22,0.0,4.75,4.97,0.09,3.08,3.17,0.0,2.22,0.0,0.0,4.75,4.75,0.05,0.02,0.07,0.0,0.06,0.22,0.0,0.0,0.22,0.22,0.0,0.22,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04,0.0,4.04,3.12,0.0,3.12,7.16,0.0,7.16,2.28,0.0,2.28
1318,MN,27,Benton County,9,27009,2015,39.71,19.04,5.58,24.62,2.08,0.0,2.08,0.0,0.0,0.0,2.08,0.0,2.08,15.09,1.06,0.0,1.06,70.0,1.22,50.0,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.72,0.08,7.8,0.0,6.24,17.59,0.0,0.0,17.59,7.51,0.06,7.57,0.0,6.06,17.34,0.0,0.0,17.34,0.21,0.02,0.23,0.0,0.18,0.25,0.0,0.0,0.25,0.7,0.0,0.7,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,0.0,11.6,0.2,0.0,0.2,11.8,0.0,11.8,6.24,0.0,6.24
1319,MN,27,Big Stone County,11,27011,2015,5.04,3.73,0.0,3.73,0.49,0.0,0.49,0.0,0.0,0.0,0.49,0.0,0.49,1.31,0.09,0.0,0.09,69.0,0.17,46.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.05,0.0,0.84,3.3,0.0,0.0,3.3,1.0,0.0,1.0,0.0,0.8,3.2,0.0,0.0,3.2,0.0,0.05,0.05,0.0,0.04,0.1,0.0,0.0,0.1,0.18,0.0,0.18,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,1.76,0.07,0.0,0.07,1.83,0.0,1.83,0.84,0.0,0.84
1320,MN,27,Blue Earth County,13,27013,2015,65.78699999999999,51.608000000000004,0.0,51.608000000000004,6.23,0.0,6.23,0.0,0.0,0.0,6.23,0.0,6.23,14.179,0.99,0.0,0.99,70.0,2.53,49.0,3.52,3.64,0.0,3.64,0.0,0.0,0.0,3.64,0.0,3.64,0.38,0.02,0.4,0.0,0.32,1.93,0.0,0.0,1.93,0.3,0.02,0.32,0.0,0.26,1.77,0.0,0.0,1.77,0.08,0.0,0.08,0.0,0.06,0.16,0.0,0.0,0.16,1.57,0.0,1.57,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.18,0.0,0.18,0.0,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.0,24.13,0.0,24.13,24.13,0.0,24.13,0.35,0.0,0.55,0.0,0.55,109.12,0.0,0.0,0.0,24.13,0.0,24.13,24.13,0.0,24.13,0.0,0.0,0.3,0.0,0.3,108.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.25,0.0,0.25,0.46,13.01,0.0,13.01,24.15,0.0,24.15,37.16,0.0,37.16,0.87,0.0,0.87
1321,MN,27,Brown County,15,27015,2015,25.313000000000002,21.5,0.0,21.5,1.07,0.0,1.07,0.0,0.0,0.0,1.07,0.0,1.07,3.813,0.27,0.0,0.27,71.0,1.11,52.0,1.38,0.19,0.0,0.19,0.0,0.0,0.0,0.19,0.0,0.19,1.72,0.28,2.0,0.0,1.6,5.8,0.0,0.0,5.8,1.64,0.22,1.86,0.0,1.49,5.68,0.0,0.0,5.68,0.08,0.06,0.14,0.0,0.11,0.12,0.0,0.0,0.12,1.15,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.05,0.0,0.05,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.05,0.0,0.05,3.5,4.47,0.0,4.47,0.28,0.0,0.28,4.75,0.0,4.75,1.65,0.0,1.65
1322,MN,27,Carlton County,17,27017,2015,35.569,4.96,10.97,15.93,1.51,0.0,1.51,0.0,0.0,0.0,1.51,0.0,1.51,19.639,1.37,0.0,1.37,70.0,0.57,36.0,1.94,0.0,0.0,0.0,6.78,0.0,6.78,6.78,0.0,6.78,0.04,0.03,0.07,0.0,0.06,0.1,0.0,0.0,0.1,0.02,0.0,0.02,0.0,0.02,0.03,0.0,0.0,0.03,0.02,0.03,0.05,0.0,0.04,0.07,0.0,0.0,0.07,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,0.0,3.07,6.81,0.0,6.81,9.88,0.0,9.88,0.06,0.0,0.06
1323,MN,27,Carver County,19,27019,2015,98.741,84.06,0.0,84.06,8.32,0.0,8.32,0.0,0.0,0.0,8.32,0.0,8.32,14.681,1.03,0.0,1.03,70.0,5.11,61.0,6.14,0.68,0.0,0.68,0.0,0.0,0.0,0.68,0.0,0.68,0.2,0.06,0.26,0.0,0.21,0.73,0.0,0.0,0.73,0.04,0.0,0.04,0.0,0.03,0.1,0.0,0.0,0.1,0.16,0.06,0.22,0.0,0.18,0.63,0.0,0.0,0.63,0.46,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.78,0.0,10.78,0.06,0.0,0.06,10.84,0.0,10.84,0.21,0.0,0.21
