,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
1401,MS,28,Adams County,1,28001,2015,31.254,30.168000000000003,0.0,30.168000000000003,4.92,0.0,4.92,0.0,0.0,0.0,4.92,0.0,4.92,1.0859999999999999,0.11,0.0,0.11,101.0,3.02,100.0,3.13,1.66,0.0,1.66,0.0,0.0,0.0,1.66,0.0,1.66,0.0,0.04,0.04,0.0,0.03,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.34,0.54,0.0,0.0,0.0,0.2,0.34,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.34,7.24,0.06,0.0,0.06,6.96,0.34,7.3,0.03,0.0,0.03
1402,MS,28,Alcorn County,3,28003,2015,37.388000000000005,14.067,15.2,29.267,2.6,0.0,2.6,2.15,0.0,2.15,4.75,0.0,4.75,8.121,0.81,0.0,0.81,100.0,2.93,100.0,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.13,0.18,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,3.45,2.37,0.0,2.37,5.82,0.0,5.82,0.13,0.0,0.13
1403,MS,28,Amite County,5,28005,2015,12.574000000000002,7.297999999999999,0.0,7.297999999999999,1.34,0.0,1.34,0.0,0.0,0.0,1.34,0.0,1.34,5.276,0.53,0.0,0.53,100.0,0.73,100.0,1.26,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.05,0.07,0.0,0.05,0.02,0.0,0.05,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.23,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,2.05,0.53,0.0,0.53,2.58,0.0,2.58,0.05,0.0,0.05
1404,MS,28,Attala County,7,28007,2015,19.043,16.614,0.0,16.614,2.24,0.0,2.24,0.0,0.0,0.0,2.24,0.0,2.24,2.4290000000000003,0.24,0.0,0.24,99.0,1.66,100.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.03,0.35,0.0,0.28,0.36,0.0,0.02,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,0.0,2.06,2.06,0.0,2.06,0.0,0.0,1.47,0.0,1.47,3297.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,0.0,2.06,2.06,0.0,2.06,0.0,0.0,1.47,0.0,1.47,3297.75,2.84,0.0,2.84,2.16,0.0,2.16,5.0,0.0,5.0,1.75,0.0,1.75
1405,MS,28,Benton County,9,28009,2015,8.182,3.508,0.0,3.508,0.49,0.0,0.49,0.0,0.0,0.0,0.49,0.0,0.49,4.6739999999999995,0.47,0.0,0.47,101.0,0.35,100.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.8,0.85,0.0,0.68,0.92,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38,0.0,3.38,0.0,0.0,0.0,3.38,0.0,3.38,0.0,0.0,2.41,0.0,2.41,4945.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38,0.0,3.38,0.0,0.0,0.0,3.38,0.0,3.38,0.0,0.0,2.41,0.0,2.41,4945.11,4.42,0.0,4.42,0.84,0.0,0.84,5.26,0.0,5.26,3.09,0.0,3.09
1406,MS,28,Bolivar County,11,28011,2015,33.321999999999996,29.098000000000003,0.0,29.098000000000003,4.16,0.0,4.16,0.0,0.0,0.0,4.16,0.0,4.16,4.224,0.42,0.0,0.42,99.0,2.91,100.0,3.33,0.85,0.0,0.85,0.0,0.0,0.0,0.85,0.0,0.85,318.9,16.79,335.69,0.0,253.34,23.25,0.0,224.53,247.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.34,0.0,324.34,16.8,0.0,16.8,341.14,0.0,341.14,253.34,0.0,253.34
1407,MS,28,Calhoun County,13,28013,2015,14.717,14.399000000000001,0.0,14.399000000000001,2.28,0.0,2.28,0.0,0.0,0.0,2.28,0.0,2.28,0.318,0.03,0.0,0.03,94.0,1.44,100.0,1.47,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.06,0.02,1.11,1.13,0.0,0.9,1.22,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.09,0.14,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,0.0,2.44,1.33,0.0,1.33,3.77,0.0,3.77,0.9,0.0,0.9
1408,MS,28,Carroll County,15,28015,2015,10.243,9.946,0.0,9.946,0.86,0.0,0.86,0.0,0.0,0.0,0.86,0.0,0.86,0.297,0.03,0.0,0.03,101.0,0.99,100.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.88,0.56,11.44,0.0,8.9,6.91,0.0,5.42,12.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.01,0.0,0.01,0.27,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.08,0.0,12.08,0.65,0.0,0.65,12.73,0.0,12.73,8.9,0.0,8.9
1409,MS,28,Chickasaw County,17,28017,2015,17.328,17.0,0.0,17.0,1.81,0.0,1.81,0.0,0.0,0.0,1.81,0.0,1.81,0.32799999999999996,0.03,0.0,0.03,91.0,1.7,100.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.71,2.74,0.0,2.19,2.95,0.0,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.21,0.35,0.0,0.0,0.0,1.53,0.0,1.53,1.53,0.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,0.0,2.01,4.45,0.0,4.45,6.46,0.0,6.46,2.19,0.0,2.19
1410,MS,28,Choctaw County,19,28019,2015,8.299,8.142000000000001,0.0,8.142000000000001,0.96,0.0,0.96,0.0,0.0,0.0,0.96,0.0,0.96,0.157,0.02,0.0,0.02,127.0,0.81,99.0,0.83,5.27,0.0,5.27,0.0,0.0,0.0,5.27,0.0,5.27,0.44,0.44,0.88,0.0,0.7,0.95,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.12,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.46,0.02,0.0,0.02,0.48,0.0,0.48,0.0,6.35,6.35,0.0,0.0,0.0,0.0,6.35,6.35,0.0,0.0,0.0,4.53,4.53,5668.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35,6.35,0.0,0.0,0.0,0.0,6.35,6.35,0.0,0.0,0.0,4.53,4.53,5668.44,7.22,6.35,13.57,0.58,0.0,0.58,7.8,6.35,14.15,0.7,4.53,5.23
1411,MS,28,Claiborne County,21,28021,2015,9.15,8.952,0.0,8.952,0.66,0.0,0.66,0.0,0.0,0.0,0.66,0.0,0.66,0.198,0.02,0.0,0.02,101.0,0.9,101.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.49,1.99,0.0,1.59,2.14,0.0,0.0,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.49,0.0,24.49,0.0,0.0,0.0,24.49,0.0,24.49,0.0,0.0,17.49,0.0,17.49,11714.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.49,0.0,24.49,0.0,0.0,0.0,24.49,0.0,24.49,0.0,0.0,17.49,0.0,17.49,11714.59,25.71,0.0,25.71,1.55,0.0,1.55,27.26,0.0,27.26,19.08,0.0,19.08
1412,MS,28,Clarke County,23,28023,2015,16.006,13.138,0.0,13.138,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.8680000000000003,0.29,0.0,0.29,101.0,1.31,100.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.27,0.35,0.0,0.28,0.38,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.07,1.08,0.0,0.0,0.0,0.01,1.07,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,1.07,3.51,0.35,0.0,0.35,2.79,1.07,3.86,0.28,0.0,0.28
1413,MS,28,Clay County,25,28025,2015,20.048,19.685,0.0,19.685,2.53,0.0,2.53,0.0,0.0,0.0,2.53,0.0,2.53,0.363,0.04,0.0,0.04,110.0,1.97,100.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.57,0.76,0.0,0.61,0.82,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.29,0.49,0.0,0.0,0.0,0.78,0.0,0.78,0.78,0.0,0.78,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,0.0,2.98,1.64,0.0,1.64,4.62,0.0,4.62,0.61,0.0,0.61
1414,MS,28,Coahoma County,27,28027,2015,24.62,23.708000000000002,0.0,23.708000000000002,3.83,0.0,3.83,0.0,0.0,0.0,3.83,0.0,3.83,0.912,0.09,0.0,0.09,99.0,2.37,100.0,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.72,6.2,123.92,0.0,94.62,37.41,0.0,100.61,138.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,3.6,0.0,0.0,0.0,3.6,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.24,0.0,125.24,6.2,0.0,6.2,131.44,0.0,131.44,94.62,0.0,94.62
