,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
1598,MT,30,Beaverhead County,1,30001,2015,9.3,5.4239999999999995,0.0,5.4239999999999995,1.82,0.0,1.82,0.0,0.0,0.0,1.82,0.0,1.82,3.8760000000000003,0.3,0.0,0.3,77.0,1.04,192.0,1.34,0.01,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.02,1.15,831.17,832.32,0.0,192.01,87.46,0.0,107.97,195.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.31,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,0.0,4.33,832.57,0.0,832.57,836.9,0.0,836.9,192.01,0.0,192.01
1599,MT,30,Big Horn County,3,30003,2015,13.242,2.637,4.8,7.437,0.43,0.0,0.43,0.78,0.0,0.78,1.21,0.0,1.21,5.805,0.45,0.0,0.45,78.0,0.69,93.0,1.14,0.13,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.13,0.92,321.67,322.59,0.0,81.25,21.96,0.0,61.85,83.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.24,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,2.48,0.0,2.48,2.48,1.7,4.18,0.0,0.0,0.0,0.8,0.0,0.8,0.8,0.0,0.8,0.0,0.0,0.57,0.0,0.57,489.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,0.8,0.0,0.8,0.0,0.0,0.57,0.0,0.57,489.99,2.87,1.7,4.57,325.97,0.0,325.97,328.84,1.7,330.54,81.82,0.0,81.82
1600,MT,30,Blaine County,5,30005,2015,6.577000000000001,1.16,4.32,5.48,0.2,0.0,0.2,0.73,0.0,0.73,0.93,0.0,0.93,1.097,0.09,0.0,0.09,82.0,0.53,97.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,341.09,343.05,0.0,97.2,47.88,0.0,42.41,90.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.91,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,0.0,2.45,342.73,0.0,342.73,345.18,0.0,345.18,97.2,0.0,97.2
1601,MT,30,Broadwater County,7,30007,2015,5.689,2.15,0.0,2.15,1.03,0.0,1.03,0.0,0.0,0.0,1.03,0.0,1.03,3.5389999999999997,0.28,0.0,0.28,79.0,0.59,274.0,0.87,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,0.62,197.33,197.95,0.0,47.8,41.37,0.0,4.45,45.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.28,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.0,2.12,197.74,0.0,197.74,199.86,0.0,199.86,47.8,0.0,47.8
1602,MT,30,Carbon County,9,30009,2015,10.408,4.684,0.0,4.684,1.76,0.0,1.76,0.0,0.0,0.0,1.76,0.0,1.76,5.724,0.45,0.0,0.45,79.0,1.0,213.0,1.45,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.17,503.62,503.79,0.0,95.82,12.84,0.0,70.49,83.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.11,1.14,0.0,0.0,0.0,1.83,0.0,1.83,1.83,0.0,1.83,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.8,3.22,506.56,0.0,506.56,508.98,0.8,509.78,95.82,0.0,95.82
1603,MT,30,Carter County,11,30011,2015,1.18,0.4,0.0,0.4,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,0.78,0.05,0.01,0.06,77.0,0.02,50.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,34.21,34.75,0.0,15.17,6.94,0.0,6.44,13.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.42,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.14,0.0,0.14,0.15,0.02,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.02,0.72,35.78,0.0,35.78,36.48,0.02,36.5,15.17,0.0,15.17
1604,MT,30,Cascade County,13,30013,2015,82.27799999999999,7.2829999999999995,67.079,74.362,1.39,0.0,1.39,11.4,0.0,11.4,12.79,0.0,12.79,7.916,0.61,0.0,0.61,77.0,10.48,141.0,11.09,0.01,0.0,0.01,0.61,0.0,0.61,0.62,0.0,0.62,0.59,170.33,170.92,0.0,49.83,26.86,0.0,27.45,54.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.87,1.1,1.14,0.0,1.14,2.29,0.0,2.29,3.43,0.0,3.43,0.0,0.08,0.08,0.4,0.0,0.4,0.4,0.08,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.97,0.08,4.05,185.9,0.0,185.9,189.87,0.08,189.95,49.83,0.0,49.83
1605,MT,30,Chouteau County,15,30015,2015,5.767,2.898,0.428,3.326,0.78,0.0,0.78,0.1,0.0,0.1,0.88,0.0,0.88,2.441,0.18,0.01,0.19,78.0,0.51,153.0,0.7,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.57,89.72,90.29,0.0,23.77,25.55,0.0,4.54,30.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.45,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.0,1.69,90.28,0.0,90.28,91.97,0.0,91.97,23.77,0.0,23.77
1606,MT,30,Custer County,17,30017,2015,12.135,0.05,9.38,9.43,0.01,0.0,0.01,1.38,0.0,1.38,1.39,0.0,1.39,2.705,0.21,0.0,0.21,78.0,0.79,84.0,1.0,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.06,0.41,131.16,131.57,0.0,40.96,7.38,0.0,40.15,47.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,1.39,1.71,0.01,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,1.02,133.97,0.0,133.97,134.99,0.0,134.99,40.96,0.0,40.96
1607,MT,30,Daniels County,19,30019,2015,1.76,1.1079999999999999,0.0,1.1079999999999999,0.21,0.0,0.21,0.0,0.0,0.0,0.21,0.0,0.21,0.652,0.05,0.0,0.05,77.0,0.12,108.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,5.33,6.24,0.0,2.39,2.05,0.0,0.5,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,1.39,5.33,0.0,5.33,6.72,0.0,6.72,2.39,0.0,2.39
