,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
1890,NC,37,Alamance County,1,37001,2015,158.276,3.279,105.08,108.359,0.18,0.0,0.18,15.17,0.0,15.17,15.35,0.0,15.35,49.917,3.49,0.0,3.49,70.0,7.59,70.0,11.08,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.0,0.05,0.0,3.32,3.32,0.0,3.32,1.84,0.0,0.0,1.84,0.0,1.92,1.92,0.0,1.92,1.24,0.0,0.0,1.24,0.0,1.4,1.4,0.0,1.4,0.6,0.0,0.0,0.6,0.15,0.15,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.04,0.0,0.04,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,0.0,3.85,18.73,0.0,18.73,22.58,0.0,22.58,3.32,0.0,3.32
1891,NC,37,Alexander County,3,37003,2015,37.325,0.348,23.68,24.028000000000002,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,13.297,0.93,0.0,0.93,70.0,1.68,70.0,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,1.84,2.05,0.0,2.05,1.25,0.0,0.0,1.25,0.18,1.53,1.71,0.0,1.71,1.1,0.0,0.0,1.1,0.03,0.31,0.34,0.0,0.34,0.15,0.0,0.0,0.15,0.42,0.63,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.0,1.59,2.47,0.0,2.47,4.06,0.0,4.06,2.05,0.0,2.05
1892,NC,37,Alleghany County,5,37005,2015,10.837,2.004,1.067,3.071,0.31,0.0,0.31,0.0,0.0,0.0,0.31,0.0,0.31,7.766,0.54,0.0,0.54,70.0,0.21,68.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,1.74,1.87,0.0,1.87,1.07,0.0,0.0,1.07,0.13,1.26,1.39,0.0,1.39,0.77,0.0,0.0,0.77,0.0,0.48,0.48,0.0,0.48,0.3,0.0,0.0,0.3,0.14,0.2,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,1.12,1.94,0.0,1.94,3.06,0.0,3.06,1.87,0.0,1.87
1893,NC,37,Anson County,7,37007,2015,25.759,0.0,17.141,17.141,0.0,0.0,0.0,8.8,0.0,8.8,8.8,0.0,8.8,8.618,0.6,0.0,0.6,70.0,1.2,70.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,2.45,2.8,0.0,2.8,1.66,0.63,0.0,2.29,0.33,2.3,2.63,0.0,2.63,1.58,0.63,0.0,2.21,0.02,0.15,0.17,0.0,0.17,0.08,0.0,0.0,0.08,0.56,0.3,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,1.9,1.9,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,1.51,13.45,0.0,13.45,14.96,0.0,14.96,2.8,0.0,2.8
1894,NC,37,Ashe County,9,37009,2015,27.02,3.8760000000000003,0.885,4.761,0.49,0.0,0.49,0.18,0.0,0.18,0.67,0.0,0.67,22.259,1.56,0.0,1.56,70.0,0.33,69.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,2.78,3.06,0.0,3.06,0.93,0.02,0.0,0.95,0.28,2.54,2.82,0.0,2.82,0.78,0.02,0.0,0.8,0.0,0.24,0.24,0.0,0.24,0.15,0.0,0.0,0.15,0.11,0.15,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,0.0,2.46,3.11,0.0,3.11,5.57,0.0,5.57,3.06,0.0,3.06
1895,NC,37,Avery County,11,37011,2015,17.689,10.782,0.597,11.379000000000001,1.56,0.0,1.56,0.01,0.0,0.01,1.57,0.0,1.57,6.31,0.44,0.0,0.44,70.0,0.8,70.0,1.24,0.0,0.0,0.0,1.13,0.0,1.13,1.13,0.0,1.13,0.21,4.89,5.1,0.0,5.1,1.83,0.02,0.0,1.85,0.21,3.87,4.08,0.0,4.08,1.19,0.02,0.0,1.21,0.0,1.02,1.02,0.0,1.02,0.64,0.0,0.0,0.64,0.0,0.02,0.02,0.0,0.0,0.0,18.43,0.0,18.43,18.43,0.0,18.43,1.52,0.0,1.52,0.63,0.0,0.63,2.15,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73,0.0,3.73,25.11,0.0,25.11,28.84,0.0,28.84,5.1,0.0,5.1
1896,NC,37,Beaufort County,13,37013,2015,47.651,46.928000000000004,0.0,46.928000000000004,4.31,0.0,4.31,0.0,0.0,0.0,4.31,0.0,4.31,0.723,0.05,0.0,0.05,69.0,3.28,70.0,3.33,0.14,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.14,3.1,0.78,3.88,0.0,3.88,3.46,0.07,0.0,3.53,2.74,0.69,3.43,0.0,3.43,3.24,0.07,0.0,3.31,0.36,0.09,0.45,0.0,0.45,0.22,0.0,0.0,0.22,0.2,0.0,0.2,9.92,0.0,9.92,2.29,0.0,2.29,12.21,0.0,12.21,11.25,0.0,11.25,0.0,0.0,0.0,11.25,0.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.97,0.0,28.97,3.07,0.0,3.07,32.04,0.0,32.04,3.88,0.0,3.88
1897,NC,37,Bertie County,15,37015,2015,20.199,16.709,0.0,16.709,1.68,0.0,1.68,0.0,0.0,0.0,1.68,0.0,1.68,3.49,0.24,0.0,0.24,69.0,1.17,70.0,1.41,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.12,2.39,2.51,0.0,2.51,3.05,0.0,0.0,3.05,0.11,2.16,2.27,0.0,2.27,2.94,0.0,0.0,2.94,0.01,0.23,0.24,0.0,0.24,0.11,0.0,0.0,0.11,0.68,0.03,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84,0.0,4.84,2.42,0.0,2.42,7.26,0.0,7.26,2.51,0.0,2.51
1898,NC,37,Bladen County,17,37017,2015,34.318000000000005,15.880999999999998,0.0,15.880999999999998,2.49,0.0,2.49,34.86,0.0,34.86,37.35,0.0,37.35,18.437,1.29,0.0,1.29,70.0,1.11,70.0,2.4,0.17,0.0,0.17,11.34,0.0,11.34,11.51,0.0,11.51,2.19,5.11,7.3,0.0,7.3,5.62,0.11,0.0,5.73,2.14,5.0,7.14,0.0,7.14,5.54,0.11,0.0,5.65,0.05,0.11,0.16,0.0,0.16,0.08,0.0,0.0,0.08,2.78,0.15,2.93,0.07,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,0.0,8.99,51.46,0.0,51.46,60.45,0.0,60.45,7.3,0.0,7.3
1899,NC,37,Brunswick County,19,37019,2015,122.765,13.415999999999999,103.21,116.626,2.8,0.0,2.8,0.0,0.0,0.0,2.8,0.0,2.8,6.138999999999999,0.43,0.0,0.43,70.0,8.16,70.0,8.59,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,1.5,5.73,7.23,0.0,7.23,3.87,0.0,0.0,3.87,0.32,1.27,1.59,0.0,1.59,1.19,0.0,0.0,1.19,1.18,4.46,5.64,0.0,5.64,2.68,0.0,0.0,2.68,0.06,0.26,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.3,0.0,0.0,0.0,1.3,0.0,1.3,0.0,0.0,0.0,0.0,1355.0,1355.0,0.0,1355.0,1355.0,0.0,0.0,0.0,13.55,13.55,15286.7,0.0,0.0,0.0,0.0,1355.0,1355.0,0.0,1355.0,1355.0,0.0,0.0,0.0,13.55,13.55,15286.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,6.1,5.99,1355.0,1360.99,12.09,1355.0,1367.09,7.23,13.55,20.78
