,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
1654,NE,31,Adams County,1,31001,2015,31.587,0.0,0.0,27.61,6.5,0.0,6.5,0.0,0.0,0.0,6.5,0.0,6.5,3.977,0.44,0.0,0.44,111.0,2.52,91.0,2.96,1.19,0.0,1.19,0.0,0.0,0.0,1.19,0.0,1.19,151.08,3.92,155.0,0.0,139.88,172.94,0.17,69.59,242.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.18,0.94,0.3,0.0,0.3,0.8,0.0,0.8,1.1,0.0,1.1,0.0,0.0,0.0,0.28,0.0,0.28,0.28,0.0,0.28,1.88,0.0,1.88,0.0,0.0,0.0,1.88,0.0,1.88,0.0,0.0,1.41,0.0,1.41,1380.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,1.88,0.0,0.0,0.0,1.88,0.0,1.88,0.0,0.0,1.41,0.0,1.41,1380.54,162.15,0.0,162.15,5.18,0.0,5.18,167.33,0.0,167.33,141.29,0.0,141.29
1655,NE,31,Antelope County,3,31003,2015,6.414,0.0,0.0,3.5,0.67,0.0,0.67,0.0,0.0,0.0,0.67,0.0,0.67,2.9139999999999997,0.32,0.0,0.32,110.0,0.37,106.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.85,1.64,143.49,0.0,129.49,277.5,0.17,10.58,288.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.42,2.38,0.94,0.0,0.94,2.06,0.0,2.06,3.0,0.0,3.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.74,0.0,145.74,4.22,0.0,4.22,149.96,0.0,149.96,129.49,0.0,129.49
1656,NE,31,Arthur County,5,31005,2015,0.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456,0.05,0.0,0.05,110.0,0.0,,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.67,0.0,11.67,0.0,10.52,11.1,0.17,1.14,12.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.09,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.07,0.0,12.07,0.09,0.0,0.09,12.16,0.0,12.16,10.52,0.0,10.52
1657,NE,31,Banner County,7,31007,2015,0.7879999999999999,0.0,0.0,0.15,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.638,0.07,0.0,0.07,110.0,0.02,133.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.74,1.83,23.57,0.0,21.26,20.07,0.17,9.21,29.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.16,0.82,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.0,0.18,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.49,0.13,22.62,2.17,0.0,2.17,24.66,0.13,24.79,21.26,0.0,21.26
1658,NE,31,Blaine County,9,31009,2015,0.48700000000000004,0.0,0.0,0.11,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.377,0.04,0.0,0.04,106.0,0.01,91.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.37,1.19,14.56,0.0,13.13,12.72,0.17,1.78,14.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.12,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.97,0.0,13.97,1.31,0.0,1.31,15.28,0.0,15.28,13.13,0.0,13.13
1659,NE,31,Boone County,11,31011,2015,5.315,0.0,0.0,3.14,0.63,0.0,0.63,0.0,0.0,0.0,0.63,0.0,0.63,2.175,0.24,0.0,0.24,110.0,0.29,92.0,0.53,1.22,0.0,1.22,0.0,0.0,0.0,1.22,0.0,1.22,88.25,1.19,89.44,0.0,80.71,186.6,0.17,17.16,203.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,0.4,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.11,0.0,92.11,1.59,0.0,1.59,93.7,0.0,93.7,80.71,0.0,80.71
1660,NE,31,Box Butte County,13,31013,2015,11.337,0.0,0.0,9.31,1.58,0.0,1.58,0.0,0.0,0.0,1.58,0.0,1.58,2.0269999999999997,0.23,0.0,0.23,113.0,0.87,93.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.12,3.15,90.27,0.0,81.46,155.97,0.17,5.8,161.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.21,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.82,0.0,89.82,3.36,0.0,3.36,93.18,0.0,93.18,81.46,0.0,81.46
1661,NE,31,Boyd County,15,31015,2015,2.006,0.0,0.0,1.54,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.15,0.466,0.05,0.0,0.05,107.0,0.13,84.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.03,5.11,13.14,0.0,11.85,8.88,0.17,6.97,16.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.13,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.81,0.0,8.81,5.25,0.0,5.25,14.06,0.0,14.06,11.85,0.0,11.85
1662,NE,31,Brown County,17,31017,2015,2.946,0.0,0.0,2.03,0.49,0.0,0.49,0.0,0.0,0.0,0.49,0.0,0.49,0.9159999999999999,0.1,0.0,0.1,109.0,0.19,94.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.98,28.58,67.56,0.0,60.97,43.38,0.17,22.37,65.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.36,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.13,0.0,41.13,28.97,0.0,28.97,70.1,0.0,70.1,60.97,0.0,60.97
1663,NE,31,Buffalo County,19,31019,2015,48.863,0.0,0.0,45.22,6.45,0.0,6.45,0.0,0.0,0.0,6.45,0.0,6.45,3.6430000000000002,0.4,0.0,0.4,110.0,4.18,92.0,4.58,2.11,0.0,2.11,0.0,0.0,0.0,2.11,0.0,2.11,200.78,4.51,205.29,0.0,185.27,178.15,0.17,87.24,265.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.32,1.69,0.05,0.0,0.05,0.79,0.0,0.79,0.84,0.0,0.84,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.16,0.0,211.16,5.95,0.0,5.95,217.11,0.0,217.11,185.27,0.0,185.27
