,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
1764,NH,33,Belknap County,1,33001,2015,60.641000000000005,15.248,19.05,34.298,1.35,0.0,1.35,1.77,0.0,1.77,3.12,0.0,3.12,26.343000000000004,1.22,0.0,1.22,46.0,1.59,46.0,2.81,0.06,0.0,0.06,0.24,0.0,0.24,0.3,0.0,0.3,0.1,0.31,0.41,0.0,0.39,0.47,0.09,0.04,0.6,0.1,0.05,0.15,0.0,0.14,0.17,0.09,0.04,0.3,0.0,0.26,0.26,0.0,0.25,0.3,0.0,0.0,0.3,0.02,0.01,0.03,1.05,0.0,1.05,1.8,0.0,1.8,2.85,0.0,2.85,0.0,0.0,0.0,0.56,0.0,0.56,0.56,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,3.8,4.69,0.0,4.69,8.49,0.0,8.49,0.39,0.0,0.39
1765,NH,33,Carroll County,3,33003,2015,47.285,24.285,6.487,30.772,2.76,0.0,2.76,0.69,0.0,0.69,3.45,0.0,3.45,16.512999999999998,0.94,0.0,0.94,57.0,1.74,57.0,2.68,0.15,0.0,0.15,0.02,0.0,0.02,0.17,0.0,0.17,0.05,0.34,0.39,0.0,0.37,0.53,0.05,0.02,0.6,0.05,0.02,0.07,0.0,0.06,0.09,0.05,0.02,0.16,0.0,0.32,0.32,0.0,0.31,0.44,0.0,0.0,0.44,0.01,0.01,0.02,0.63,0.0,0.63,0.0,0.0,0.0,0.63,0.0,0.63,0.0,0.0,0.0,0.98,0.0,0.98,0.98,0.0,0.98,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.21,0.0,0.21,154.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.21,0.0,0.21,154.44,4.84,0.0,4.84,2.04,0.0,2.04,6.88,0.0,6.88,0.58,0.0,0.58
1766,NH,33,Cheshire County,5,33005,2015,75.90899999999999,15.522,24.895,40.417,2.49,0.0,2.49,1.63,0.0,1.63,4.12,0.0,4.12,35.492,1.87,0.0,1.87,53.0,2.12,52.0,3.99,0.27,0.0,0.27,0.14,0.0,0.14,0.41,0.0,0.41,0.03,0.18,0.21,0.0,0.2,0.35,0.03,0.01,0.39,0.03,0.01,0.04,0.0,0.04,0.06,0.03,0.01,0.1,0.0,0.17,0.17,0.0,0.16,0.29,0.0,0.0,0.29,0.08,0.03,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.31,0.0,0.31,0.01,0.0,0.01,0.32,0.0,0.32,0.0,0.0,0.21,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.01,0.0,0.01,0.32,0.0,0.32,0.0,0.0,0.21,0.0,0.21,0.0,5.05,0.0,5.05,2.24,0.0,2.24,7.29,0.0,7.29,0.41,0.0,0.41
1767,NH,33,Coos County,7,33007,2015,31.212,6.985,14.42,21.405,1.53,0.0,1.53,2.67,0.0,2.67,4.2,0.0,4.2,9.807,0.59,0.0,0.59,60.0,1.29,60.0,1.88,0.06,0.0,0.06,4.05,0.0,4.05,4.11,0.0,4.11,0.09,0.08,0.17,0.0,0.16,0.29,0.02,0.0,0.31,0.01,0.0,0.01,0.0,0.01,0.02,0.02,0.0,0.04,0.08,0.08,0.16,0.0,0.15,0.27,0.0,0.0,0.27,0.08,0.02,0.1,0.79,0.0,0.79,2.4,0.0,2.4,3.19,0.0,3.19,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.04,0.02,0.0,0.02,0.88,0.0,0.88,0.9,0.0,0.9,0.0,0.0,0.77,0.0,0.77,557.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.88,0.0,0.88,0.9,0.0,0.9,0.0,0.0,0.77,0.0,0.77,557.2,3.16,0.0,3.16,10.14,0.0,10.14,13.3,0.0,13.3,0.93,0.0,0.93
1768,NH,33,Grafton County,9,33009,2015,89.32,26.197,30.473000000000003,56.67,2.82,0.0,2.82,4.75,0.0,4.75,7.57,0.0,7.57,32.65,2.11,0.0,2.11,65.0,3.67,65.0,5.78,0.2,0.0,0.2,0.32,0.0,0.32,0.52,0.0,0.52,0.05,0.33,0.38,0.0,0.36,0.6,0.04,0.01,0.65,0.05,0.02,0.07,0.0,0.07,0.08,0.04,0.01,0.13,0.0,0.31,0.31,0.0,0.29,0.52,0.0,0.0,0.52,0.13,0.04,0.17,1.44,0.0,1.44,0.0,0.0,0.0,1.44,0.0,1.44,0.0,0.0,0.0,0.74,0.0,0.74,0.74,0.0,0.74,0.27,0.0,0.27,0.44,0.0,0.44,0.71,0.0,0.71,0.0,0.0,0.5,0.0,0.5,333.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.44,0.0,0.44,0.71,0.0,0.71,0.0,0.0,0.5,0.0,0.5,333.5,7.02,0.0,7.02,6.62,0.0,6.62,13.64,0.0,13.64,0.86,0.0,0.86
1769,NH,33,Hillsborough County,11,33011,2015,406.67800000000005,70.311,220.095,290.406,6.93,0.0,6.93,31.81,0.0,31.81,38.74,0.0,38.74,116.272,7.27,0.0,7.27,63.0,18.16,63.0,25.43,1.63,0.0,1.63,2.0,0.0,2.0,3.63,0.0,3.63,0.33,1.08,1.41,0.0,1.34,1.3,0.22,0.06,1.58,0.24,0.13,0.37,0.0,0.35,0.4,0.22,0.06,0.68,0.09,0.95,1.04,0.0,0.99,0.9,0.0,0.0,0.9,0.04,0.01,0.05,2.55,0.0,2.55,0.0,0.0,0.0,2.55,0.0,2.55,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,0.15,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,0.15,2.0,0.0,2.0,0.0,18.75,0.0,18.75,35.2,0.0,35.2,53.95,0.0,53.95,3.34,0.0,3.34
1770,NH,33,Merrimack County,13,33013,2015,147.994,34.313,50.125,84.43799999999999,3.53,0.0,3.53,4.73,0.0,4.73,8.26,0.0,8.26,63.556000000000004,3.16,0.0,3.16,50.0,4.19,50.0,7.35,0.21,0.0,0.21,0.23,0.0,0.23,0.44,0.0,0.44,0.19,0.6,0.79,0.0,0.75,1.0,0.18,0.05,1.23,0.19,0.1,0.29,0.0,0.27,0.33,0.18,0.05,0.56,0.0,0.5,0.5,0.0,0.48,0.67,0.0,0.0,0.67,0.09,0.03,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,1.76,0.42,0.0,0.42,2.18,0.0,2.18,0.2,0.0,0.2,72.38,0.0,72.38,72.58,0.0,72.58,0.0,0.13,0.87,0.0,0.87,909.6,0.2,0.0,0.2,72.04,0.0,72.04,72.24,0.0,72.24,0.0,0.0,0.54,0.0,0.54,790.63,0.0,0.0,0.0,0.34,0.0,0.34,0.34,0.0,0.34,0.0,0.13,0.33,0.0,0.33,118.97,9.14,0.0,9.14,78.39,0.0,78.39,87.53,0.0,87.53,1.62,0.0,1.62
1771,NH,33,Rockingham County,15,33015,2015,301.777,76.883,82.7,159.583,9.35,0.0,9.35,6.0,0.0,6.0,15.35,0.0,15.35,142.194,9.43,0.0,9.43,66.0,10.58,66.0,20.01,1.16,0.0,1.16,0.82,0.0,0.82,1.98,0.0,1.98,0.18,0.77,0.95,0.0,0.91,1.22,0.1,0.03,1.35,0.1,0.05,0.15,0.0,0.15,0.18,0.1,0.03,0.31,0.08,0.72,0.8,0.0,0.76,1.04,0.0,0.0,1.04,0.06,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35,0.35,0.0,0.35,0.0,0.0,0.0,0.0,693.42,693.42,0.0,693.42,693.42,0.14,0.25,0.0,8.27,8.27,16107.76,0.0,0.0,0.0,0.0,691.59,691.59,0.0,691.59,691.59,0.14,0.18,0.0,6.92,6.92,10077.98,0.0,0.0,0.0,0.0,1.83,1.83,0.0,1.83,1.83,0.0,0.07,0.0,1.35,1.35,6029.78,20.18,0.0,20.18,7.96,693.42,701.38,28.14,693.42,721.56,0.91,8.27,9.18
1772,NH,33,Strafford County,17,33017,2015,126.825,38.080999999999996,52.912,90.993,3.74,0.0,3.74,4.26,0.0,4.26,8.0,0.0,8.0,35.832,2.03,0.0,2.03,57.0,5.17,57.0,7.2,0.41,0.0,0.41,0.27,0.0,0.27,0.68,0.0,0.68,0.05,0.33,0.38,0.0,0.35,0.48,0.1,0.02,0.6,0.05,0.04,0.09,0.0,0.08,0.17,0.1,0.02,0.29,0.0,0.29,0.29,0.0,0.27,0.31,0.0,0.0,0.31,0.03,0.01,0.04,0.0,0.0,0.0,6.22,0.0,6.22,6.22,0.0,6.22,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.26,0.0,6.26,11.3,0.0,11.3,17.56,0.0,17.56,0.35,0.0,0.35
1773,NH,33,Sullivan County,19,33019,2015,42.967,8.806000000000001,15.64,24.445999999999998,0.92,0.0,0.92,1.79,0.0,1.79,2.71,0.0,2.71,18.521,1.12,0.0,1.12,60.0,1.47,60.0,2.59,0.06,0.0,0.06,0.32,0.0,0.32,0.38,0.0,0.38,0.02,0.09,0.11,0.0,0.11,0.22,0.01,0.01,0.24,0.02,0.01,0.03,0.0,0.03,0.04,0.01,0.01,0.06,0.0,0.08,0.08,0.0,0.08,0.18,0.0,0.0,0.18,0.09,0.03,0.12,0.0,0.0,0.0,0.28,0.0,0.28,0.28,0.0,0.28,0.0,0.0,0.0,0.52,0.0,0.52,0.52,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.52,2.21,0.0,2.21,3.03,0.0,3.03,5.24,0.0,5.24,0.11,0.0,0.11
