,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
1774,NJ,34,Atlantic County,1,34001,2015,274.219,200.761,5.662000000000001,206.423,27.97,0.0,27.97,2.23,0.0,2.23,30.2,0.0,30.2,67.796,6.54,0.0,6.54,96.0,15.4,75.0,21.94,2.26,0.0,2.26,0.46,0.0,0.46,2.72,0.0,2.72,14.4,0.75,15.15,0.0,10.3,10.34,3.96,0.38,14.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.18,0.0,51.18,3.44,0.0,3.44,54.62,0.0,54.62,10.3,0.0,10.3
1775,NJ,34,Bergen County,3,34003,2015,938.5060000000001,166.668,744.875,911.543,22.74,0.0,22.74,104.68,0.0,104.68,127.42,0.0,127.42,26.963,2.08,0.0,2.08,77.0,73.0,80.0,75.08,0.71,0.0,0.71,2.88,0.0,2.88,3.59,0.0,3.59,0.59,0.26,0.85,0.0,0.58,0.09,0.03,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,0.04,2.95,0.0,2.95,5743.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,0.04,2.95,0.0,2.95,5743.94,26.13,0.0,26.13,107.82,0.0,107.82,133.95,0.0,133.95,3.53,0.0,3.53
1776,NJ,34,Burlington County,5,34005,2015,450.226,315.158,71.17,386.32800000000003,25.47,0.0,25.47,28.73,0.0,28.73,54.2,0.0,54.2,63.898,6.6,0.0,6.6,103.0,29.42,76.0,36.02,0.81,0.0,0.81,0.08,0.0,0.08,0.89,0.0,0.89,5.03,17.47,22.5,0.0,15.3,12.03,4.61,0.44,17.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.07,0.0,5.07,5.07,0.0,5.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.98,0.0,37.98,51.35,0.0,51.35,89.33,0.0,89.33,15.3,0.0,15.3
1777,NJ,34,Camden County,7,34007,2015,510.923,444.07199999999995,40.405,484.477,42.83,0.0,42.83,0.0,0.0,0.0,42.83,0.0,42.83,26.445999999999998,2.46,0.0,2.46,93.0,38.41,79.0,40.87,0.34,0.0,0.34,2.09,0.0,2.09,2.43,0.0,2.43,1.25,0.61,1.86,0.0,1.26,2.31,0.88,0.09,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.62,0.0,0.0,0.0,0.62,0.0,0.62,0.0,0.25,0.62,0.0,0.62,416.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.62,0.0,0.0,0.0,0.62,0.0,0.62,0.0,0.25,0.62,0.0,0.62,416.29,47.51,0.0,47.51,2.7,0.0,2.7,50.21,0.0,50.21,1.88,0.0,1.88
1778,NJ,34,Cape May County,9,34009,2015,94.727,60.435,0.0,60.435,13.56,0.0,13.56,0.05,0.0,0.05,13.61,0.0,13.61,34.292,5.5,0.0,5.5,160.0,2.08,34.0,7.58,0.45,0.0,0.45,0.57,0.0,0.57,1.02,0.0,1.02,1.06,0.31,1.37,0.0,0.93,2.05,0.79,0.08,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.06,0.01,0.0,0.01,4.66,0.0,4.66,4.67,0.0,4.67,0.0,0.0,0.0,0.0,6.52,6.52,0.0,6.52,6.52,0.0,0.0,0.0,0.09,0.09,145.74,0.0,0.0,0.0,0.0,6.46,6.46,0.0,6.46,6.46,0.0,0.0,0.0,0.06,0.06,134.55,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.06,0.0,0.0,0.0,0.03,0.03,11.19,20.65,0.0,20.65,5.59,6.52,12.11,26.24,6.52,32.76,0.93,0.09,1.02
1779,NJ,34,Cumberland County,11,34011,2015,155.85399999999998,96.925,0.0,96.925,15.72,0.0,15.72,0.0,0.0,0.0,15.72,0.0,15.72,58.928999999999995,4.61,0.0,4.61,78.0,7.86,81.0,12.47,5.58,0.0,5.58,8.38,0.0,8.38,13.96,0.0,13.96,16.35,2.18,18.53,0.0,12.6,17.71,6.78,0.65,25.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.3,36.08,0.0,36.08,37.38,0.0,37.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.59,0.0,43.59,46.64,0.0,46.64,90.23,0.0,90.23,12.6,0.0,12.6
1780,NJ,34,Essex County,13,34013,2015,797.434,239.23,553.668,792.898,24.44,0.0,24.44,6.78,0.0,6.78,31.22,0.0,31.22,4.5360000000000005,0.35,0.0,0.35,77.0,63.44,80.0,63.79,0.8,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.8,0.39,0.36,0.75,0.0,0.51,0.02,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.48,0.0,0.48,0.54,0.0,0.72,0.0,0.72,1673.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.48,0.0,0.48,0.54,0.0,0.72,0.0,0.72,1673.03,25.98,0.0,25.98,7.62,0.0,7.62,33.6,0.0,33.6,1.23,0.0,1.23
1781,NJ,34,Gloucester County,15,34015,2015,291.47900000000004,206.95,32.063,239.013,17.43,0.0,17.43,0.09,0.0,0.09,17.52,0.0,17.52,52.466,4.86,0.0,4.86,93.0,18.46,77.0,23.32,3.66,0.0,3.66,20.76,0.0,20.76,24.42,0.0,24.42,2.66,2.29,4.95,0.0,3.37,8.26,3.16,0.3,11.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,2.57,0.0,2.57,2.58,0.0,2.58,0.0,0.0,0.0,3.53,0.0,3.53,3.53,0.0,3.53,0.0,0.0,2.52,0.0,2.52,5484.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53,0.0,3.53,3.53,0.0,3.53,0.0,0.0,2.52,0.0,2.52,5484.71,28.68,0.0,28.68,29.24,0.0,29.24,57.92,0.0,57.92,5.89,0.0,5.89
1782,NJ,34,Hudson County,17,34017,2015,674.836,0.0,674.836,674.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,,53.91,80.0,53.99,0.24,0.0,0.24,0.0,0.0,0.0,0.24,0.0,0.24,0.0,0.02,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.83,0.0,238.83,238.83,0.0,238.83,0.0,0.42,2.74,0.0,2.74,741.18,0.0,0.0,0.0,238.83,0.0,238.83,238.83,0.0,238.83,0.0,0.0,2.44,0.0,2.44,345.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.3,0.0,0.3,395.76,0.32,0.0,0.32,238.85,0.0,238.85,239.17,0.0,239.17,2.75,0.0,2.75
1783,NJ,34,Hunterdon County,19,34019,2015,125.488,36.768,12.8,49.568000000000005,3.88,0.0,3.88,116.02,0.0,116.02,119.9,0.0,119.9,75.92,7.5,0.0,7.5,99.0,2.54,51.0,10.04,0.17,0.0,0.17,0.69,0.0,0.69,0.86,0.0,0.86,0.52,0.59,1.11,0.0,0.75,1.08,0.42,0.04,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.52,0.52,0.0,0.52,0.0,0.0,0.36,0.0,0.36,28.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.52,0.52,0.0,0.52,0.0,0.0,0.36,0.0,0.36,28.75,12.19,0.0,12.19,117.82,0.0,117.82,130.01,0.0,130.01,1.11,0.0,1.11
