,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
1795,NM,35,Bernalillo County,1,35001,2015,676.685,306.92900000000003,358.093,665.0219999999999,48.24,0.0,48.24,47.05,0.0,47.05,95.29,0.0,95.29,11.663,1.17,0.0,1.17,100.0,45.03,68.0,46.2,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,6.87,34.65,41.52,1.01,24.28,1.55,0.0,5.17,6.72,2.08,34.65,36.73,0.0,20.2,0.0,0.0,5.17,5.17,4.79,0.0,4.79,1.01,4.08,1.55,0.0,0.0,1.55,0.17,0.01,0.18,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.12,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.12,0.26,0.0,0.26,0.0,0.0,0.0,0.26,0.0,0.26,0.0,0.0,0.19,0.0,0.19,131.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.0,0.0,0.0,0.26,0.0,0.26,0.0,0.0,0.19,0.0,0.19,131.86,56.9,0.0,56.9,81.71,0.0,81.71,138.61,0.0,138.61,24.47,0.0,24.47
1796,NM,35,Catron County,3,35003,2015,3.4560000000000004,1.224,0.0,1.224,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.15,2.2319999999999998,0.16,0.0,0.16,72.0,0.13,106.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,18.78,19.07,0.0,10.49,0.0,0.0,1.34,1.34,0.29,18.78,19.07,0.0,10.49,0.0,0.0,1.34,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.13,0.27,2.16,0.0,2.16,0.0,0.0,0.0,2.16,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,2.9,18.91,0.0,18.91,21.81,0.0,21.81,10.49,0.0,10.49
1797,NM,35,Chaves County,5,35005,2015,65.764,56.772,0.0,56.772,11.57,0.0,11.57,0.0,0.0,0.0,11.57,0.0,11.57,8.992,0.9,0.0,0.9,100.0,5.92,104.0,6.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.02,8.79,130.81,0.0,77.8,21.56,0.25,27.97,49.78,121.4,8.52,129.92,0.0,77.23,21.21,0.25,27.97,49.43,0.62,0.27,0.89,0.0,0.57,0.35,0.0,0.0,0.35,5.69,0.2,5.89,1.59,0.0,1.59,0.0,0.0,0.0,1.59,0.0,1.59,0.07,1.42,1.49,0.0,0.0,0.0,0.07,1.42,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.84,1.42,143.26,8.99,0.0,8.99,150.83,1.42,152.25,77.8,0.0,77.8
1798,NM,35,Cibola County,6,35006,2015,27.329,12.774000000000001,0.0,12.774000000000001,2.38,0.0,2.38,0.0,0.0,0.0,2.38,0.0,2.38,14.555,1.02,0.0,1.02,70.0,1.69,132.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44,1.42,4.86,0.57,3.25,1.51,0.02,1.79,3.32,3.44,1.42,4.86,0.0,2.88,1.2,0.02,1.79,3.01,0.0,0.0,0.0,0.57,0.37,0.31,0.0,0.0,0.31,0.12,0.03,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.21,1.27,0.0,0.0,0.0,0.06,1.21,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.02,1.21,8.23,1.45,0.0,1.45,8.47,1.21,9.68,3.25,0.0,3.25
1799,NM,35,Colfax County,7,35007,2015,12.414000000000001,1.8090000000000002,10.450999999999999,12.26,0.57,0.0,0.57,1.23,0.0,1.23,1.8,0.0,1.8,0.154,0.01,0.0,0.01,65.0,1.28,104.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,49.97,54.07,0.0,30.89,3.97,0.0,15.77,19.74,4.02,49.97,53.99,0.0,30.76,3.89,0.0,15.77,19.66,0.08,0.0,0.08,0.0,0.13,0.08,0.0,0.0,0.08,0.12,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,4.8,51.5,0.0,51.5,56.3,0.0,56.3,30.89,0.0,30.89
1800,NM,35,Curry County,9,35009,2015,50.398,45.483000000000004,0.0,45.483000000000004,5.2,0.0,5.2,0.0,0.0,0.0,5.2,0.0,5.2,4.915,0.49,0.0,0.49,100.0,2.77,61.0,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.56,0.0,127.56,0.0,82.91,91.53,0.0,0.0,91.53,127.23,0.0,127.23,0.0,82.7,91.28,0.0,0.0,91.28,0.33,0.0,0.33,0.0,0.21,0.25,0.0,0.0,0.25,6.23,0.1,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.49,0.0,139.49,0.1,0.0,0.1,139.59,0.0,139.59,82.91,0.0,82.91
1801,NM,35,De Baca County,11,35011,2015,1.828,1.6030000000000002,0.0,1.6030000000000002,0.24,0.0,0.24,0.0,0.0,0.0,0.24,0.0,0.24,0.225,0.02,0.0,0.02,89.0,0.18,112.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,29.17,36.97,0.0,21.45,2.55,0.0,5.87,8.42,7.8,29.17,36.97,0.0,21.45,2.55,0.0,5.87,8.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.03,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.21,0.0,8.21,29.2,0.0,29.2,37.41,0.0,37.41,21.45,0.0,21.45
1802,NM,35,Dona Ana County,13,35013,2015,214.295,209.295,0.0,209.295,33.99,0.0,33.99,0.0,0.0,0.0,33.99,0.0,33.99,5.0,0.5,0.0,0.5,100.0,20.22,97.0,20.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.72,255.85,372.57,0.37,205.75,0.72,0.19,68.33,69.24,114.85,255.85,370.7,0.0,204.29,0.18,0.19,68.33,68.7,1.87,0.0,1.87,0.37,1.46,0.54,0.0,0.0,0.54,3.25,0.03,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.37,0.0,0.0,0.0,0.37,0.0,0.37,1.07,0.0,1.07,0.0,0.0,0.0,1.07,0.0,1.07,0.0,0.0,0.77,0.0,0.77,1169.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,1.07,0.0,0.0,0.0,1.07,0.0,1.07,0.0,0.0,0.77,0.0,0.77,1169.01,155.9,0.0,155.9,255.88,0.0,255.88,411.78,0.0,411.78,206.52,0.0,206.52
1803,NM,35,Eddy County,15,35015,2015,57.578,55.27,0.0,55.27,13.45,0.0,13.45,0.0,0.0,0.0,13.45,0.0,13.45,2.3080000000000003,0.23,0.0,0.23,100.0,7.67,139.0,7.9,0.93,0.0,0.93,0.0,0.0,0.0,0.93,0.0,0.93,80.28,57.14,137.42,0.0,76.0,0.75,0.0,36.28,37.03,79.88,57.14,137.02,0.0,75.53,0.46,0.0,36.28,36.74,0.4,0.0,0.4,0.0,0.47,0.29,0.0,0.0,0.29,1.15,0.03,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,9.05,9.92,0.0,0.0,0.0,0.87,9.05,9.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.91,9.05,105.96,57.17,0.0,57.17,154.08,9.05,163.13,76.0,0.0,76.0
1804,NM,35,Grant County,17,35017,2015,28.609,26.163,0.0,26.163,2.49,0.0,2.49,0.0,0.0,0.0,2.49,0.0,2.49,2.4459999999999997,0.2,0.0,0.2,82.0,1.64,63.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91,27.78,31.69,0.2,17.65,0.19,0.0,3.93,4.12,3.91,27.78,31.69,0.0,17.52,0.12,0.0,3.93,4.05,0.0,0.0,0.0,0.2,0.13,0.07,0.0,0.0,0.07,0.15,0.14,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.64,0.0,31.64,14.71,0.0,14.71,46.35,0.0,46.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.39,0.0,38.39,42.63,0.0,42.63,81.02,0.0,81.02,17.65,0.0,17.65
