,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
1747,NV,32,Churchill County,1,32001,2015,24.2,0.0,0.0,15.269,3.27,0.0,3.27,0.01,0.0,0.01,3.28,0.0,3.28,8.931000000000001,1.43,0.0,1.43,160.0,2.14,140.0,3.57,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,3.45,160.33,163.78,0.0,114.79,0.48,0.0,53.18,53.66,3.35,160.33,163.68,0.0,114.71,0.44,0.0,53.18,53.62,0.1,0.0,0.1,0.0,0.08,0.04,0.0,0.0,0.04,0.56,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.84,46.84,0.0,0.0,0.0,0.0,46.84,46.84,0.0,0.0,0.0,20.19,20.19,585.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.84,46.84,0.0,0.0,0.0,0.0,46.84,46.84,0.0,0.0,0.0,20.19,20.19,585.77,8.74,46.84,55.58,160.34,0.0,160.34,169.08,46.84,215.92,114.79,20.19,134.98
1748,NV,32,Clark County,3,32003,2015,2114.801,0.0,0.0,2016.402,57.07,0.0,57.07,353.06,0.0,353.06,410.13,0.0,410.13,98.399,19.68,0.0,19.68,200.0,247.6,123.0,267.28,0.69,0.0,0.69,4.69,0.0,4.69,5.38,0.0,5.38,8.22,26.26,34.48,1.77,28.54,8.15,0.0,0.59,8.74,7.42,3.92,11.34,0.35,8.89,3.12,0.0,0.59,3.71,0.8,22.34,23.14,1.42,19.65,5.03,0.0,0.0,5.03,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.03,1.1,4.22,0.0,4.22,5.29,0.03,5.32,1.55,0.0,1.55,1.05,0.0,1.05,2.6,0.0,2.6,0.56,0.49,2.28,0.0,2.28,4406.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,1.55,1.05,0.0,1.05,2.6,0.0,2.6,0.56,0.49,2.28,0.0,2.28,4406.04,88.33,0.03,88.36,389.28,0.0,389.28,477.61,0.03,477.64,30.82,0.0,30.82
1749,NV,32,Douglas County,5,32005,2015,47.71,0.0,0.0,41.013000000000005,11.69,0.0,11.69,1.72,0.0,1.72,13.41,0.0,13.41,6.697,1.34,0.0,1.34,200.0,5.74,140.0,7.08,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,8.66,70.23,78.89,0.42,56.79,4.25,0.0,21.79,26.04,8.08,70.14,78.22,0.0,55.92,3.83,0.0,21.79,25.62,0.58,0.09,0.67,0.42,0.87,0.42,0.0,0.0,0.42,0.11,0.0,0.11,2.01,0.0,2.01,0.71,0.0,0.71,2.72,0.0,2.72,0.0,0.27,0.27,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.83,0.27,24.1,72.66,0.0,72.66,96.49,0.27,96.76,56.79,0.0,56.79
1750,NV,32,Elko County,7,32007,2015,51.935,0.0,0.0,40.239000000000004,11.83,0.0,11.83,0.04,0.0,0.04,11.87,0.0,11.87,11.696,1.87,0.0,1.87,160.0,5.63,140.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.64,326.59,349.23,0.0,245.95,5.73,0.0,126.83,132.56,21.9,326.59,348.49,0.0,245.36,5.39,0.0,126.83,132.22,0.74,0.0,0.74,0.0,0.59,0.34,0.0,0.0,0.34,1.29,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.94,0.0,30.94,0.83,0.0,0.83,31.77,0.0,31.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.57,0.0,68.57,327.46,0.0,327.46,396.03,0.0,396.03,245.95,0.0,245.95
1751,NV,32,Esmeralda County,9,32009,2015,0.8290000000000001,0.0,0.0,0.638,0.11,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.11,0.191,0.03,0.0,0.03,157.0,0.09,141.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.29,0.0,53.29,0.0,42.63,17.46,0.0,0.0,17.46,53.29,0.0,53.29,0.0,42.63,17.46,0.0,0.0,17.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.09,0.27,0.0,0.0,0.0,0.18,0.09,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.62,0.09,53.71,0.0,0.0,0.0,53.62,0.09,53.71,42.63,0.0,42.63
1752,NV,32,Eureka County,11,32011,2015,2.016,0.0,0.0,1.175,0.32,0.0,0.32,0.0,0.0,0.0,0.32,0.0,0.32,0.841,0.13,0.0,0.13,155.0,0.16,136.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.42,2.19,121.61,0.0,96.91,45.21,0.0,1.45,46.66,119.42,2.19,121.61,0.0,96.91,45.21,0.0,1.45,46.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.37,0.0,77.37,0.03,0.0,0.03,77.4,0.0,77.4,1.24,6.37,7.61,0.0,0.0,0.0,1.24,6.37,7.61,0.0,0.0,0.31,1.61,1.92,949.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,6.37,7.61,0.0,0.0,0.0,1.24,6.37,7.61,0.0,0.0,0.31,1.61,1.92,949.44,198.65,6.37,205.02,2.22,0.0,2.22,200.87,6.37,207.24,97.22,1.61,98.83
1753,NV,32,Humboldt County,13,32013,2015,17.019000000000002,0.0,0.0,11.804,3.57,0.0,3.57,0.0,0.0,0.0,3.57,0.0,3.57,5.215,0.83,0.0,0.83,159.0,1.65,140.0,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.53,78.25,440.78,0.0,345.0,113.71,0.0,23.8,137.51,362.42,78.25,440.67,0.0,344.91,113.67,0.0,23.8,137.47,0.11,0.0,0.11,0.0,0.09,0.04,0.0,0.0,0.04,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.13,0.32,19.45,0.0,0.0,0.0,19.13,0.32,19.45,2.31,2.12,4.43,0.0,0.0,0.0,2.31,2.12,4.43,0.0,0.0,1.62,1.48,3.1,1664.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,2.12,4.43,0.0,0.0,0.0,2.31,2.12,4.43,0.0,0.0,1.62,1.48,3.1,1664.86,388.97,2.44,391.41,78.25,0.0,78.25,467.22,2.44,469.66,346.62,1.48,348.1
1754,NV,32,Lander County,15,32015,2015,5.903,0.0,0.0,4.447,1.46,0.0,1.46,0.01,0.0,0.01,1.47,0.0,1.47,1.456,0.23,0.0,0.23,158.0,0.62,139.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.95,8.09,120.04,0.0,94.57,32.7,0.0,4.54,37.24,111.86,8.09,119.95,0.0,94.5,32.66,0.0,4.54,37.2,0.09,0.0,0.09,0.0,0.07,0.04,0.0,0.0,0.04,0.22,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.62,0.0,33.62,1.09,0.0,1.09,34.71,0.0,34.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.48,0.0,147.48,9.19,0.0,9.19,156.67,0.0,156.67,94.57,0.0,94.57
1755,NV,32,Lincoln County,17,32017,2015,5.0360000000000005,0.0,0.0,4.474,1.16,0.0,1.16,0.0,0.0,0.0,1.16,0.0,1.16,0.562,0.11,0.0,0.11,196.0,0.55,123.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.52,2.63,59.15,0.02,47.02,20.92,0.0,1.08,22.0,56.52,2.63,59.15,0.02,47.02,20.92,0.0,1.08,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.05,0.0,58.05,2.63,0.0,2.63,60.68,0.0,60.68,47.02,0.0,47.02
1756,NV,32,Lyon County,19,32019,2015,52.585,0.0,0.0,50.888000000000005,8.75,0.0,8.75,0.0,0.0,0.0,8.75,0.0,8.75,1.6969999999999998,0.27,0.0,0.27,159.0,7.12,140.0,7.39,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,15.46,252.83,268.29,0.0,203.01,49.81,0.0,38.09,87.9,14.81,252.83,267.64,0.0,202.49,49.58,0.0,38.09,87.67,0.65,0.0,0.65,0.0,0.52,0.23,0.0,0.0,0.23,0.6,0.0,0.6,7.22,0.0,7.22,9.45,0.0,9.45,16.67,0.0,16.67,0.59,0.0,0.59,1.44,0.0,1.44,2.03,0.0,2.03,0.98,10.89,11.87,0.0,0.0,0.0,0.98,10.89,11.87,0.0,0.0,0.08,0.88,0.96,390.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,10.89,11.87,0.0,0.0,0.0,0.98,10.89,11.87,0.0,0.0,0.08,0.88,0.96,390.88,34.12,10.89,45.01,263.72,0.0,263.72,297.84,10.89,308.73,203.09,0.88,203.97
