,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
1828,NY,36,Albany County,1,36001,2015,309.381,40.08,227.658,267.738,6.04,0.0,6.04,39.74,0.0,39.74,45.78,0.0,45.78,41.643,3.12,0.0,3.12,75.0,20.08,75.0,23.2,0.26,0.0,0.26,4.59,0.0,4.59,4.85,0.0,4.85,0.06,0.69,0.75,0.0,0.71,1.21,0.06,0.01,1.28,0.03,0.16,0.19,0.0,0.18,0.36,0.06,0.01,0.43,0.03,0.53,0.56,0.0,0.53,0.85,0.0,0.0,0.85,0.09,0.05,0.14,0.01,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.02,0.03,0.0,0.03,0.09,0.0,0.09,0.12,0.0,0.12,0.71,0.0,0.71,3.43,0.0,3.43,4.14,0.0,4.14,0.0,0.0,2.92,0.0,2.92,6260.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.71,3.43,0.0,3.43,4.14,0.0,4.14,0.0,0.0,2.92,0.0,2.92,6260.08,10.32,0.0,10.32,48.6,0.0,48.6,58.92,0.0,58.92,3.63,0.0,3.63
1829,NY,36,Allegany County,3,36003,2015,47.461999999999996,18.293,9.559,27.851999999999997,2.17,0.0,2.17,0.95,0.0,0.95,3.12,0.0,3.12,19.61,1.47,0.0,1.47,75.0,2.09,75.0,3.56,0.56,0.0,0.56,0.0,0.0,0.0,0.56,0.0,0.56,0.03,0.2,0.23,0.0,0.22,0.48,0.02,0.0,0.5,0.01,0.04,0.05,0.0,0.05,0.08,0.02,0.0,0.1,0.02,0.16,0.18,0.0,0.17,0.4,0.0,0.0,0.4,0.27,0.15,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.25,0.0,0.25,0.34,0.0,0.34,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.0,0.16,0.0,0.0,0.03,0.0,0.03,106.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.0,0.16,0.0,0.0,0.03,0.0,0.03,106.33,4.59,0.0,4.59,1.71,0.0,1.71,6.3,0.0,6.3,0.25,0.0,0.25
1830,NY,36,Bronx County,5,36005,2015,1455.444,0.0,1455.444,1455.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,93.15,64.0,93.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.02,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.02,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.02,0.02,0.0,0.02
1831,NY,36,Broome County,7,36007,2015,196.567,97.626,44.998000000000005,142.624,12.53,0.0,12.53,6.2,0.0,6.2,18.73,0.0,18.73,53.943000000000005,4.05,0.0,4.05,75.0,10.7,75.0,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.4,0.45,0.0,0.43,1.12,0.02,0.0,1.14,0.01,0.06,0.07,0.0,0.07,0.13,0.02,0.0,0.15,0.04,0.34,0.38,0.0,0.36,0.99,0.0,0.0,0.99,0.16,0.09,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.92,0.0,16.92,6.69,0.0,6.69,23.61,0.0,23.61,0.43,0.0,0.43
1832,NY,36,Cattaraugus County,9,36009,2015,77.922,42.217,7.096,49.313,7.85,0.0,7.85,1.6,0.0,1.6,9.45,0.0,9.45,28.609,2.15,0.0,2.15,75.0,3.7,75.0,5.85,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.3,0.07,0.52,0.59,0.0,0.56,1.2,0.14,0.02,1.36,0.05,0.36,0.41,0.0,0.39,0.77,0.14,0.02,0.93,0.02,0.16,0.18,0.0,0.17,0.43,0.0,0.0,0.43,0.42,0.22,0.64,0.0,0.0,0.0,2.71,0.0,2.71,2.71,0.0,2.71,0.54,0.0,0.54,1.26,0.0,1.26,1.8,0.0,1.8,0.97,0.0,0.97,0.0,0.0,0.0,0.97,0.0,0.97,0.0,0.0,0.69,0.0,0.69,386.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.97,0.0,0.0,0.0,0.97,0.0,0.97,0.0,0.0,0.69,0.0,0.69,386.52,12.3,0.0,12.3,6.31,0.0,6.31,18.61,0.0,18.61,1.25,0.0,1.25
1833,NY,36,Cayuga County,11,36011,2015,78.288,11.825,49.224,61.049,1.15,0.0,1.15,4.28,0.0,4.28,5.43,0.0,5.43,17.239,1.29,0.0,1.29,75.0,4.58,75.0,5.87,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.04,0.33,0.37,0.0,0.35,0.88,0.06,0.01,0.95,0.02,0.16,0.18,0.0,0.17,0.34,0.06,0.01,0.41,0.02,0.17,0.19,0.0,0.18,0.54,0.0,0.0,0.54,0.88,0.48,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.22,0.0,0.22,0.26,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,0.0,3.41,5.31,0.0,5.31,8.72,0.0,8.72,0.35,0.0,0.35
1834,NY,36,Chautauqua County,13,36013,2015,130.779,51.803999999999995,38.134,89.93799999999999,6.66,0.0,6.66,5.92,0.0,5.92,12.58,0.0,12.58,40.841,3.06,0.0,3.06,75.0,6.75,75.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.76,0.86,0.0,0.82,1.04,0.68,0.02,1.74,0.07,0.49,0.56,0.0,0.53,0.19,0.68,0.02,0.89,0.03,0.27,0.3,0.0,0.29,0.85,0.0,0.0,0.85,0.54,0.29,0.83,0.04,0.0,0.04,0.11,0.0,0.11,0.15,0.0,0.15,0.06,0.0,0.06,0.21,0.0,0.21,0.27,0.0,0.27,0.0,0.0,0.0,116.3,0.0,116.3,116.3,0.0,116.3,0.0,0.0,1.28,0.0,1.28,492.48,0.0,0.0,0.0,116.26,0.0,116.26,116.26,0.0,116.26,0.0,0.0,1.27,0.0,1.27,439.95,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.01,0.0,0.01,52.53,10.46,0.0,10.46,123.59,0.0,123.59,134.05,0.0,134.05,2.1,0.0,2.1
1835,NY,36,Chemung County,15,36015,2015,87.071,25.776999999999997,21.555,47.332,4.71,0.0,4.71,3.66,0.0,3.66,8.37,0.0,8.37,39.739000000000004,2.98,0.0,2.98,75.0,3.55,75.0,6.53,0.58,0.0,0.58,0.0,0.0,0.0,0.58,0.0,0.58,0.02,0.12,0.14,0.0,0.14,0.31,0.02,0.0,0.33,0.01,0.06,0.07,0.0,0.07,0.14,0.02,0.0,0.16,0.01,0.06,0.07,0.0,0.07,0.17,0.0,0.0,0.17,0.06,0.03,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.42,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.35,0.0,8.35,4.23,0.0,4.23,12.58,0.0,12.58,0.14,0.0,0.14
1836,NY,36,Chenango County,17,36017,2015,48.843999999999994,22.345,6.098,28.443,1.82,0.0,1.82,0.4,0.0,0.4,2.22,0.0,2.22,20.401,1.53,0.0,1.53,75.0,2.13,75.0,3.66,1.07,0.0,1.07,0.0,0.0,0.0,1.07,0.0,1.07,0.05,0.24,0.29,0.0,0.28,0.51,0.03,0.0,0.54,0.01,0.07,0.08,0.0,0.08,0.17,0.03,0.0,0.2,0.04,0.17,0.21,0.0,0.2,0.34,0.0,0.0,0.34,0.32,0.17,0.49,0.25,0.0,0.25,1.25,0.0,1.25,1.5,0.0,1.5,0.0,0.0,0.0,0.72,0.0,0.72,0.72,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04,0.0,5.04,2.78,0.0,2.78,7.82,0.0,7.82,0.28,0.0,0.28
1837,NY,36,Clinton County,19,36019,2015,81.251,18.214000000000002,35.514,53.728,1.86,0.0,1.86,3.07,0.0,3.07,4.93,0.0,4.93,27.523000000000003,2.06,0.0,2.06,75.0,4.03,75.0,6.09,0.0,0.0,0.0,0.9,0.0,0.9,0.9,0.0,0.9,0.02,0.18,0.2,0.0,0.19,0.29,0.12,0.0,0.41,0.01,0.08,0.09,0.0,0.09,0.03,0.12,0.0,0.15,0.01,0.1,0.11,0.0,0.1,0.26,0.0,0.0,0.26,0.49,0.26,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43,0.0,4.43,4.49,0.0,4.49,8.92,0.0,8.92,0.19,0.0,0.19
