,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
2043,OH,39,Adams County,1,39001,2015,28.024,27.184,0.0,27.184,2.05,0.0,2.05,0.0,0.0,0.0,2.05,0.0,2.05,0.84,0.06,0.0,0.06,71.0,1.57,58.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.26,0.04,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.2,0.04,0.0,0.24,0.0,0.01,0.01,0.0,0.01,0.06,0.0,0.0,0.06,0.05,0.19,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.3,2.11,0.0,2.11,489.11,0.0,489.11,491.22,0.0,491.22,0.0,0.0,24.99,0.0,24.99,13290.01,1.45,0.0,1.45,460.68,0.0,460.68,462.13,0.0,462.13,0.0,0.0,4.62,0.0,4.62,7239.55,0.66,0.0,0.66,28.43,0.0,28.43,29.09,0.0,29.09,0.0,0.0,20.37,0.0,20.37,6050.46,4.57,0.0,4.57,489.31,0.0,489.31,493.88,0.0,493.88,25.0,0.0,25.0
2044,OH,39,Allen County,3,39003,2015,104.425,3.6839999999999997,80.83800000000001,84.522,0.29,0.0,0.29,17.88,0.0,17.88,18.17,0.0,18.17,19.903,1.46,0.03,1.49,75.0,5.45,64.0,6.94,4.35,0.0,4.35,0.0,0.0,0.0,4.35,0.0,4.35,0.07,0.27,0.34,0.0,0.31,0.68,0.06,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.32,0.06,0.0,0.38,0.07,0.27,0.34,0.0,0.31,0.36,0.0,0.0,0.36,0.05,0.21,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,0.0,2.95,0.0,0.0,0.0,2.95,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,0.0,9.17,18.39,0.0,18.39,27.56,0.0,27.56,0.31,0.0,0.31
2045,OH,39,Ashland County,5,39005,2015,53.213,25.413,0.45,25.863000000000003,2.99,0.0,2.99,0.0,0.0,0.0,2.99,0.0,2.99,27.35,2.01,0.04,2.05,75.0,1.53,59.0,3.58,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.15,0.01,0.05,0.06,0.0,0.05,0.47,0.03,0.0,0.5,0.01,0.04,0.05,0.0,0.04,0.19,0.03,0.0,0.22,0.0,0.01,0.01,0.0,0.01,0.28,0.0,0.0,0.28,0.13,0.27,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.16,0.0,0.16,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.31,0.0,5.31,0.52,0.0,0.52,5.83,0.0,5.83,0.05,0.0,0.05
2046,OH,39,Ashtabula County,7,39007,2015,98.632,3.0589999999999997,79.469,82.52799999999999,0.48,0.0,0.48,6.72,0.0,6.72,7.2,0.0,7.2,16.104,1.18,0.02,1.2,75.0,4.32,52.0,5.52,0.0,0.0,0.0,20.55,0.0,20.55,20.55,0.0,20.55,0.01,0.05,0.06,0.0,0.06,0.54,0.04,0.0,0.58,0.01,0.02,0.03,0.0,0.03,0.2,0.04,0.0,0.24,0.0,0.03,0.03,0.0,0.03,0.34,0.0,0.0,0.34,0.09,0.14,0.23,0.0,0.0,0.0,5.1,0.0,5.1,5.1,0.0,5.1,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.0,180.82,0.0,180.82,180.82,0.0,180.82,0.0,0.0,2.11,0.0,2.11,227.16,0.0,0.0,0.0,180.39,0.0,180.39,180.39,0.0,180.39,0.0,0.0,1.8,0.0,1.8,94.99,0.0,0.0,0.0,0.43,0.0,0.43,0.43,0.0,0.43,0.0,0.0,0.31,0.0,0.31,132.17,1.76,0.0,1.76,213.42,0.0,213.42,215.18,0.0,215.18,2.17,0.0,2.17
2047,OH,39,Athens County,9,39009,2015,65.88600000000001,51.595,0.0,51.595,7.51,0.0,7.51,0.0,0.0,0.0,7.51,0.0,7.51,14.290999999999999,1.05,0.02,1.07,75.0,3.3,64.0,4.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.02,0.13,0.01,0.0,0.14,0.02,0.0,0.02,0.0,0.02,0.05,0.01,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.03,0.06,0.09,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.61,0.0,8.61,0.19,0.0,0.19,8.8,0.0,8.8,0.02,0.0,0.02
2048,OH,39,Auglaize County,11,39011,2015,45.876000000000005,29.813000000000002,0.0,29.813000000000002,5.27,0.0,5.27,0.0,0.0,0.0,5.27,0.0,5.27,16.063,1.18,0.02,1.2,75.0,2.37,79.0,3.57,0.16,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.16,0.09,0.0,0.09,0.0,0.08,0.15,0.0,0.0,0.15,0.07,0.0,0.07,0.0,0.06,0.01,0.0,0.0,0.01,0.02,0.0,0.02,0.0,0.02,0.14,0.0,0.0,0.14,0.18,0.37,0.55,0.45,0.0,0.45,0.22,0.0,0.22,0.67,0.0,0.67,1.68,0.0,1.68,0.0,0.0,0.0,1.68,0.0,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.01,0.0,9.01,0.61,0.0,0.61,9.62,0.0,9.62,0.08,0.0,0.08
2049,OH,39,Belmont County,13,39013,2015,69.154,44.82,17.324,62.144,5.66,0.0,5.66,1.95,0.0,1.95,7.61,0.0,7.61,7.01,0.52,0.01,0.53,76.0,2.74,44.0,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.01,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.02,0.02,0.0,0.01,0.1,0.0,0.0,0.1,0.04,0.13,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.0,3.19,3.19,0.0,3.19,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,6.25,5.3,0.0,5.3,11.55,0.0,11.55,0.01,0.0,0.01
2050,OH,39,Brown County,15,39015,2015,43.839,32.449,8.467,40.916,2.5,0.0,2.5,0.56,0.0,0.56,3.06,0.0,3.06,2.923,0.21,0.0,0.21,72.0,2.2,54.0,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.23,0.02,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.09,0.02,0.0,0.11,0.0,0.01,0.01,0.0,0.01,0.14,0.0,0.0,0.14,0.04,0.13,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,1.85,0.0,0.0,0.0,1.85,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,4.6,0.7,0.0,0.7,5.3,0.0,5.3,0.01,0.0,0.01
2051,OH,39,Butler County,17,39017,2015,376.353,244.297,123.381,367.67800000000005,50.69,0.0,50.69,0.0,0.0,0.0,50.69,0.0,50.69,8.675,0.64,0.01,0.65,75.0,20.28,55.0,20.93,13.64,0.0,13.64,7.86,0.0,7.86,21.5,0.0,21.5,0.23,0.07,0.3,0.0,0.28,1.09,0.05,0.0,1.14,0.11,0.02,0.13,0.0,0.12,0.29,0.05,0.0,0.34,0.12,0.05,0.17,0.0,0.16,0.8,0.0,0.0,0.8,0.05,0.12,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.93,5.58,0.0,5.58,6.51,0.0,6.51,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.05,0.0,0.05,0.0,66.24,0.0,66.24,13.64,0.0,13.64,79.88,0.0,79.88,0.33,0.0,0.33
2052,OH,39,Carroll County,19,39019,2015,27.811,7.852,0.0,7.852,0.84,0.0,0.84,0.0,0.0,0.0,0.84,0.0,0.84,19.959,1.47,0.03,1.5,75.0,0.46,59.0,1.96,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.04,0.04,0.0,0.04,0.35,0.05,0.0,0.4,0.0,0.01,0.01,0.0,0.01,0.31,0.05,0.0,0.36,0.0,0.03,0.03,0.0,0.03,0.04,0.0,0.0,0.04,0.07,0.13,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.34,0.34,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,2.4,0.54,0.0,0.54,2.94,0.0,2.94,0.04,0.0,0.04
