,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
2131,OK,40,Adair County,1,40001,2015,22.004,1.6230000000000002,11.87,13.493,0.01,0.0,0.01,6.9,0.0,6.9,6.91,0.0,6.91,8.511000000000001,0.06,0.0,0.06,7.0,1.04,77.0,1.1,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.26,0.26,0.0,0.2,0.2,0.0,0.01,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,1.1,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.02,0.21,8.27,0.0,8.27,8.46,0.02,8.48,0.2,0.0,0.2
2132,OK,40,Alfalfa County,3,40003,2015,5.867999999999999,4.926,0.0,4.926,0.7,0.0,0.7,0.0,0.0,0.0,0.7,0.0,0.7,0.9420000000000001,0.08,0.0,0.08,85.0,0.35,71.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.23,3.17,0.0,2.62,1.34,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.69,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,0.0,0.22,0.22,1.01,0.0,1.01,1.01,0.22,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41,0.22,4.63,1.26,0.0,1.26,5.67,0.22,5.89,2.62,0.0,2.62
2133,OK,40,Atoka County,5,40005,2015,13.793,2.2,10.895,13.095,0.09,0.0,0.09,40.33,0.0,40.33,40.42,0.0,40.42,0.698,0.06,0.0,0.06,86.0,0.99,76.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.86,0.0,0.67,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.52,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.07,0.0,0.07,0.07,0.16,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.16,0.37,41.78,0.0,41.78,41.99,0.16,42.15,0.67,0.0,0.67
2134,OK,40,Beaver County,7,40007,2015,5.4270000000000005,2.998,0.0,2.998,0.48,0.0,0.48,0.0,0.0,0.0,0.48,0.0,0.48,2.4290000000000003,0.21,0.0,0.21,86.0,0.23,77.0,0.44,0.33,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.33,55.18,0.06,55.24,0.0,45.85,25.83,0.0,0.0,25.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.0,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.05,1.06,0.0,0.0,0.0,0.01,1.05,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.34,1.05,59.39,0.06,0.0,0.06,58.4,1.05,59.45,45.85,0.0,45.85
2135,OK,40,Beckham County,9,40009,2015,23.768,18.035,0.0,18.035,3.25,0.0,3.25,0.0,0.0,0.0,3.25,0.0,3.25,5.733,0.49,0.0,0.49,85.0,1.38,77.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.09,0.4,11.49,0.0,9.52,6.48,0.0,0.0,6.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.44,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.29,0.0,0.29,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.99,0.0,14.99,1.13,0.0,1.13,16.12,0.0,16.12,9.52,0.0,9.52
2136,OK,40,Blaine County,11,40011,2015,9.833,8.821,0.0,8.821,1.07,0.0,1.07,0.0,0.0,0.0,1.07,0.0,1.07,1.012,0.09,0.0,0.09,89.0,0.67,76.0,0.76,0.17,0.0,0.17,0.06,0.0,0.06,0.23,0.0,0.23,5.29,0.45,5.74,0.0,4.74,3.3,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.62,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.76,0.96,4.0,0.0,4.0,4.2,0.76,4.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.12,0.76,7.88,5.13,0.0,5.13,12.25,0.76,13.01,4.74,0.0,4.74
2137,OK,40,Bryan County,13,40013,2015,44.88399999999999,9.311,30.58,39.891,0.8,0.0,0.8,4.73,0.0,4.73,5.53,0.0,5.53,4.993,0.42,0.0,0.42,84.0,3.05,76.0,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,4.83,6.21,0.0,4.91,8.05,0.0,0.42,8.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.71,1.02,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.02,0.02,4.42,0.0,4.42,4.42,0.02,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91,0.02,2.93,14.7,0.0,14.7,17.61,0.02,17.63,4.91,0.0,4.91
2138,OK,40,Caddo County,15,40015,2015,29.343000000000004,13.597999999999999,7.154,20.752,1.85,0.0,1.85,5.3,0.0,5.3,7.15,0.0,7.15,8.591000000000001,0.73,0.0,0.73,85.0,1.54,74.0,2.27,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,58.4,3.2,61.6,0.0,50.97,31.77,0.0,0.0,31.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,1.03,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.69,1.83,0.05,0.0,0.05,0.19,1.69,1.88,0.0,0.0,0.0,1.3,0.0,1.3,1.3,0.0,1.3,0.0,0.81,1.51,0.0,1.51,1007.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.3,1.3,0.0,1.3,0.0,0.81,1.51,0.0,1.51,1007.73,61.6,1.69,63.29,10.88,0.0,10.88,72.48,1.69,74.17,52.48,0.0,52.48
2139,OK,40,Canadian County,17,40017,2015,133.378,34.521,94.255,128.776,4.24,0.0,4.24,0.0,0.0,0.0,4.24,0.0,4.24,4.602,0.39,0.0,0.39,85.0,4.0,31.0,4.39,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,2.39,1.97,4.36,0.0,3.52,10.51,0.0,0.0,10.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.8,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.4,0.61,2.5,0.0,2.5,2.71,0.4,3.11,0.1,0.0,0.1,0.1,0.0,0.1,0.2,0.0,0.2,0.0,0.0,0.05,0.0,0.05,114.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.2,0.0,0.2,0.0,0.0,0.05,0.0,0.05,114.54,7.65,0.4,8.05,5.37,0.0,5.37,13.02,0.4,13.42,3.57,0.0,3.57
2140,OK,40,Carter County,19,40019,2015,48.68899999999999,14.029000000000002,34.536,48.565,1.22,0.0,1.22,3.86,0.0,3.86,5.08,0.0,5.08,0.124,0.01,0.0,0.01,81.0,3.59,74.0,3.6,0.01,0.0,0.01,0.06,0.0,0.06,0.07,0.0,0.07,0.02,0.54,0.56,0.0,0.44,1.13,0.0,0.06,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.6,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.75,41.75,0.56,0.0,0.56,0.56,41.75,42.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,41.75,43.08,5.62,0.0,5.62,6.95,41.75,48.7,0.44,0.0,0.44
