,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
2244,PA,42,Adams County,1,42001,2015,102.295,27.041,20.971,48.012,1.91,0.0,1.91,10.48,0.0,10.48,12.39,0.0,12.39,54.283,3.26,0.0,3.26,60.0,2.5,52.0,5.76,1.03,0.0,1.03,0.0,0.0,0.0,1.03,0.0,1.03,0.5,0.45,0.95,0.0,0.86,1.68,1.17,0.03,2.88,0.36,0.27,0.63,0.0,0.57,0.99,1.17,0.03,2.19,0.14,0.18,0.32,0.0,0.29,0.69,0.0,0.0,0.69,0.61,0.05,0.66,0.17,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0.17,1.13,0.0,1.13,0.0,0.0,0.0,1.13,0.0,1.13,0.07,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.05,0.0,0.05,5095.0,0.07,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.05,0.0,0.05,5095.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.68,0.0,8.68,10.98,0.0,10.98,19.66,0.0,19.66,0.91,0.0,0.91
2245,PA,42,Allegheny County,3,42003,2015,1230.4589999999998,91.855,980.1080000000001,1071.963,8.82,0.0,8.82,169.35,0.0,169.35,178.17,0.0,178.17,158.496,9.51,0.0,9.51,60.0,63.65,59.0,73.16,2.67,0.0,2.67,244.34,0.0,244.34,247.01,0.0,247.01,0.78,0.95,1.73,0.0,1.56,3.04,0.13,0.0,3.17,0.04,0.03,0.07,0.0,0.06,0.11,0.13,0.0,0.24,0.74,0.92,1.66,0.0,1.5,2.93,0.0,0.0,2.93,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.14,0.14,0.19,0.0,0.19,135.45,0.0,135.45,135.64,0.0,135.64,0.0,0.0,2.02,0.0,2.02,5867.0,0.19,0.0,0.19,133.24,0.0,133.24,133.43,0.0,133.43,0.0,0.0,0.19,0.0,0.19,1940.0,0.0,0.0,0.0,2.21,0.0,2.21,2.21,0.0,2.21,0.0,0.0,1.83,0.0,1.83,3927.0,22.01,0.14,22.15,550.09,0.0,550.09,572.1,0.14,572.24,3.58,0.0,3.58
2246,PA,42,Armstrong County,5,42005,2015,67.05199999999999,15.915,28.843000000000004,44.758,1.65,0.0,1.65,5.0,0.0,5.0,6.65,0.0,6.65,22.294,1.34,0.0,1.34,60.0,2.15,48.0,3.49,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,0.18,0.11,0.29,0.0,0.26,0.57,0.08,0.0,0.65,0.03,0.02,0.05,0.0,0.04,0.07,0.08,0.0,0.15,0.15,0.09,0.24,0.0,0.22,0.5,0.0,0.0,0.5,0.22,0.02,0.24,0.48,0.0,0.48,0.0,0.0,0.0,0.48,0.0,0.48,0.0,0.32,0.32,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,0.0,18.81,0.0,18.81,18.81,0.0,18.81,0.0,0.0,12.84,0.0,12.84,9515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.81,0.0,18.81,18.81,0.0,18.81,0.0,0.0,12.84,0.0,12.84,9515.0,3.87,0.32,4.19,23.96,0.0,23.96,27.83,0.32,28.15,13.1,0.0,13.1
2247,PA,42,Beaver County,7,42007,2015,168.87099999999998,60.455,76.798,137.253,9.32,0.0,9.32,12.82,0.0,12.82,22.14,0.0,22.14,31.618000000000002,1.9,0.0,1.9,60.0,7.65,56.0,9.55,0.03,0.0,0.03,70.07,0.0,70.07,70.1,0.0,70.1,0.1,0.3,0.4,0.0,0.36,0.81,0.1,0.0,0.91,0.04,0.03,0.07,0.0,0.06,0.09,0.1,0.0,0.19,0.06,0.27,0.33,0.0,0.3,0.72,0.0,0.0,0.72,0.13,0.01,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,103.12,0.0,103.12,103.12,0.0,103.12,0.0,0.0,52.78,0.0,52.78,28149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.12,0.0,103.12,103.12,0.0,103.12,0.0,0.0,52.78,0.0,52.78,28149.0,11.48,0.15,11.63,186.32,0.0,186.32,197.8,0.15,197.95,53.14,0.0,53.14
2248,PA,42,Bedford County,9,42009,2015,48.586000000000006,9.33,7.551,16.881,0.97,0.0,0.97,9.02,0.0,9.02,9.99,0.0,9.99,31.705,1.9,0.0,1.9,60.0,1.0,59.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.13,0.19,0.0,0.18,0.25,0.07,0.0,0.32,0.02,0.02,0.04,0.0,0.04,0.06,0.07,0.0,0.13,0.04,0.11,0.15,0.0,0.14,0.19,0.0,0.0,0.19,0.88,0.09,0.97,1.82,0.0,1.82,1.46,0.0,1.46,3.28,0.0,3.28,0.26,0.0,0.26,0.01,0.0,0.01,0.27,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89,0.0,5.89,10.71,0.0,10.71,16.6,0.0,16.6,0.18,0.0,0.18
2249,PA,42,Berks County,11,42011,2015,415.27099999999996,143.233,119.11200000000001,262.345,13.2,0.0,13.2,18.65,0.0,18.65,31.85,0.0,31.85,152.92600000000002,9.18,0.0,9.18,60.0,13.96,53.0,23.14,1.54,0.0,1.54,0.87,0.0,0.87,2.41,0.0,2.41,0.72,0.49,1.21,0.0,1.09,2.06,0.87,0.02,2.95,0.3,0.23,0.53,0.0,0.48,0.74,0.87,0.02,1.63,0.42,0.26,0.68,0.0,0.61,1.32,0.0,0.0,1.32,1.88,0.15,2.03,0.02,0.0,0.02,0.68,0.0,0.68,0.7,0.0,0.7,1.14,0.0,1.14,0.02,0.0,0.02,1.16,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.68,0.0,27.68,20.86,0.0,20.86,48.54,0.0,48.54,1.09,0.0,1.09
2250,PA,42,Blair County,13,42013,2015,125.59299999999999,15.664000000000001,70.812,86.476,1.69,0.0,1.69,11.38,0.0,11.38,13.07,0.0,13.07,39.117,2.35,0.0,2.35,60.0,5.68,66.0,8.03,0.14,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.14,0.12,0.11,0.23,0.0,0.21,0.41,0.15,0.0,0.56,0.06,0.04,0.1,0.0,0.09,0.13,0.15,0.0,0.28,0.06,0.07,0.13,0.0,0.12,0.28,0.0,0.0,0.28,0.83,0.09,0.92,0.0,0.0,0.0,0.93,0.0,0.93,0.93,0.0,0.93,0.61,0.0,0.61,0.01,0.0,0.01,0.62,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.74,0.0,5.74,12.52,0.0,12.52,18.26,0.0,18.26,0.21,0.0,0.21
2251,PA,42,Bradford County,15,42015,2015,61.281000000000006,22.05,0.0,22.05,3.02,0.0,3.02,0.0,0.0,0.0,3.02,0.0,3.02,39.231,2.35,0.0,2.35,60.0,1.62,73.0,3.97,3.26,0.0,3.26,0.0,0.0,0.0,3.26,0.0,3.26,0.05,0.04,0.09,0.0,0.08,0.16,0.08,0.0,0.24,0.03,0.02,0.05,0.0,0.04,0.07,0.08,0.0,0.15,0.02,0.02,0.04,0.0,0.04,0.09,0.0,0.0,0.09,0.95,0.1,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.63,0.0,9.63,0.15,0.0,0.15,9.78,0.0,9.78,0.08,0.0,0.08
2252,PA,42,Bucks County,17,42017,2015,627.367,237.642,256.105,493.74699999999996,15.6,0.0,15.6,83.04,0.0,83.04,98.64,0.0,98.64,133.62,8.02,0.0,8.02,60.0,30.49,62.0,38.51,0.3,0.0,0.3,52.28,0.0,52.28,52.58,0.0,52.58,0.32,0.59,0.91,0.0,0.82,1.39,0.45,0.01,1.85,0.15,0.12,0.27,0.0,0.24,0.38,0.45,0.01,0.84,0.17,0.47,0.64,0.0,0.58,1.01,0.0,0.0,1.01,0.15,0.02,0.17,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.0,0.29,4.95,0.0,4.95,0.0,0.0,0.0,4.95,0.0,4.95,0.0,0.0,0.0,75.23,0.0,75.23,75.23,0.0,75.23,0.0,0.0,3.68,0.0,3.68,7029.0,0.0,0.0,0.0,59.45,0.0,59.45,59.45,0.0,59.45,0.0,0.0,1.08,0.0,1.08,579.0,0.0,0.0,0.0,15.78,0.0,15.78,15.78,0.0,15.78,0.0,0.0,2.6,0.0,2.6,6450.0,29.34,0.0,29.34,211.45,0.0,211.45,240.79,0.0,240.79,4.5,0.0,4.5
2253,PA,42,Butler County,19,42019,2015,186.81799999999998,16.178,98.87,115.04799999999999,1.37,0.0,1.37,6.29,0.0,6.29,7.66,0.0,7.66,71.77,4.31,0.0,4.31,60.0,6.48,56.0,10.79,0.19,0.0,0.19,0.79,0.0,0.79,0.98,0.0,0.98,0.38,0.42,0.8,0.0,0.72,1.58,0.31,0.01,1.9,0.11,0.08,0.19,0.0,0.17,0.26,0.31,0.01,0.58,0.27,0.34,0.61,0.0,0.55,1.32,0.0,0.0,1.32,0.22,0.02,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.91,0.92,0.0,0.0,0.0,0.01,0.91,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.48,0.91,7.39,7.52,0.0,7.52,14.0,0.91,14.91,0.72,0.0,0.72
