,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
2316,SC,45,Abbeville County,1,45001,2015,24.932,0.124,13.19,13.314,0.02,0.0,0.02,1.95,0.0,1.95,1.97,0.0,1.97,11.618,1.16,0.0,1.16,100.0,1.33,100.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.17,0.17,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,1.18,2.19,0.0,2.19,3.37,0.0,3.37,0.0,0.0,0.0
2317,SC,45,Aiken County,3,45003,2015,165.829,80.54899999999999,47.535,128.084,14.15,0.0,14.15,17.86,0.0,17.86,32.01,0.0,32.01,37.745,3.77,0.0,3.77,100.0,12.81,100.0,16.58,1.7,0.0,1.7,20.48,0.0,20.48,22.18,0.0,22.18,1.4,3.49,4.89,0.0,4.89,2.58,0.09,0.05,2.72,1.32,2.91,4.23,0.0,4.23,1.13,0.09,0.05,1.27,0.08,0.58,0.66,0.0,0.66,1.45,0.0,0.0,1.45,0.24,0.24,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.0,0.0,0.0,0.95,0.0,0.95,0.0,0.0,0.0,95.71,0.0,95.71,95.71,0.0,95.71,0.0,0.0,1.33,0.0,1.33,1997.0,0.0,0.0,0.0,95.17,0.0,95.17,95.17,0.0,95.17,0.0,0.0,0.95,0.0,0.95,1932.0,0.0,0.0,0.0,0.54,0.0,0.54,0.54,0.0,0.54,0.0,0.0,0.38,0.0,0.38,65.0,22.21,0.0,22.21,137.78,0.0,137.78,159.99,0.0,159.99,6.22,0.0,6.22
2318,SC,45,Allendale County,5,45005,2015,9.433,7.025,0.0,7.025,1.19,0.0,1.19,0.0,0.0,0.0,1.19,0.0,1.19,2.408,0.24,0.0,0.24,100.0,0.7,100.0,0.94,1.9,0.0,1.9,0.0,0.0,0.0,1.9,0.0,1.9,4.81,2.29,7.1,0.0,7.1,5.87,0.48,0.27,6.62,4.81,2.29,7.1,0.0,7.1,5.83,0.48,0.27,6.58,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.46,0.0,0.0,0.0,0.46,0.0,0.46,0.0,0.0,0.32,0.0,0.32,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.46,0.0,0.0,0.0,0.46,0.0,0.46,0.0,0.0,0.32,0.0,0.32,35.0,8.64,0.0,8.64,2.29,0.0,2.29,10.93,0.0,10.93,7.42,0.0,7.42
2319,SC,45,Anderson County,7,45007,2015,194.692,0.4,152.63,153.03,0.05,0.0,0.05,18.95,0.0,18.95,19.0,0.0,19.0,41.662,4.17,0.0,4.17,100.0,15.3,100.0,19.47,0.0,0.0,0.0,2.17,0.0,2.17,2.17,0.0,2.17,0.0,0.04,0.04,0.0,0.04,1.32,0.05,0.02,1.39,0.0,0.04,0.04,0.0,0.04,0.54,0.05,0.02,0.61,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.78,0.0,0.48,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.02,0.0,0.02,0.08,0.0,0.08,0.0,0.0,0.0,33.47,0.0,33.47,33.47,0.0,33.47,0.0,0.0,1.79,0.0,1.79,3798.0,0.0,0.0,0.0,31.35,0.0,31.35,31.35,0.0,31.35,0.0,0.0,0.31,0.0,0.31,88.0,0.0,0.0,0.0,2.12,0.0,2.12,2.12,0.0,2.12,0.0,0.0,1.48,0.0,1.48,3710.0,4.28,0.0,4.28,55.13,0.0,55.13,59.41,0.0,59.41,1.83,0.0,1.83
2320,SC,45,Bamberg County,9,45009,2015,14.88,8.582,0.0,8.582,0.92,0.0,0.92,0.0,0.0,0.0,0.92,0.0,0.92,6.297999999999999,0.63,0.0,0.63,100.0,0.86,100.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,1.56,4.49,0.0,4.49,6.83,0.55,0.3,7.68,2.93,1.56,4.49,0.0,4.49,6.61,0.55,0.3,7.46,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.22,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,0.0,4.62,1.56,0.0,1.56,6.18,0.0,6.18,4.49,0.0,4.49
2321,SC,45,Barnwell County,11,45011,2015,21.725,13.124,0.0,13.124,1.54,0.0,1.54,0.0,0.0,0.0,1.54,0.0,1.54,8.601,0.86,0.0,0.86,100.0,1.31,100.0,2.17,0.46,0.0,0.46,0.0,0.0,0.0,0.46,0.0,0.46,3.02,0.24,3.26,0.0,3.26,4.28,0.32,0.18,4.78,3.02,0.24,3.26,0.0,3.26,3.87,0.32,0.18,4.37,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.41,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03,0.0,6.03,0.24,0.0,0.24,6.27,0.0,6.27,3.26,0.0,3.26
2322,SC,45,Beaufort County,13,45013,2015,179.58900000000003,43.001999999999995,128.2,171.202,12.76,0.0,12.76,0.0,0.0,0.0,12.76,0.0,12.76,8.387,0.84,0.0,0.84,100.0,17.12,100.0,17.96,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,3.54,1.03,4.57,0.0,4.57,8.17,0.24,0.13,8.54,1.55,0.0,1.55,0.0,1.55,2.83,0.24,0.13,3.2,1.99,1.03,3.02,0.0,3.02,5.34,0.0,0.0,5.34,0.01,0.0,0.01,0.09,0.0,0.09,0.61,0.0,0.61,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.33,0.0,17.33,1.64,0.0,1.64,18.97,0.0,18.97,4.57,0.0,4.57
2323,SC,45,Berkeley County,15,45015,2015,202.78599999999997,2.0709999999999997,102.603,104.67399999999999,0.24,0.0,0.24,70.1,0.0,70.1,70.34,0.0,70.34,98.11200000000001,9.81,0.0,9.81,100.0,10.47,100.0,20.28,2.99,0.0,2.99,8.71,0.0,8.71,11.7,0.0,11.7,0.05,0.0,0.05,0.0,0.05,0.49,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.05,0.49,0.0,0.0,0.49,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.05,0.0,0.05,0.19,0.0,0.19,0.02,0.0,0.02,421.83,0.0,421.83,421.85,0.0,421.85,0.0,0.0,19.81,0.0,19.81,12650.0,0.0,0.0,0.0,399.26,0.0,399.26,399.26,0.0,399.26,0.0,0.0,4.0,0.0,4.0,3728.0,0.02,0.0,0.02,22.57,0.0,22.57,22.59,0.0,22.59,0.0,0.0,15.81,0.0,15.81,8922.0,13.28,0.0,13.28,500.69,0.0,500.69,513.97,0.0,513.97,19.86,0.0,19.86
2324,SC,45,Calhoun County,17,45017,2015,14.780999999999999,5.6979999999999995,0.0,5.6979999999999995,1.11,0.0,1.11,0.0,0.0,0.0,1.11,0.0,1.11,9.083,0.91,0.0,0.91,100.0,0.57,100.0,1.48,0.0,0.0,0.0,55.18,0.0,55.18,55.18,0.0,55.18,10.98,0.17,11.15,0.0,11.15,13.57,1.11,0.61,15.29,10.95,0.17,11.12,0.0,11.12,13.29,1.11,0.61,15.01,0.03,0.0,0.03,0.0,0.03,0.28,0.0,0.0,0.28,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.57,0.57,0.0,0.57,0.0,0.0,0.4,0.0,0.4,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.57,0.57,0.0,0.57,0.0,0.0,0.4,0.0,0.4,750.0,13.15,0.0,13.15,55.92,0.0,55.92,69.07,0.0,69.07,11.55,0.0,11.55
2325,SC,45,Charleston County,19,45019,2015,389.26199999999994,38.9,288.11,327.01,4.52,0.0,4.52,0.0,0.0,0.0,4.52,0.0,4.52,62.251999999999995,6.23,0.0,6.23,100.0,32.7,100.0,38.93,0.15,0.0,0.15,3.53,0.0,3.53,3.68,0.0,3.68,1.05,0.01,1.06,0.0,1.06,1.86,0.0,0.0,1.86,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,1.05,0.0,1.05,0.0,1.05,1.86,0.0,0.0,1.86,0.04,0.0,0.04,0.13,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53,0.0,3.53,3.53,0.0,3.53,0.0,0.0,2.47,0.0,2.47,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53,0.0,3.53,3.53,0.0,3.53,0.0,0.0,2.47,0.0,2.47,536.0,12.12,0.0,12.12,7.07,0.0,7.07,19.19,0.0,19.19,3.53,0.0,3.53
