,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
2428,TN,47,Anderson County,1,47001,2015,75.749,2.193,68.756,70.949,0.21,0.0,0.21,10.48,0.0,10.48,10.69,0.0,10.69,4.8,0.35,0.0,0.35,73.0,5.75,81.0,6.1,0.0,0.0,0.0,0.32,0.0,0.32,0.32,0.0,0.32,0.02,0.0,0.02,0.0,0.02,0.06,0.0,0.0,0.06,0.02,0.0,0.02,0.0,0.02,0.06,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.04,0.0,0.04,0.05,0.0,0.05,0.0,0.0,0.0,192.22,0.0,192.22,192.22,0.0,192.22,0.0,0.0,1.76,0.0,1.76,2487.21,0.0,0.0,0.0,192.22,0.0,192.22,192.22,0.0,192.22,0.0,0.0,1.76,0.0,1.76,2487.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.59,203.14,0.0,203.14,203.73,0.0,203.73,1.78,0.0,1.78
2429,TN,47,Bedford County,3,47003,2015,47.183,0.0,46.277,46.277,0.0,0.0,0.0,6.03,0.0,6.03,6.03,0.0,6.03,0.9059999999999999,0.07,0.0,0.07,77.0,3.75,81.0,3.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.14,0.48,0.0,0.0,0.48,0.17,0.0,0.17,0.0,0.14,0.48,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.32,0.84,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.03,0.0,0.03,0.03,0.0,0.03,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.79,6.39,0.0,6.39,7.18,0.0,7.18,0.14,0.0,0.14
2430,TN,47,Benton County,5,47005,2015,16.129,1.544,8.326,9.87,0.12,0.0,0.12,1.13,0.0,1.13,1.25,0.0,1.25,6.2589999999999995,0.45,0.0,0.45,72.0,0.8,81.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,2.05,3.12,0.0,3.12,5.17,0.0,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,0.0,2.73,4.25,0.0,4.25,6.98,0.0,6.98,0.0,0.0,0.0
2431,TN,47,Bledsoe County,7,47007,2015,14.502,4.658,0.05,4.708,1.66,0.0,1.66,0.53,0.0,0.53,2.19,0.0,2.19,9.794,0.71,0.0,0.71,72.0,0.38,81.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.24,0.19,0.64,0.0,0.83,0.3,0.0,0.3,0.0,0.24,0.19,0.64,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,2.67,0.85,0.0,0.85,3.52,0.0,3.52,0.24,0.0,0.24
2432,TN,47,Blount County,9,47009,2015,127.25299999999999,0.0,111.565,111.565,0.18,0.0,0.18,13.76,0.0,13.76,13.94,0.0,13.94,15.687999999999999,1.13,0.0,1.13,72.0,9.04,81.0,10.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.07,0.31,0.0,0.24,0.67,0.0,0.0,0.67,0.15,0.07,0.22,0.0,0.17,0.6,0.0,0.0,0.6,0.09,0.0,0.09,0.0,0.07,0.07,0.0,0.0,0.07,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.05,0.0,0.05,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,1.88,13.88,0.0,13.88,15.76,0.0,15.76,0.24,0.0,0.24
2433,TN,47,Bradley County,11,47011,2015,104.09100000000001,94.305,0.092,94.397,2.21,0.0,2.21,11.53,0.0,11.53,13.74,0.0,13.74,9.693999999999999,0.7,0.0,0.7,72.0,7.65,81.0,8.35,1.09,0.0,1.09,3.07,0.0,3.07,4.16,0.0,4.16,0.04,0.01,0.05,0.0,0.04,0.13,0.0,0.0,0.13,0.04,0.01,0.05,0.0,0.04,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.47,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.04,0.0,0.04,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24,0.0,4.24,15.12,0.0,15.12,19.36,0.0,19.36,0.04,0.0,0.04
2434,TN,47,Campbell County,13,47013,2015,39.751999999999995,9.692,25.557,35.249,0.62,0.0,0.62,2.71,0.0,2.71,3.33,0.0,3.33,4.503,0.32,0.0,0.32,71.0,2.86,81.0,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.03,0.05,0.05,0.0,0.1,0.03,0.0,0.03,0.0,0.03,0.05,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.04,0.0,0.04,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,1.03,2.8,0.0,2.8,3.83,0.0,3.83,0.03,0.0,0.03
2435,TN,47,Cannon County,15,47015,2015,13.84,0.0,9.039,9.039,0.0,0.0,0.0,0.68,0.0,0.68,0.68,0.0,0.68,4.801,0.35,0.0,0.35,73.0,0.73,81.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.02,0.07,0.0,0.0,0.07,0.03,0.0,0.03,0.0,0.02,0.07,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.01,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.57,0.7,0.0,0.7,1.27,0.0,1.27,0.02,0.0,0.02
2436,TN,47,Carroll County,17,47017,2015,27.91,16.724,0.0,16.724,2.48,0.0,2.48,0.0,0.0,0.0,2.48,0.0,2.48,11.186,0.81,0.0,0.81,72.0,1.35,81.0,2.16,1.01,0.0,1.01,0.0,0.0,0.0,1.01,0.0,1.01,0.35,0.35,0.7,0.0,0.56,1.78,0.0,0.21,1.99,0.35,0.35,0.7,0.0,0.56,1.78,0.0,0.21,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.55,0.62,0.0,0.62,1.17,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,5.3,0.97,0.0,0.97,6.27,0.0,6.27,0.56,0.0,0.56
2437,TN,47,Carter County,19,47019,2015,56.486000000000004,41.913000000000004,0.0,41.913000000000004,5.98,0.0,5.98,1.09,0.0,1.09,7.07,0.0,7.07,14.573,1.05,0.0,1.05,72.0,3.39,81.0,4.44,0.14,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.14,0.01,0.0,0.01,0.0,0.01,0.02,0.0,0.0,0.02,0.01,0.0,0.01,0.0,0.01,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.12,0.14,0.0,0.0,0.0,10.37,0.0,10.37,10.37,0.0,10.37,0.02,0.0,0.02,0.03,0.0,0.03,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.22,0.0,7.22,11.61,0.0,11.61,18.83,0.0,18.83,0.01,0.0,0.01
