,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
2523,TX,48,Anderson County,1,48001,2015,57.58,0.0,0.0,44.369,6.28,0.0,6.28,2.78,0.0,2.78,9.06,0.0,9.06,13.210999999999999,1.37,0.0,1.37,104.0,2.75,62.0,4.12,0.65,0.0,0.65,0.0,0.0,0.0,0.65,0.0,0.65,0.32,0.29,0.61,0.0,0.36,0.99,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.91,0.96,0.11,0.0,0.11,0.11,0.0,0.11,0.22,0.0,0.22,0.0,1.77,1.77,0.0,0.0,0.0,0.0,1.77,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.78,1.77,10.55,4.09,0.0,4.09,12.87,1.77,14.64,0.36,0.0,0.36
2524,TX,48,Andrews County,3,48003,2015,18.105,0.0,0.0,13.126,2.36,0.0,2.36,0.0,0.0,0.0,2.36,0.0,2.36,4.979,0.52,0.0,0.52,104.0,1.38,105.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.05,0.0,13.05,0.0,9.78,16.16,0.16,0.0,16.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,54.15,55.41,0.0,0.0,0.0,1.26,54.15,55.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.36,54.15,71.51,0.0,0.0,0.0,17.36,54.15,71.51,9.78,0.0,9.78
2525,TX,48,Angelina County,5,48005,2015,88.255,0.0,0.0,87.92,11.14,0.0,11.14,0.16,0.0,0.16,11.3,0.0,11.3,0.335,0.03,0.0,0.03,90.0,5.45,62.0,5.48,0.76,0.0,0.76,1.65,0.0,1.65,2.41,0.0,2.41,0.0,0.1,0.1,0.0,0.06,0.22,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.78,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.12,0.14,0.01,0.0,0.01,0.03,0.12,0.15,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,7.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,7.22,12.05,0.12,12.17,2.7,0.0,2.7,14.75,0.12,14.87,0.07,0.0,0.07
2526,TX,48,Aransas County,7,48007,2015,25.35,0.0,0.0,24.389,0.17,0.04,0.21,0.0,0.0,0.0,0.17,0.04,0.21,0.961,0.1,0.0,0.1,104.0,1.71,70.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.4,0.01,0.0,0.01,0.31,0.1,0.41,0.0,0.0,0.0
2527,TX,48,Archer County,9,48009,2015,8.715,0.0,0.0,8.2,0.0,0.0,0.0,4.59,0.0,4.59,4.59,0.0,4.59,0.515,0.05,0.0,0.05,97.0,0.55,67.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,1.26,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,0.0,0.0,0.0,0.0,2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,2.2,2.57,5.85,0.0,5.85,6.22,2.2,8.42,0.0,0.0,0.0
2528,TX,48,Armstrong County,11,48011,2015,1.9469999999999998,0.0,0.0,1.475,0.23,0.0,0.23,0.0,0.0,0.0,0.23,0.0,0.23,0.47200000000000003,0.05,0.0,0.05,106.0,0.13,88.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,3.12,3.15,1.85,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.03,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51,0.0,4.51,0.03,0.0,0.03,4.54,0.0,4.54,3.12,0.0,3.12
2529,TX,48,Atascosa County,13,48013,2015,48.435,0.0,0.0,45.817,5.34,0.0,5.34,0.0,0.0,0.0,5.34,0.0,5.34,2.6180000000000003,0.27,0.0,0.27,103.0,3.8,83.0,4.07,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,19.59,0.0,19.59,0.0,16.65,23.29,0.0,0.0,23.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.25,1.26,0.01,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.02,2.34,2.84,5.18,0.25,0.0,0.25,2.59,2.84,5.43,4.25,0.0,4.25,0.0,0.0,0.0,4.25,0.0,4.25,0.0,0.0,3.03,0.0,3.03,2169.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,0.0,4.25,0.0,0.0,0.0,4.25,0.0,4.25,0.0,0.0,3.03,0.0,3.03,2169.63,32.84,2.84,35.68,0.51,0.0,0.51,33.35,2.84,36.19,19.68,0.0,19.68
2530,TX,48,Austin County,15,48015,2015,29.563000000000002,0.0,0.0,17.099,1.97,0.06,2.03,0.0,0.0,0.0,1.97,0.06,2.03,12.464,1.3,0.0,1.3,104.0,1.49,87.0,2.79,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,4.42,0.0,4.42,0.0,2.87,0.8,0.03,2.02,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.75,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.54,0.2,0.0,0.2,0.2,0.54,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.02,0.6,8.62,0.95,0.0,0.95,8.97,0.6,9.57,2.87,0.0,2.87
2531,TX,48,Bailey County,17,48017,2015,7.21,0.0,0.0,5.716,6.18,0.0,6.18,0.0,0.0,0.0,6.18,0.0,6.18,1.494,0.16,0.0,0.16,107.0,0.57,100.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.06,0.0,49.06,0.13,38.37,75.21,4.8,0.0,80.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.31,3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.15,0.0,58.15,0.31,0.0,0.31,58.46,0.0,58.46,38.37,0.0,38.37
2532,TX,48,Bandera County,19,48019,2015,21.269000000000002,0.0,0.0,10.127,0.63,0.0,0.63,0.0,0.0,0.0,0.63,0.0,0.63,11.142000000000001,1.16,0.0,1.16,104.0,0.74,73.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.01,0.53,0.0,0.4,0.31,0.13,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.05,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,0.0,2.46,0.06,0.0,0.06,2.52,0.0,2.52,0.4,0.0,0.4
