,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
2777,UT,49,Beaver County,1,49001,2015,6.354,0.0,0.0,6.081,2.13,0.0,2.13,0.0,0.0,0.0,2.13,0.0,2.13,0.273,0.05,0.0,0.05,183.0,1.03,169.0,1.08,2.62,0.0,2.62,0.0,0.0,0.0,2.62,0.0,2.62,50.18,34.6,84.78,0.0,61.32,24.46,0.0,8.21,32.67,50.1,34.48,84.58,0.0,61.22,24.41,0.0,8.21,32.62,0.08,0.12,0.2,0.0,0.1,0.05,0.0,0.0,0.05,1.85,0.8,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.95,6.19,16.14,0.0,0.0,0.0,9.95,6.19,16.14,0.0,0.0,6.96,0.87,7.83,323.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.95,6.19,16.14,0.0,0.0,0.0,9.95,6.19,16.14,0.0,0.0,6.96,0.87,7.83,323.68,66.78,6.19,72.97,35.4,0.0,35.4,102.18,6.19,108.37,68.28,0.87,69.15
2778,UT,49,Box Elder County,3,49003,2015,52.097,0.0,0.0,49.232,13.27,0.0,13.27,0.0,0.0,0.0,13.27,0.0,13.27,2.865,0.48,0.0,0.48,168.0,9.4,191.0,9.88,0.92,0.03,0.95,0.0,0.0,0.0,0.92,0.03,0.95,37.9,372.46,410.36,0.0,270.59,44.31,0.3,101.37,145.98,37.9,371.7,409.6,0.0,270.21,44.08,0.3,101.37,145.75,0.0,0.76,0.76,0.0,0.38,0.23,0.0,0.0,0.23,0.41,0.97,1.38,3.55,0.0,3.55,0.0,0.0,0.0,3.55,0.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.53,0.03,56.56,373.43,0.0,373.43,429.96,0.03,429.99,270.59,0.0,270.59
2779,UT,49,Cache County,5,49005,2015,120.78299999999999,0.0,0.0,117.916,26.54,0.0,26.54,0.0,0.0,0.0,26.54,0.0,26.54,2.867,0.48,0.0,0.48,167.0,18.7,159.0,19.18,0.46,0.0,0.46,0.0,0.0,0.0,0.46,0.0,0.46,12.6,110.41,123.01,1.16,71.33,65.94,0.01,38.04,103.99,12.5,109.38,121.88,1.16,70.77,65.58,0.01,38.04,103.63,0.1,1.03,1.13,0.0,0.56,0.36,0.0,0.0,0.36,0.33,0.77,1.1,15.85,0.0,15.85,0.0,0.0,0.0,15.85,0.0,15.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.26,0.0,56.26,111.18,0.0,111.18,167.44,0.0,167.44,71.33,0.0,71.33
2780,UT,49,Carbon County,7,49007,2015,20.479,0.0,0.0,20.195,3.29,0.0,3.29,2.12,0.0,2.12,5.41,0.0,5.41,0.284,0.05,0.0,0.05,176.0,3.29,163.0,3.34,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.09,37.57,37.66,0.0,24.52,6.35,0.0,5.27,11.62,0.09,37.23,37.32,0.0,24.35,6.25,0.0,5.27,11.52,0.0,0.34,0.34,0.0,0.17,0.1,0.0,0.0,0.1,0.04,0.13,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.01,0.0,0.01,0.05,0.04,0.09,0.77,0.0,0.77,0.8,0.0,0.8,1.57,0.0,1.57,0.0,0.2,1.24,0.0,1.24,812.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.77,0.8,0.0,0.8,1.57,0.0,1.57,0.0,0.2,1.24,0.0,1.24,812.03,4.28,0.04,4.32,40.64,0.0,40.64,44.92,0.04,44.96,25.76,0.0,25.76
2781,UT,49,Daggett County,9,49009,2015,1.109,0.0,0.0,0.5479999999999999,0.47,0.0,0.47,0.08,0.0,0.08,0.55,0.0,0.55,0.561,0.09,0.0,0.09,160.0,0.41,748.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,19.36,19.45,0.0,13.44,5.87,0.0,5.92,11.79,0.09,19.36,19.45,0.0,13.44,5.87,0.0,5.92,11.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.65,19.47,0.0,19.47,20.12,0.0,20.12,13.44,0.0,13.44
2782,UT,49,Davis County,11,49011,2015,336.043,0.0,0.0,334.15,24.1,0.0,24.1,0.96,0.0,0.96,25.06,0.0,25.06,1.893,0.32,0.0,0.32,169.0,96.99,290.0,97.31,1.97,0.0,1.97,0.0,0.0,0.0,1.97,0.0,1.97,2.02,42.51,44.53,0.63,32.31,3.94,0.0,13.16,17.1,1.61,38.54,40.15,0.63,30.12,2.57,0.0,13.16,15.73,0.41,3.97,4.38,0.0,2.19,1.37,0.0,0.0,1.37,0.02,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.43,0.0,28.43,43.51,0.0,43.51,71.94,0.0,71.94,32.31,0.0,32.31
2783,UT,49,Duchesne County,13,49013,2015,20.862,0.0,0.0,20.734,1.9,0.0,1.9,2.47,0.0,2.47,4.37,0.0,4.37,0.128,0.02,0.0,0.02,156.0,2.68,129.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,306.94,307.07,0.5,197.04,65.35,0.0,48.87,114.22,0.09,306.52,306.61,0.5,196.81,65.23,0.0,48.87,114.1,0.04,0.42,0.46,0.0,0.23,0.12,0.0,0.0,0.12,0.04,0.65,0.69,1.16,0.0,1.16,0.0,0.0,0.0,1.16,0.0,1.16,0.0,2.4,2.4,0.81,0.0,0.81,0.81,2.4,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,2.4,5.65,310.87,0.0,310.87,314.12,2.4,316.52,197.04,0.0,197.04
2784,UT,49,Emery County,15,49015,2015,10.37,0.0,0.0,9.51,0.82,0.0,0.82,0.92,0.0,0.92,1.74,0.0,1.74,0.86,0.15,0.0,0.15,174.0,4.71,495.0,4.86,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.09,126.97,127.06,0.0,89.98,24.4,0.0,30.15,54.55,0.09,126.56,126.65,0.0,89.78,24.3,0.0,30.15,54.45,0.0,0.41,0.41,0.0,0.2,0.1,0.0,0.0,0.1,0.01,0.32,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.0,0.0,0.0,0.45,0.0,0.45,0.02,0.0,0.02,23.55,0.0,23.55,23.57,0.0,23.57,0.0,0.0,16.49,0.0,16.49,15618.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,23.55,0.0,23.55,23.57,0.0,23.57,0.0,0.0,16.49,0.0,16.49,15618.74,1.56,0.0,1.56,151.76,0.0,151.76,153.32,0.0,153.32,106.47,0.0,106.47
2785,UT,49,Garfield County,17,49017,2015,5.0089999999999995,0.0,0.0,4.184,1.46,0.0,1.46,0.0,0.0,0.0,1.46,0.0,1.46,0.825,0.14,0.0,0.14,170.0,1.56,373.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,52.78,53.74,0.0,40.82,16.34,0.0,13.98,30.32,0.89,52.78,53.67,0.0,40.79,16.32,0.0,13.98,30.3,0.07,0.0,0.07,0.0,0.03,0.02,0.0,0.0,0.02,0.03,0.2,0.23,1.83,0.0,1.83,0.0,0.0,0.0,1.83,0.0,1.83,0.0,1.16,1.16,0.0,0.0,0.0,0.0,1.16,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.42,1.16,5.58,52.98,0.0,52.98,57.4,1.16,58.56,40.82,0.0,40.82
2786,UT,49,Grand County,19,49019,2015,9.516,0.0,0.0,9.235,2.74,0.0,2.74,0.0,0.0,0.0,2.74,0.0,2.74,0.281,0.05,0.0,0.05,178.0,2.07,224.0,2.12,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.14,0.49,18.52,19.01,0.0,13.91,4.99,0.0,2.55,7.54,0.45,18.17,18.62,0.0,13.71,4.9,0.0,2.55,7.45,0.04,0.35,0.39,0.0,0.2,0.09,0.0,0.0,0.09,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.98,0.98,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28,0.0,3.28,19.69,0.0,19.69,22.97,0.0,22.97,13.91,0.0,13.91
