,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
2820,VA,51,Accomack County,1,51001,2015,32.973,11.394,0.0,11.394,0.88,0.0,0.88,0.0,0.0,0.0,0.88,0.0,0.88,21.579,1.73,0.0,1.73,80.0,0.91,80.0,2.64,3.86,0.0,3.86,0.0,0.0,0.0,3.86,0.0,3.86,1.07,9.63,10.7,0.0,9.09,2.92,2.67,0.0,5.59,1.07,9.57,10.64,0.0,9.04,2.7,2.67,0.0,5.37,0.0,0.06,0.06,0.0,0.05,0.22,0.0,0.0,0.22,0.41,0.02,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.95,0.0,7.95,9.69,0.0,9.69,17.64,0.0,17.64,9.09,0.0,9.09
2821,VA,51,Albemarle County,3,51003,2015,105.70299999999999,0.0,70.928,70.928,0.06,0.0,0.06,13.23,0.0,13.23,13.29,0.0,13.29,34.775,2.78,0.0,2.78,80.0,5.67,80.0,8.45,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.1,0.83,0.93,0.0,0.79,1.03,1.18,0.0,2.21,0.0,0.44,0.44,0.0,0.37,0.27,1.18,0.0,1.45,0.1,0.39,0.49,0.0,0.42,0.76,0.0,0.0,0.76,0.04,0.31,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.13,0.0,0.13,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,0.0,3.04,14.5,0.0,14.5,17.54,0.0,17.54,0.79,0.0,0.79
2822,VA,51,Alleghany County,5,51005,2015,15.677,0.092,12.489,12.581,0.0,0.0,0.0,0.91,0.0,0.91,0.91,0.0,0.91,3.096,0.25,0.0,0.25,81.0,1.01,80.0,1.26,0.3,0.0,0.3,39.9,0.0,39.9,40.2,0.0,40.2,0.03,0.08,0.11,0.0,0.09,0.23,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.03,0.08,0.11,0.0,0.09,0.22,0.0,0.0,0.22,0.01,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.59,40.94,0.0,40.94,41.53,0.0,41.53,0.09,0.0,0.09
2823,VA,51,Amelia County,7,51007,2015,12.902999999999999,3.1,0.0,3.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,9.802999999999999,0.78,0.0,0.78,80.0,0.25,81.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.13,0.14,0.0,0.12,0.43,0.0,0.0,0.43,0.01,0.11,0.12,0.0,0.1,0.38,0.0,0.0,0.38,0.0,0.02,0.02,0.0,0.02,0.05,0.0,0.0,0.05,0.15,0.22,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,1.04,0.35,0.0,0.35,1.39,0.0,1.39,0.12,0.0,0.12
2824,VA,51,Amherst County,9,51009,2015,31.914,0.168,18.617,18.785,0.0,0.0,0.0,12.03,0.0,12.03,12.03,0.0,12.03,13.129000000000001,1.05,0.0,1.05,80.0,1.5,80.0,2.55,0.0,0.0,0.0,5.57,0.0,5.57,5.57,0.0,5.57,0.0,0.09,0.09,0.0,0.08,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.08,0.33,0.0,0.0,0.33,0.03,0.2,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.1,17.89,0.0,17.89,18.99,0.0,18.99,0.08,0.0,0.08
2825,VA,51,Appomattox County,11,51011,2015,15.414000000000001,0.23600000000000002,1.761,1.9969999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.417,1.07,0.0,1.07,80.0,0.16,80.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.1,0.23,0.04,0.0,0.27,0.0,0.03,0.03,0.0,0.03,0.07,0.04,0.0,0.11,0.0,0.08,0.08,0.0,0.07,0.16,0.0,0.0,0.16,0.02,0.24,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,1.09,0.37,0.0,0.37,1.46,0.0,1.46,0.1,0.0,0.1
2826,VA,51,Arlington County,13,51013,2015,229.16400000000002,0.0,229.16400000000002,229.16400000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18.33,80.0,18.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.13,0.0,0.11,0.49,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.13,0.0,0.11,0.49,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.1,0.0,0.1,0.13,0.0,0.13,0.11,0.0,0.11
2827,VA,51,Augusta County,15,51015,2015,74.314,9.87,30.211,40.080999999999996,2.81,0.0,2.81,4.69,0.0,4.69,7.5,0.0,7.5,34.233000000000004,2.74,0.0,2.74,80.0,3.21,80.0,5.95,0.67,0.0,0.67,0.0,0.0,0.0,0.67,0.0,0.67,0.1,1.08,1.18,0.0,1.0,3.38,0.0,0.0,3.38,0.08,1.06,1.14,0.0,0.97,3.27,0.0,0.0,3.27,0.02,0.02,0.04,0.0,0.03,0.11,0.0,0.0,0.11,0.46,1.28,1.74,0.0,0.0,0.0,1.8,0.0,1.8,1.8,0.0,1.8,0.0,0.0,0.0,0.49,0.0,0.49,0.49,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78,0.0,6.78,9.34,0.0,9.34,16.12,0.0,16.12,1.0,0.0,1.0
2828,VA,51,Bath County,17,51017,2015,4.47,4.013999999999999,0.0,4.013999999999999,0.18,0.0,0.18,0.11,0.0,0.11,0.29,0.0,0.29,0.456,0.04,0.0,0.04,88.0,0.32,80.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.14,0.35,0.0,0.0,0.35,0.0,0.01,0.01,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.16,0.16,0.0,0.14,0.33,0.0,0.0,0.33,0.08,0.0,0.08,0.0,0.0,0.0,13.34,0.0,13.34,13.34,0.0,13.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,13.62,0.0,13.62,13.92,0.0,13.92,0.14,0.0,0.14
2829,VA,51,Bedford County,19,51019,2015,77.72399999999999,2.5639999999999996,29.201999999999998,31.766,0.02,0.0,0.02,1.52,0.0,1.52,1.54,0.0,1.54,45.958,3.68,0.0,3.68,80.0,2.54,80.0,6.22,0.0,0.0,0.0,14.24,0.0,14.24,14.24,0.0,14.24,0.05,0.13,0.18,0.0,0.16,0.95,0.02,0.0,0.97,0.0,0.03,0.03,0.0,0.03,0.08,0.02,0.0,0.1,0.05,0.1,0.15,0.0,0.13,0.87,0.0,0.0,0.87,0.03,0.63,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.0,1.95,0.08,0.0,0.08,2.03,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73,0.0,5.73,16.6,0.0,16.6,22.33,0.0,22.33,0.16,0.0,0.16
