,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
2806,VT,50,Addison County,1,50001,2015,37.035,9.481,3.846,13.327,1.75,0.0,1.75,1.7,0.0,1.7,3.45,0.0,3.45,23.708000000000002,1.07,0.0,1.07,45.0,0.6,45.0,1.67,0.23,0.0,0.23,0.2,0.0,0.2,0.43,0.0,0.43,0.05,0.14,0.19,0.0,0.18,0.23,0.14,0.06,0.43,0.05,0.08,0.13,0.0,0.12,0.13,0.14,0.06,0.33,0.0,0.06,0.06,0.0,0.06,0.1,0.0,0.0,0.1,1.1,0.36,1.46,0.98,0.0,0.98,0.0,0.0,0.0,0.98,0.0,0.98,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,0.0,5.18,2.66,0.0,2.66,7.84,0.0,7.84,0.18,0.0,0.18
2807,VT,50,Bennington County,3,50003,2015,36.317,8.49,16.67,25.16,0.98,0.0,0.98,2.32,0.0,2.32,3.3,0.0,3.3,11.157,0.52,0.0,0.52,47.0,1.17,47.0,1.69,0.06,0.0,0.06,0.4,0.0,0.4,0.46,0.0,0.46,0.16,0.22,0.38,0.0,0.37,0.52,0.14,0.05,0.71,0.05,0.08,0.13,0.0,0.13,0.14,0.14,0.05,0.33,0.11,0.14,0.25,0.0,0.24,0.38,0.0,0.0,0.38,0.06,0.02,0.08,0.88,0.0,0.88,1.32,0.0,1.32,2.2,0.0,2.2,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66,0.0,2.66,4.45,0.0,4.45,7.11,0.0,7.11,0.37,0.0,0.37
2808,VT,50,Caledonia County,5,50005,2015,30.78,9.607000000000001,5.83,15.437000000000001,0.87,0.0,0.87,0.9,0.0,0.9,1.77,0.0,1.77,15.343,0.65,0.0,0.65,42.0,0.65,42.0,1.3,0.04,0.0,0.04,0.39,0.0,0.39,0.43,0.0,0.43,0.04,0.04,0.08,0.0,0.06,0.12,0.04,0.04,0.2,0.02,0.02,0.04,0.0,0.03,0.04,0.04,0.04,0.12,0.02,0.02,0.04,0.0,0.03,0.08,0.0,0.0,0.08,0.24,0.07,0.31,0.01,0.0,0.01,1.44,0.0,1.44,1.45,0.0,1.45,0.01,0.0,0.01,0.12,0.0,0.12,0.13,0.0,0.13,0.01,0.0,0.01,0.26,0.0,0.26,0.27,0.0,0.27,0.0,0.0,0.21,0.0,0.21,154.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.26,0.0,0.26,0.27,0.0,0.27,0.0,0.0,0.21,0.0,0.21,154.63,1.87,0.0,1.87,3.22,0.0,3.22,5.09,0.0,5.09,0.27,0.0,0.27
2809,VT,50,Chittenden County,7,50007,2015,161.382,8.654,122.015,130.66899999999998,0.47,0.0,0.47,13.42,0.0,13.42,13.89,0.0,13.89,30.713,1.26,0.0,1.26,41.0,5.37,41.0,6.63,0.06,0.0,0.06,1.2,0.0,1.2,1.26,0.0,1.26,0.17,0.28,0.45,0.0,0.42,0.83,0.21,0.09,1.13,0.04,0.07,0.11,0.0,0.1,0.21,0.21,0.09,0.51,0.13,0.21,0.34,0.0,0.32,0.62,0.0,0.0,0.62,0.17,0.06,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.45,0.0,0.45,0.53,0.0,0.53,0.0,0.0,0.0,0.53,0.0,0.53,0.0,0.0,0.42,0.0,0.42,290.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.53,0.0,0.0,0.0,0.53,0.0,0.53,0.0,0.0,0.42,0.0,0.42,290.37,2.66,0.0,2.66,15.41,0.0,15.41,18.07,0.0,18.07,0.84,0.0,0.84
2810,VT,50,Essex County,9,50009,2015,6.162999999999999,1.982,1.186,3.168,0.15,0.0,0.15,0.1,0.0,0.1,0.25,0.0,0.25,2.995,0.21,0.0,0.21,70.0,0.23,73.0,0.44,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.26,0.0,0.26,0.68,0.0,0.68,0.0,0.0,0.0
2811,VT,50,Franklin County,11,50011,2015,48.799,6.8020000000000005,14.642000000000001,21.444000000000003,0.47,0.0,0.47,2.53,0.0,2.53,3.0,0.0,3.0,27.355,1.54,0.0,1.54,56.0,1.21,56.0,2.75,0.04,0.0,0.04,0.64,0.0,0.64,0.68,0.0,0.68,0.1,0.16,0.26,0.0,0.24,0.43,0.25,0.08,0.76,0.05,0.11,0.16,0.0,0.15,0.25,0.25,0.08,0.58,0.05,0.05,0.1,0.0,0.09,0.18,0.0,0.0,0.18,1.08,0.35,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.0,3.23,3.83,0.0,3.83,7.06,0.0,7.06,0.24,0.0,0.24
2812,VT,50,Grand Isle County,13,50013,2015,6.861000000000001,0.0,4.5569999999999995,4.5569999999999995,0.03,0.0,0.03,0.47,0.0,0.47,0.5,0.0,0.5,2.3040000000000003,0.1,0.0,0.1,43.0,0.2,44.0,0.3,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.09,0.1,0.0,0.1,0.18,0.02,0.02,0.22,0.01,0.01,0.02,0.0,0.02,0.02,0.02,0.02,0.06,0.0,0.08,0.08,0.0,0.08,0.16,0.0,0.0,0.16,0.11,0.04,0.15,0.0,0.0,0.0,4.5,0.0,4.5,4.5,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,5.11,0.0,5.11,5.36,0.0,5.36,0.1,0.0,0.1
2813,VT,50,Lamoille County,15,50015,2015,25.235,10.165,3.0460000000000003,13.210999999999999,1.2,0.0,1.2,0.09,0.0,0.09,1.29,0.0,1.29,12.024000000000001,0.46,0.0,0.46,38.0,0.5,38.0,0.96,0.11,0.0,0.11,0.01,0.0,0.01,0.12,0.0,0.12,0.03,0.1,0.13,0.0,0.12,0.24,0.04,0.02,0.3,0.01,0.01,0.02,0.0,0.01,0.04,0.04,0.02,0.1,0.02,0.09,0.11,0.0,0.11,0.2,0.0,0.0,0.2,0.09,0.03,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,1.89,0.5,0.0,0.5,2.39,0.0,2.39,0.12,0.0,0.12
2814,VT,50,Orange County,17,50017,2015,28.899,9.966000000000001,0.0,9.966000000000001,0.84,0.0,0.84,1.32,0.0,1.32,2.16,0.0,2.16,18.933,1.01,0.0,1.01,53.0,0.53,53.0,1.54,0.02,0.0,0.02,0.05,0.0,0.05,0.07,0.0,0.07,0.05,0.06,0.11,0.0,0.1,0.19,0.09,0.04,0.32,0.02,0.03,0.05,0.0,0.04,0.07,0.09,0.04,0.2,0.03,0.03,0.06,0.0,0.06,0.12,0.0,0.0,0.12,0.29,0.11,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,0.0,2.21,1.58,0.0,1.58,3.79,0.0,3.79,0.1,0.0,0.1
2815,VT,50,Orleans County,19,50019,2015,27.1,11.52,2.444,13.964,1.28,0.0,1.28,0.35,0.0,0.35,1.63,0.0,1.63,13.136,0.56,0.0,0.56,43.0,0.59,42.0,1.15,0.07,0.0,0.07,0.62,0.0,0.62,0.69,0.0,0.69,0.05,0.12,0.17,0.0,0.15,0.34,0.07,0.04,0.45,0.02,0.03,0.05,0.0,0.04,0.07,0.07,0.04,0.18,0.03,0.09,0.12,0.0,0.11,0.27,0.0,0.0,0.27,0.63,0.21,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.0,2.59,1.57,0.0,1.57,4.16,0.0,4.16,0.15,0.0,0.15
