,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
2953,WA,53,Adams County,1,53001,2015,19.254,0.0,0.0,13.925999999999998,5.58,0.0,5.58,0.0,0.0,0.0,5.58,0.0,5.58,5.327999999999999,0.6,0.0,0.6,113.0,1.57,113.0,2.17,3.52,0.0,3.52,0.0,0.0,0.0,3.52,0.0,3.52,75.15,80.2,155.35,0.0,122.46,102.43,4.2,22.6,129.23,75.0,80.2,155.2,0.0,122.34,102.35,4.2,22.6,129.15,0.15,0.0,0.15,0.0,0.12,0.08,0.0,0.0,0.08,1.04,0.01,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.89,0.0,85.89,80.21,0.0,80.21,166.1,0.0,166.1,122.46,0.0,122.46
2954,WA,53,Asotin County,3,53003,2015,22.105,0.0,0.0,20.389,5.21,0.0,5.21,0.0,0.0,0.0,5.21,0.0,5.21,1.716,0.22,0.0,0.22,128.0,2.61,128.0,2.83,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.0,0.03,0.18,0.21,0.39,0.0,0.31,0.6,0.01,0.0,0.61,0.06,0.21,0.27,0.0,0.21,0.47,0.01,0.0,0.48,0.12,0.0,0.12,0.0,0.1,0.13,0.0,0.0,0.13,0.1,0.04,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71,0.0,5.71,0.28,0.0,0.28,5.99,0.0,5.99,0.31,0.0,0.31
2955,WA,53,Benton County,5,53005,2015,190.30900000000003,0.0,0.0,162.332,10.69,0.0,10.69,23.79,0.0,23.79,34.48,0.0,34.48,27.976999999999997,3.61,0.0,3.61,129.0,20.98,129.0,24.59,6.36,0.0,6.36,43.57,0.0,43.57,49.93,0.0,49.93,42.14,205.18,247.32,0.0,196.71,150.55,6.05,14.3,170.9,42.0,204.88,246.88,0.0,196.36,150.35,6.05,14.3,170.7,0.14,0.3,0.44,0.0,0.35,0.2,0.0,0.0,0.2,1.24,0.13,1.37,0.09,0.0,0.09,0.04,0.0,0.04,0.13,0.0,0.13,0.07,0.0,0.07,0.01,0.0,0.01,0.08,0.0,0.08,0.0,0.0,0.0,19.45,0.0,19.45,19.45,0.0,19.45,0.0,0.0,16.56,0.0,16.56,8160.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.45,0.0,19.45,19.45,0.0,19.45,0.0,0.0,16.56,0.0,16.56,8160.91,64.2,0.0,64.2,292.17,0.0,292.17,356.37,0.0,356.37,213.27,0.0,213.27
2956,WA,53,Chelan County,7,53007,2015,75.64399999999999,0.0,0.0,61.461000000000006,8.19,0.0,8.19,3.1,0.0,3.1,11.29,0.0,11.29,14.183,1.91,0.0,1.91,135.0,8.32,135.0,10.23,0.02,0.0,0.02,10.41,0.0,10.41,10.43,0.0,10.43,1.95,24.47,26.42,0.0,21.12,16.86,0.1,0.0,16.96,1.34,24.19,25.53,0.0,20.41,16.5,0.1,0.0,16.6,0.61,0.28,0.89,0.0,0.71,0.36,0.0,0.0,0.36,0.01,0.02,0.03,0.0,0.0,0.0,3.44,0.0,3.44,3.44,0.0,3.44,0.16,0.0,0.16,0.49,0.0,0.49,0.65,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.24,0.0,12.24,41.93,0.0,41.93,54.17,0.0,54.17,21.12,0.0,21.12
2957,WA,53,Clallam County,9,53009,2015,73.486,0.0,0.0,55.626999999999995,5.77,0.0,5.77,0.39,0.0,0.39,6.16,0.0,6.16,17.859,1.4,0.0,1.4,78.0,4.37,79.0,5.77,0.01,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.02,0.91,5.56,6.47,0.0,5.2,4.11,0.15,0.0,4.26,0.36,5.53,5.89,0.0,4.74,3.9,0.15,0.0,4.05,0.55,0.03,0.58,0.0,0.46,0.21,0.0,0.0,0.21,0.07,0.03,0.1,4.44,0.0,4.44,0.0,0.0,0.0,4.44,0.0,4.44,0.15,0.0,0.15,0.23,0.0,0.23,0.38,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.75,0.0,12.75,6.22,0.0,6.22,18.97,0.0,18.97,5.2,0.0,5.2
2958,WA,53,Clark County,11,53011,2015,459.495,0.0,0.0,377.32,45.72,0.0,45.72,0.85,0.0,0.85,46.57,0.0,46.57,82.175,7.25,0.0,7.25,88.0,33.28,88.0,40.53,30.38,0.0,30.38,27.05,0.0,27.05,57.43,0.0,57.43,5.08,0.65,5.73,0.0,4.62,4.02,0.15,0.0,4.17,3.57,0.62,4.19,0.0,3.39,3.35,0.15,0.0,3.5,1.51,0.03,1.54,0.0,1.23,0.67,0.0,0.0,0.67,0.35,0.1,0.45,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.44,0.0,0.44,0.32,0.0,0.32,0.76,0.0,0.76,3.77,0.0,3.77,0.0,0.0,0.0,3.77,0.0,3.77,0.0,0.0,3.39,0.0,3.39,1812.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77,0.0,3.77,0.0,0.0,0.0,3.77,0.0,3.77,0.0,0.0,3.39,0.0,3.39,1812.49,92.99,0.0,92.99,28.98,0.0,28.98,121.97,0.0,121.97,8.01,0.0,8.01
2959,WA,53,Columbia County,13,53013,2015,3.944,0.0,0.0,2.87,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.074,0.15,0.0,0.15,140.0,0.4,139.0,0.55,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.72,3.79,4.51,0.0,3.62,3.93,0.1,0.0,4.03,0.67,3.79,4.46,0.0,3.58,3.9,0.1,0.0,4.0,0.05,0.0,0.05,0.0,0.04,0.03,0.0,0.0,0.03,0.06,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.02,0.0,0.02,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,2.03,3.83,0.0,3.83,5.86,0.0,5.86,3.62,0.0,3.62
2960,WA,53,Cowlitz County,15,53015,2015,103.46799999999999,0.0,0.0,78.988,9.06,0.0,9.06,1.25,0.0,1.25,10.31,0.0,10.31,24.48,1.94,0.0,1.94,79.0,6.27,79.0,8.21,0.32,0.0,0.32,111.97,0.0,111.97,112.29,0.0,112.29,1.32,1.85,3.17,0.0,2.55,2.43,0.2,0.0,2.63,0.89,1.79,2.68,0.0,2.16,2.2,0.2,0.0,2.4,0.43,0.06,0.49,0.0,0.39,0.23,0.0,0.0,0.23,0.07,0.02,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.02,0.0,0.02,0.08,0.0,0.08,1.43,0.0,1.43,0.0,0.0,0.0,1.43,0.0,1.43,0.0,0.0,0.84,0.0,0.84,1699.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,1.43,0.0,0.0,0.0,1.43,0.0,1.43,0.0,0.0,0.84,0.0,0.84,1699.89,14.2,0.0,14.2,115.11,0.0,115.11,129.31,0.0,129.31,3.39,0.0,3.39
2961,WA,53,Douglas County,17,53017,2015,40.534,0.0,0.0,32.486,5.45,0.0,5.45,0.0,0.0,0.0,5.45,0.0,5.45,8.048,0.86,0.0,0.86,107.0,3.48,107.0,4.34,0.47,0.0,0.47,0.0,0.0,0.0,0.47,0.0,0.47,4.24,16.69,20.93,0.0,16.86,17.15,1.0,0.0,18.15,3.7,16.69,20.39,0.0,16.43,16.85,1.0,0.0,17.85,0.54,0.0,0.54,0.0,0.43,0.3,0.0,0.0,0.3,0.07,0.03,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.23,0.0,11.23,16.72,0.0,16.72,27.95,0.0,27.95,16.86,0.0,16.86
2962,WA,53,Ferry County,19,53019,2015,7.582000000000001,0.0,0.0,2.575,0.51,0.0,0.51,0.07,0.0,0.07,0.58,0.0,0.58,5.007,0.73,0.0,0.73,146.0,0.38,148.0,1.11,0.13,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.13,0.62,1.79,2.41,0.0,1.95,2.2,0.15,0.0,2.35,0.62,1.79,2.41,0.0,1.95,2.2,0.15,0.0,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,0.0,2.24,2.08,0.0,2.08,4.32,0.0,4.32,1.95,0.0,1.95
