,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
3047,WI,55,Adams County,1,55001,2015,20.148,7.007999999999999,0.0,7.007999999999999,0.81,0.0,0.81,0.0,0.0,0.0,0.81,0.0,0.81,13.14,0.47,0.0,0.47,36.0,0.43,61.0,0.9,0.09,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,54.06,12.94,67.0,0.0,49.49,57.12,0.01,0.94,58.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.01,0.13,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.65,0.0,55.65,12.95,0.0,12.95,68.6,0.0,68.6,49.49,0.0,49.49
3048,WI,55,Ashland County,3,55003,2015,15.843,2.787,8.196,10.982999999999999,0.31,0.0,0.31,0.68,0.0,0.68,0.99,0.0,0.99,4.86,0.18,0.0,0.18,37.0,0.57,52.0,0.75,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.02,0.0,0.02,0.01,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.01,0.14,0.0,0.0,0.0,0.59,0.0,0.59,0.59,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.98,0.0,31.98,31.98,0.0,31.98,0.0,0.0,0.32,0.0,0.32,177.03,0.0,0.0,0.0,31.98,0.0,31.98,31.98,0.0,31.98,0.0,0.0,0.32,0.0,0.32,177.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.64,33.27,0.0,33.27,33.91,0.0,33.91,0.34,0.0,0.34
3049,WI,55,Barron County,5,55005,2015,45.563,20.417,0.0,20.417,4.48,0.0,4.48,0.0,0.0,0.0,4.48,0.0,4.48,25.146,1.19,0.0,1.19,47.0,1.31,64.0,2.5,0.98,0.0,0.98,0.01,0.0,0.01,0.99,0.0,0.99,2.74,0.02,2.76,0.0,2.48,15.25,0.06,0.0,15.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.16,1.57,0.01,0.0,0.01,0.05,0.0,0.05,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.08,0.0,0.08,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.08,0.0,0.08,2.2,10.93,0.0,10.93,0.24,0.0,0.24,11.17,0.0,11.17,2.56,0.0,2.56
3050,WI,55,Bayfield County,7,55007,2015,14.977,5.0280000000000005,0.0,5.0280000000000005,0.37,0.0,0.37,0.0,0.0,0.0,0.37,0.0,0.37,9.949,0.38,0.0,0.38,38.0,0.23,46.0,0.61,0.05,0.0,0.05,0.01,0.0,0.01,0.06,0.0,0.06,0.1,0.02,0.12,0.0,0.11,0.09,0.07,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.01,0.14,2.25,0.0,2.25,6.37,0.0,6.37,8.62,0.0,8.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28,0.0,3.28,6.41,0.0,6.41,9.69,0.0,9.69,0.11,0.0,0.11
3051,WI,55,Brown County,9,55009,2015,258.718,18.998,211.424,230.422,1.39,0.0,1.39,17.8,0.0,17.8,19.19,0.0,19.19,28.296,1.35,0.0,1.35,48.0,12.27,53.0,13.62,3.34,0.0,3.34,58.57,0.0,58.57,61.91,0.0,61.91,0.45,0.0,0.45,0.0,0.41,0.69,0.15,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.25,2.52,0.07,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,2.2,0.0,2.2,2.2,0.0,2.2,0.0,0.0,0.0,84.77,0.0,84.77,84.77,0.0,84.77,0.0,0.0,0.85,0.0,0.85,421.53,0.0,0.0,0.0,84.77,0.0,84.77,84.77,0.0,84.77,0.0,0.0,0.85,0.0,0.85,421.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.87,0.0,8.87,163.59,0.0,163.59,172.46,0.0,172.46,1.26,0.0,1.26
3052,WI,55,Buffalo County,11,55011,2015,13.192,5.405,0.0,5.405,0.4,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.4,7.787000000000001,0.33,0.0,0.33,42.0,0.27,50.0,0.6,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,1.52,0.0,1.52,0.0,1.37,4.54,0.08,0.0,4.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.13,1.27,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.22,0.0,0.22,235.21,0.0,235.21,235.43,0.0,235.43,0.0,0.0,2.35,0.0,2.35,1727.44,0.22,0.0,0.22,235.21,0.0,235.21,235.43,0.0,235.43,0.0,0.0,2.35,0.0,2.35,1727.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66,0.0,3.66,235.34,0.0,235.34,239.0,0.0,239.0,3.72,0.0,3.72
3053,WI,55,Burnett County,13,55013,2015,15.159,5.0680000000000005,0.0,5.0680000000000005,0.36,0.0,0.36,0.0,0.0,0.0,0.36,0.0,0.36,10.091000000000001,0.44,0.0,0.44,44.0,0.2,39.0,0.64,0.07,0.0,0.07,0.61,0.0,0.61,0.68,0.0,0.68,0.21,0.01,0.22,0.0,0.2,0.27,0.01,0.13,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.02,0.22,0.04,0.0,0.04,0.59,0.0,0.59,0.63,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,1.32,1.23,0.0,1.23,2.55,0.0,2.55,0.2,0.0,0.2
3054,WI,55,Calumet County,15,55015,2015,49.762,17.267,18.243,35.51,1.69,0.0,1.69,9.24,0.0,9.24,10.93,0.0,10.93,14.252,0.63,0.0,0.63,44.0,1.86,52.0,2.49,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.3,0.06,0.0,0.06,0.0,0.05,0.18,0.09,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.16,1.57,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,2.85,0.0,2.85,2.85,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.13,0.0,4.13,12.25,0.0,12.25,16.38,0.0,16.38,0.05,0.0,0.05
3055,WI,55,Chippewa County,17,55017,2015,63.531000000000006,34.289,0.0,34.289,6.96,0.0,6.96,0.0,0.0,0.0,6.96,0.0,6.96,29.241999999999997,1.3,0.0,1.3,44.0,1.51,44.0,2.81,0.85,0.0,0.85,0.14,0.0,0.14,0.99,0.0,0.99,1.39,0.03,1.42,0.0,1.28,8.06,0.02,0.0,8.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.16,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.95,0.0,11.95,0.33,0.0,0.33,12.28,0.0,12.28,1.28,0.0,1.28
3056,WI,55,Clark County,19,55019,2015,34.445,12.321,0.0,12.321,1.23,0.0,1.23,0.0,0.0,0.0,1.23,0.0,1.23,22.124000000000002,0.79,0.0,0.79,36.0,0.52,42.0,1.31,0.32,0.0,0.32,0.56,0.0,0.56,0.88,0.0,0.88,0.34,0.46,0.8,0.0,0.4,0.53,0.01,0.05,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,0.36,3.62,0.04,0.0,0.04,0.04,0.0,0.04,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.98,0.0,5.98,1.42,0.0,1.42,7.4,0.0,7.4,0.4,0.0,0.4
