,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
2992,WV,54,Barbour County,1,54001,2015,16.704,0.0,12.561,12.561,0.0,0.0,0.0,1.45,0.0,1.45,1.45,0.0,1.45,4.143,0.33,0.0,0.33,80.0,1.1,88.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.03,0.0,0.03,0.06,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.04,0.0,0.02,0.02,0.0,0.02,0.01,0.0,0.01,0.02,0.01,0.07,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.02,1.34,0.13,0.0,0.13,1.45,0.02,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.02,1.68,1.67,0.0,1.67,3.33,0.02,3.35,0.02,0.0,0.02
2993,WV,54,Berkeley County,3,54003,2015,111.90100000000001,55.423,27.496,82.919,3.99,0.0,3.99,1.98,0.0,1.98,5.97,0.0,5.97,28.982,2.32,0.0,2.32,80.0,4.38,53.0,6.7,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.0,0.03,0.06,0.07,0.13,0.0,0.11,0.18,0.0,0.08,0.26,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.04,0.13,0.06,0.07,0.13,0.0,0.11,0.09,0.0,0.04,0.13,0.04,0.06,0.1,0.14,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.14,7.2,0.0,7.2,0.74,0.0,0.74,7.94,0.0,7.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75,0.0,13.75,2.88,0.0,2.88,16.63,0.0,16.63,0.11,0.0,0.11
2994,WV,54,Boone County,5,54005,2015,23.372,0.0,14.397,14.397,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.0,0.19,8.975,0.72,0.0,0.72,80.0,1.19,83.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.03,0.03,0.0,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.03,0.03,0.0,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.01,0.47,4.92,0.0,4.92,5.38,0.01,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.01,1.19,5.15,0.0,5.15,6.33,0.01,6.34,0.03,0.0,0.03
2995,WV,54,Braxton County,7,54007,2015,14.415,0.0,8.346,8.346,0.0,0.0,0.0,1.09,0.0,1.09,1.09,0.0,1.09,6.069,0.49,0.0,0.49,81.0,0.7,84.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.49,1.15,0.0,1.15,1.64,0.0,1.64,0.0,0.0,0.0
2996,WV,54,Brooke County,9,54009,2015,23.35,13.888,7.827000000000001,21.715,3.33,0.0,3.33,1.88,0.0,1.88,5.21,0.0,5.21,1.635,0.13,0.0,0.13,80.0,1.75,81.0,1.88,0.34,0.0,0.34,5.88,0.0,5.88,6.22,0.0,6.22,0.0,0.06,0.06,0.0,0.05,0.04,0.0,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.05,0.04,0.0,0.02,0.06,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81,0.0,3.81,7.92,0.0,7.92,11.73,0.0,11.73,0.05,0.0,0.05
2997,WV,54,Cabell County,11,54011,2015,96.844,0.0,90.065,90.065,0.0,0.0,0.0,12.17,0.0,12.17,12.17,0.0,12.17,6.779,0.54,0.0,0.54,80.0,6.41,71.0,6.95,0.0,0.0,0.0,0.74,0.0,0.74,0.74,0.0,0.74,0.0,0.15,0.15,0.0,0.13,0.12,0.0,0.04,0.16,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.15,0.15,0.0,0.13,0.11,0.0,0.04,0.15,0.0,0.03,0.03,0.03,0.0,0.03,0.03,0.0,0.03,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.57,13.12,0.0,13.12,13.69,0.0,13.69,0.13,0.0,0.13
2998,WV,54,Calhoun County,13,54013,2015,7.47,0.0,3.563,3.563,0.0,0.0,0.0,0.32,0.0,0.32,0.32,0.0,0.32,3.907,0.31,0.0,0.31,79.0,0.26,73.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.36,0.0,0.36,0.67,0.0,0.67,0.0,0.0,0.0
2999,WV,54,Clay County,15,54015,2015,8.91,0.0,4.001,4.001,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.0,0.4,4.909,0.39,0.0,0.39,79.0,0.28,70.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.39,0.41,0.0,0.41,0.8,0.0,0.8,0.0,0.0,0.0
3000,WV,54,Doddridge County,17,54017,2015,8.176,0.0,3.14,3.14,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.0,0.22,5.0360000000000005,0.4,0.0,0.4,79.0,0.34,108.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,0.0,2.32,2.32,0.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,2.57,0.0,2.57,2.97,0.0,2.97,0.0,0.0,0.0
3001,WV,54,Fayette County,19,54019,2015,44.997,6.778,31.02,37.798,0.96,0.0,0.96,4.41,0.0,4.41,5.37,0.0,5.37,7.199,0.58,0.0,0.58,81.0,3.01,80.0,3.59,0.0,0.0,0.0,5.86,0.0,5.86,5.86,0.0,5.86,0.0,0.08,0.08,0.0,0.07,0.07,0.0,0.04,0.11,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.0,0.08,0.08,0.0,0.07,0.05,0.0,0.03,0.08,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.01,0.43,0.64,0.0,0.64,1.06,0.01,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.01,1.97,11.01,0.0,11.01,12.97,0.01,12.98,0.07,0.0,0.07
