,STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
3119,WY,56,Albany County,1,56001,2015,37.955999999999996,15.692,15.520999999999999,31.213,3.29,0.0,3.29,3.16,0.0,3.16,6.45,0.0,6.45,6.742999999999999,0.51,0.0,0.51,76.0,4.89,157.0,5.4,0.13,0.0,0.13,0.08,0.0,0.08,0.21,0.0,0.21,0.0,529.05,529.05,0.0,160.04,1.59,0.0,92.86,94.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.48,0.8,2.98,0.0,2.98,1.34,0.0,1.34,4.32,0.0,4.32,0.02,0.23,0.25,0.0,0.0,0.0,0.02,0.23,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25,0.23,7.48,534.11,0.0,534.11,541.36,0.23,541.59,160.04,0.0,160.04
3120,WY,56,Big Horn County,3,56003,2015,12.022,7.013,3.34,10.353,2.2,0.0,2.2,0.0,0.0,0.0,2.2,0.0,2.2,1.669,0.12,0.0,0.12,72.0,1.21,117.0,1.33,0.01,0.0,0.01,0.06,0.0,0.06,0.07,0.0,0.07,3.23,583.72,586.95,0.0,142.04,4.16,0.0,104.54,108.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.57,0.6,0.0,0.0,0.0,1.22,0.0,1.22,1.22,0.0,1.22,0.16,6.27,6.43,0.05,0.0,0.05,0.21,6.27,6.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,6.27,12.02,585.62,0.0,585.62,591.37,6.27,597.64,142.04,0.0,142.04
3121,WY,56,Campbell County,5,56005,2015,49.22,48.573,0.0,48.573,5.97,0.0,5.97,0.0,0.0,0.0,5.97,0.0,5.97,0.647,0.05,0.0,0.05,77.0,8.92,184.0,8.97,0.16,0.0,0.16,0.09,0.0,0.09,0.25,0.0,0.25,0.32,10.45,10.77,0.0,2.37,0.26,0.0,1.55,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.39,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.75,20.94,48.69,9.78,0.0,9.78,37.53,20.94,58.47,1.22,0.0,1.22,0.0,0.0,0.0,1.22,0.0,1.22,0.0,0.0,0.87,0.0,0.87,1293.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,1.22,0.0,0.0,0.0,1.22,0.0,1.22,0.0,0.0,0.87,0.0,0.87,1293.61,36.06,20.94,57.0,20.71,0.0,20.71,56.77,20.94,77.71,3.24,0.0,3.24
3122,WY,56,Carbon County,7,56007,2015,15.559000000000001,7.97,5.419,13.389000000000001,1.69,0.0,1.69,1.16,0.0,1.16,2.85,0.0,2.85,2.17,0.16,0.0,0.16,74.0,2.34,175.0,2.5,0.47,0.0,0.47,0.28,0.0,0.28,0.75,0.0,0.75,3.05,893.43,896.48,0.0,271.18,1.16,0.0,164.32,165.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.79,1.05,0.66,0.0,0.66,0.07,0.0,0.07,0.73,0.0,0.73,0.0,1.62,1.62,0.0,0.0,0.0,0.0,1.62,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.29,1.62,7.91,895.73,0.0,895.73,902.02,1.62,903.64,271.18,0.0,271.18
3123,WY,56,Converse County,9,56009,2015,14.235999999999999,9.116,0.379,9.495,1.95,0.0,1.95,0.09,0.0,0.09,2.04,0.0,2.04,4.7410000000000005,0.36,0.0,0.36,76.0,1.96,206.0,2.32,0.03,0.0,0.03,0.03,0.0,0.03,0.06,0.0,0.06,3.72,167.95,171.67,0.0,50.99,3.55,0.01,28.36,31.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.52,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73,1.93,5.66,1.06,0.0,1.06,4.79,1.93,6.72,0.0,0.0,0.0,8.83,0.0,8.83,8.83,0.0,8.83,0.0,0.0,6.3,0.0,6.3,5140.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.83,0.0,8.83,8.83,0.0,8.83,0.0,0.0,6.3,0.0,6.3,5140.97,10.02,1.93,11.95,178.48,0.0,178.48,188.5,1.93,190.43,57.29,0.0,57.29
3124,WY,56,Crook County,11,56011,2015,7.444,3.095,0.0,3.095,6.44,0.0,6.44,0.0,0.0,0.0,6.44,0.0,6.44,4.349,0.33,0.0,0.33,76.0,0.61,197.0,0.94,0.05,0.0,0.05,0.06,0.0,0.06,0.11,0.0,0.11,1.5,28.04,29.54,0.0,10.04,4.05,0.0,3.7,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.58,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,1.16,1.42,0.09,0.0,0.09,0.35,1.16,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.83,1.16,9.99,28.77,0.0,28.77,37.6,1.16,38.76,10.04,0.0,10.04
3125,WY,56,Fremont County,13,56013,2015,40.315,12.651,15.819,28.47,1.86,0.0,1.86,2.45,0.0,2.45,4.31,0.0,4.31,11.845,0.89,0.0,0.89,75.0,3.15,111.0,4.04,0.07,0.0,0.07,0.05,0.0,0.05,0.12,0.0,0.12,0.0,972.32,972.32,0.0,235.3,11.28,0.0,145.8,157.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.85,1.07,0.0,0.0,0.0,0.89,0.0,0.89,0.89,0.0,0.89,0.0,5.3,5.3,0.0,0.0,0.0,0.0,5.3,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,5.3,8.34,976.56,0.0,976.56,979.6,5.3,984.9,235.3,0.0,235.3
3126,WY,56,Goshen County,15,56015,2015,13.383,7.944,0.0,7.944,1.85,0.0,1.85,0.0,0.0,0.0,1.85,0.0,1.85,5.439,0.41,0.0,0.41,75.0,1.79,225.0,2.2,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.0,0.07,160.41,506.57,666.98,0.0,201.76,26.26,0.0,82.92,109.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.5,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.44,0.0,163.44,507.14,0.0,507.14,670.58,0.0,670.58,201.76,0.0,201.76
3127,WY,56,Hot Springs County,17,56017,2015,4.7410000000000005,1.258,2.592,3.85,0.17,0.0,0.17,0.5,0.0,0.5,0.67,0.0,0.67,0.8909999999999999,0.07,0.0,0.07,79.0,0.62,161.0,0.69,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,2.01,60.38,62.39,0.0,15.1,0.41,0.0,12.2,12.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.17,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.54,7.54,0.0,0.0,0.0,0.0,7.54,7.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,7.54,9.91,61.05,0.0,61.05,63.42,7.54,70.96,15.1,0.0,15.1
3128,WY,56,Johnson County,19,56019,2015,8.585,0.483,4.6,5.083,0.16,0.0,0.16,1.45,0.0,1.45,1.61,0.0,1.61,3.502,0.26,0.0,0.26,74.0,1.54,303.0,1.8,0.01,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.02,0.67,224.42,225.09,0.0,49.52,6.59,0.0,33.36,39.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.46,0.76,0.0,0.0,0.0,1.24,0.0,1.24,1.24,0.0,1.24,0.02,0.33,0.35,0.01,0.0,0.01,0.03,0.33,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.33,1.75,227.59,0.0,227.59,229.01,0.33,229.34,49.52,0.0,49.52
