,county,gal_per_capita,groundwater_per_day,state,value,id
,,,,,,USA
1001,Autauga County,48.96,2710000,AL,55347,USA.AL.Autauga County
1003,Baldwin County,62.74,12780000,AL,203709,USA.AL.Baldwin County
1005,Barbour County,53.61,1420000,AL,26489,USA.AL.Barbour County
1007,Bibb County,80.15,1810000,AL,22583,USA.AL.Bibb County
1009,Blount County,48.38,2790000,AL,57673,USA.AL.Blount County
1011,Bullock County,83.21,890000,AL,10696,USA.AL.Bullock County
1013,Butler County,66.98,1350000,AL,20154,USA.AL.Butler County
1015,Calhoun County,65.04,7520000,AL,115620,USA.AL.Calhoun County
1017,Chambers County,50.99,1740000,AL,34123,USA.AL.Chambers County
1019,Cherokee County,41.76,1080000,AL,25859,USA.AL.Cherokee County
1021,Chilton County,50.52,2220000,AL,43943,USA.AL.Chilton County
1023,Choctaw County,18.98,250000,AL,13170,USA.AL.Choctaw County
1025,Clarke County,48.23,1190000,AL,24675,USA.AL.Clarke County
1027,Clay County,20.66,280000,AL,13555,USA.AL.Clay County
1029,Cleburne County,40.62,610000,AL,15017,USA.AL.Cleburne County
1031,Coffee County,68.93,3530000,AL,51211,USA.AL.Coffee County
1033,Colbert County,78.56,4270000,AL,54354,USA.AL.Colbert County
1035,Conecuh County,32.35,410000,AL,12672,USA.AL.Conecuh County
1037,Coosa County,36.37,390000,AL,10724,USA.AL.Coosa County
1039,Covington County,47.84,1810000,AL,37835,USA.AL.Covington County
1041,Crenshaw County,59.44,830000,AL,13963,USA.AL.Crenshaw County
1043,Cullman County,69.87,5730000,AL,82005,USA.AL.Cullman County
1045,Dale County,61.54,3050000,AL,49565,USA.AL.Dale County
1047,Dallas County,54.22,2230000,AL,41131,USA.AL.Dallas County
1049,DeKalb County,47.66,3390000,AL,71130,USA.AL.DeKalb County
1051,Elmore County,61.62,5020000,AL,81468,USA.AL.Elmore County
1053,Escambia County,58.75,2220000,AL,37789,USA.AL.Escambia County
1055,Etowah County,64.04,6600000,AL,103057,USA.AL.Etowah County
1057,Fayette County,40.58,680000,AL,16759,USA.AL.Fayette County
1059,Franklin County,44.17,1400000,AL,31695,USA.AL.Franklin County
1061,Geneva County,35.1,940000,AL,26776,USA.AL.Geneva County
1063,Greene County,41.28,350000,AL,8479,USA.AL.Greene County
1065,Hale County,91.58,1380000,AL,15068,USA.AL.Hale County
1067,Henry County,47.04,810000,AL,17221,USA.AL.Henry County
1069,Houston County,47.81,4980000,AL,104172,USA.AL.Houston County
1071,Jackson County,49.79,2610000,AL,52419,USA.AL.Jackson County
