name,state,code,value,lat,id
Aleutians East Borough,AK,3341,160000,47.89,USA.AK.Aleutians East Borough
Aleutians West Census Area,AK,5702,420000,73.66,USA.AK.Aleutians West Census Area
Municipality of Anchorage,AK,298695,31920000,106.86,USA.AK.Municipality of Anchorage
Bethel Census Area,AK,17945,280000,15.6,USA.AK.Bethel Census Area
Bristol Bay Borough,AK,892,70000,78.48,USA.AK.Bristol Bay Borough
Denali Borough,AK,1919,40000,20.84,USA.AK.Denali Borough
Dillingham Census Area,AK,4997,240000,48.03,USA.AK.Dillingham Census Area
Fairbanks North Star Borough,AK,99631,12020000,120.65,USA.AK.Fairbanks North Star Borough
Haines Borough,AK,2534,100000,39.46,USA.AK.Haines Borough
Hoonah-Angoon Census Area,AK,2133,150000,70.32,USA.AK.Hoonah-Angoon Census Area
City & Borough of Juneau,AK,32756,4390000,134.02,USA.AK.City & Borough of Juneau
Kenai Peninsula Borough,AK,58059,3450000,59.42,USA.AK.Kenai Peninsula Borough
Ketchikan Gateway Borough,AK,13709,760000,55.44,USA.AK.Ketchikan Gateway Borough
Kodiak Island Borough,AK,13889,1000000,72,USA.AK.Kodiak Island Borough
Kusilvak Census Area,AK,8119,400000,49.27,USA.AK.Kusilvak Census Area
Lake and Peninsula Borough,AK,1563,100000,63.98,USA.AK.Lake and Peninsula Borough
Matanuska-Susitna Borough,AK,101095,2220000,21.96,USA.AK.Matanuska-Susitna Borough
Nome Census Area,AK,9846,610000,61.95,USA.AK.Nome Census Area
North Slope Borough,AK,9687,290000,29.94,USA.AK.North Slope Borough
Northwest Arctic Borough,AK,7752,520000,67.08,USA.AK.Northwest Arctic Borough
Petersburg Borough,AK,3177,180000,56.66,USA.AK.Petersburg Borough
Prince of Wales-Hyder Census Area,AK,6341,340000,53.62,USA.AK.Prince of Wales-Hyder Census Area
City & Borough of Sitka,AK,8863,640000,72.21,USA.AK.City & Borough of Sitka
Skagway Municipality,AK,1057,50000,47.3,USA.AK.Skagway Municipality
Southeast Fairbanks Census Area,AK,6838,220000,32.17,USA.AK.Southeast Fairbanks Census Area
Valdez-Cordova Census Area,AK,9362,620000,66.23,USA.AK.Valdez-Cordova Census Area
City & Borough of Wrangell,AK,2381,170000,71.37,USA.AK.City & Borough of Wrangell
City & Borough of Yakutat,AK,613,50000,81.57,USA.AK.City & Borough of Yakutat
Yukon-Koyukuk Census Area,AK,5532,220000,39.76,USA.AK.Yukon-Koyukuk Census Area
Autauga County,AL,55347,2710000,48.96,USA.AL.Autauga County
Baldwin County,AL,203709,12780000,62.74,USA.AL.Baldwin County
Barbour County,AL,26489,1420000,53.61,USA.AL.Barbour County
Bibb County,AL,22583,1810000,80.15,USA.AL.Bibb County
Blount County,AL,57673,2790000,48.38,USA.AL.Blount County
Bullock County,AL,10696,890000,83.21,USA.AL.Bullock County
Butler County,AL,20154,1350000,66.98,USA.AL.Butler County
Calhoun County,AL,115620,7520000,65.04,USA.AL.Calhoun County
Chambers County,AL,34123,1740000,50.99,USA.AL.Chambers County
Cherokee County,AL,25859,1080000,41.76,USA.AL.Cherokee County
Chilton County,AL,43943,2220000,50.52,USA.AL.Chilton County
Choctaw County,AL,13170,250000,18.98,USA.AL.Choctaw County
Clarke County,AL,24675,1190000,48.23,USA.AL.Clarke County
Clay County,AL,13555,280000,20.66,USA.AL.Clay County
Cleburne County,AL,15017,610000,40.62,USA.AL.Cleburne County
Coffee County,AL,51211,3530000,68.93,USA.AL.Coffee County
Colbert County,AL,54354,4270000,78.56,USA.AL.Colbert County
Conecuh County,AL,12672,410000,32.35,USA.AL.Conecuh County
Coosa County,AL,10724,390000,36.37,USA.AL.Coosa County
